Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,86.682063,[106  37] ; [ 57 172],[62.65860215 80.34139785] ; [100.34139785 128.65860215],1
s6,1,0.0,55.260154,[128  19] ; [117 119],[94.03394256 52.96605744] ; [150.96605744  85.03394256],1
s2,1,0.0,42.58879,[100  47] ; [ 81 158],[68.93005181 78.06994819] ; [112.06994819 126.93005181],1
s3,1,0.0,36.860711,[109  38] ; [101 137],[80.18181818 66.81818182] ; [129.81818182 108.18181818],1
d1,1,2e-06,22.697366,[97 51] ; [ 98 143],[74.19023136 73.80976864] ; [120.80976864 120.19023136],1
p4,1,3e-06,21.523849,[105  43] ; [112 127],[82.9870801 65.0129199] ; [134.0129199 104.9870801],1
p10,1,2.5e-05,17.790459,[127  20] ; [159  78],[109.484375  37.515625] ; [176.515625  60.484375],1
p9,1,8.4e-05,15.458682,[132  16] ; [170  65],[116.6997389  31.3002611] ; [185.3002611  49.6997389],1
p6,1,0.00044,12.355351,[66 82] ; [ 65 174],[50.09819121 97.90180879] ; [ 80.90180879 158.09819121],1
s5,1,0.000603,11.767614,[59 83] ; [ 58 177],[44.06896552 97.93103448] ; [ 72.93103448 162.06896552],1
a5,1,0.000751,11.358593,[112  36] ; [142  99],[96.63753213 51.36246787] ; [157.36246787  83.63753213],1
v1,1,0.001103,10.646175,[69 74] ; [ 75 163],[54.04724409 88.95275591] ; [ 89.95275591 148.04724409],0
p12,1,0.001115,10.626708,[ 14 134] ; [  5 234],[  7.26614987 140.73385013] ; [ 11.73385013 227.26614987],0
a3,1,0.001126,10.608633,[110  38] ; [138 100],[95.0880829 52.9119171] ; [152.9119171  85.0880829],0
r1,1,0.00184,9.70315,[120  27] ; [161  79],[106.73643411  40.26356589] ; [174.26356589  65.73643411],0
p8,1,0.002151,9.415663,[86 62] ; [101 139],[71.32989691 76.67010309] ; [115.67010309 124.32989691],0
d2,1,0.002442,9.183621,[79 69] ; [ 90 149],[64.63049096 83.36950904] ; [104.36950904 134.63049096],0
p3,1,0.002836,8.910188,[78 70] ; [ 89 150],[63.86563307 84.13436693] ; [103.13436693 135.86563307],0
p7,1,0.00434,8.135821,[96 49] ; [120 114],[82.63852243 62.36147757] ; [133.36147757 100.63852243],0
a2,1,0.007901,7.055853,[ 39 109] ; [ 37 204],[ 28.9151671 119.0848329] ; [ 47.0848329 193.9151671],0
p5,1,0.009958,6.642402,[ 23 122] ; [ 18 222],[ 15.44155844 129.55844156] ; [ 25.55844156 214.44155844],0
n5,1,0.012474,6.242279,[116  32] ; [159  80],[105.16795866  42.83204134] ; [169.83204134  69.16795866],0
d5,1,0.016301,5.770137,[120  27] ; [169  70],[110.05958549  36.94041451] ; [178.94041451  60.05958549],0
u1,1,0.017065,5.689651,[ 28 120] ; [ 25 216],[ 20.16452442 127.83547558] ; [ 32.83547558 208.16452442],0
n4,1,0.020572,5.362727,[116  31] ; [164  77],[106.08247423  40.91752577] ; [173.91752577  67.08247423],0
d3,1,0.023357,5.141757,[104  44] ; [140  98],[93.55440415 54.44559585] ; [150.44559585  87.55440415],0
b2,1,0.031541,4.623252,[42 57] ; [39 96],[34.26923077 64.73076923] ; [46.73076923 88.26923077],0
b3,1,0.031541,4.623252,[42 57] ; [39 96],[34.26923077 64.73076923] ; [46.73076923 88.26923077],0
s4,1,0.032029,4.596966,[ 39 108] ; [ 41 195],[ 30.70496084 116.29503916] ; [ 49.29503916 186.70496084],0
a4,1,0.033162,4.537392,[72 76] ; [ 90 149],[61.95348837 86.04651163] ; [100.04651163 138.95348837],0
r4,1,0.046762,3.953937,[136  12] ; [205  36],[129.7377892  18.2622108] ; [211.2622108  29.7377892],0
p11,1,0.061496,3.49657,[116  32] ; [168  73],[108.05141388  39.94858612] ; [175.94858612  65.05141388],0
d4,1,0.143506,2.139961,[118  29] ; [177  63],[112.05426357  34.94573643] ; [182.94573643  57.05426357],0
v3,1,0.161037,1.964465,[ 32 112] ; [ 39 198],[ 26.83464567 117.16535433] ; [ 44.16535433 192.83464567],0
u2,1,0.172757,1.858857,[25 13] ; [54 48],[21.44285714 16.55714286] ; [57.55714286 44.44285714],0
n1,1,0.183453,1.769426,[20 21] ; [24 43],[16.7037037 24.2962963] ; [27.2962963 39.7037037],0
n6,1,0.201653,1.630364,[125  23] ; [191  50],[120.22622108  27.77377892] ; [195.77377892  45.22622108],0
p1,1,0.205575,1.602321,[ 16 132] ; [ 17 222],[ 12.62015504 135.37984496] ; [ 20.37984496 218.62015504],0
b5,1,0.2343,1.414563,[85 63] ; [153  88],[90.55012853 57.44987147] ; [147.44987147  93.55012853],0
p2,1,0.26082,1.264402,[124  24] ; [190  50],[119.77319588  28.22680412] ; [194.22680412  45.77319588],0
u4,1,0.308828,1.035679,[  3 145] ; [  2 239],[  1.90231362 146.09768638] ; [  3.09768638 237.90231362],0
b4,1,0.313426,1.016183,[77 71] ; [138 103],[81.79948586 66.20051414] ; [133.20051414 107.79948586],0
a7,1,0.353347,0.861401,[95 53] ; [165  75],[99.17525773 48.82474227] ; [160.82474227  79.17525773],0
b1,1,0.372126,0.796552,[67 81] ; [ 98 143],[62.77634961 85.22365039] ; [102.22365039 138.77634961],0
r3,1,0.401912,0.702597,[138  10] ; [218  22],[135.79381443  12.20618557] ; [220.20618557  19.79381443],0
u3,1,0.428153,0.627828,[25 13] ; [59 42],[22.96402878 15.03597122] ; [61.03597122 39.96402878],0
a6,1,0.475266,0.509707,[89 59] ; [153  87],[92.30927835 55.69072165] ; [149.69072165  90.30927835],0
a8,1,0.50153,0.451697,[ 18 120] ; [ 24 200],[ 16.01104972 121.98895028] ; [ 25.98895028 198.01104972],0
n2,1,0.526373,0.401389,[28 13] ; [51 18],[29.44545455 11.55454545] ; [49.55454545 19.44545455],0
r2,1,0.534663,0.385522,[138   8] ; [223  17],[136.54404145   9.45595855] ; [224.45595855  15.54404145],0
n3,1,0.549343,0.358496,[25 15] ; [45 21],[26.41509434 13.58490566] ; [43.58490566 22.41509434],0
a1,1,0.873709,0.025265,[  6 142] ; [  9 232],[  5.70694087 142.29305913] ; [  9.29305913 231.70694087],0
s1,1,0.91355,0.011786,[  7 139] ; [ 12 226],[  7.22395833 138.77604167] ; [ 11.77604167 226.22395833],0
