Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000958,10.907588,[ 1 29] ; [12 20],[ 6.29032258 23.70967742] ; [ 6.70967742 25.29032258],1
s2,1,0.00199,9.558764,[ 1 29] ; [11 21],[ 5.80645161 24.19354839] ; [ 6.19354839 25.80645161],0
v4,1,0.002011,9.539614,[13 17] ; [26  6],[18.87096774 11.12903226] ; [20.12903226 11.87096774],0
p4,1,0.003121,8.735328,[ 4 26] ; [15 16],[ 9.3442623 20.6557377] ; [ 9.6557377 21.3442623],0
p8,1,0.003994,8.286571,[ 4 25] ; [15 16],[ 9.18333333 19.81666667] ; [ 9.81666667 21.18333333],0
p11,1,0.005581,7.680991,[ 5 25] ; [16 16],[10.16129032 19.83870968] ; [10.83870968 21.16129032],0
s6,1,0.006433,7.424878,[ 4 26] ; [14 17],[ 8.85245902 21.14754098] ; [ 9.14754098 21.85245902],0
s8,1,0.011948,6.318638,[ 2 28] ; [10 21],[ 5.90163934 24.09836066] ; [ 6.09836066 24.90163934],0
r1,1,0.020196,5.394879,[ 9 21] ; [19 13],[13.5483871 16.4516129] ; [14.4516129 17.5483871],0
p10,1,0.028826,4.777994,[10 19] ; [20 12],[14.26229508 14.73770492] ; [15.73770492 16.26229508],0
p3,1,0.030517,4.679955,[ 5 25] ; [13 18],[ 8.85245902 21.14754098] ; [ 9.14754098 21.85245902],0
n5,1,0.031553,4.622647,[18 12] ; [27  5],[21.77419355  8.22580645] ; [23.22580645  8.77419355],0
p2,1,0.049859,3.846179,[ 9 21] ; [17 14],[12.78688525 17.21311475] ; [13.21311475 17.78688525],0
a1,1,0.056353,3.641579,[ 7 23] ; [ 2 30],[ 4.35483871 25.64516129] ; [ 4.64516129 27.35483871],0
s5,1,0.071038,3.258875,[ 3 27] ; [ 9 23],[ 5.80645161 24.19354839] ; [ 6.19354839 25.80645161],0
n4,1,0.074766,3.175152,[16 14] ; [24  8],[19.35483871 10.64516129] ; [20.64516129 11.35483871],0
a5,1,0.077967,3.106784,[13 17] ; [21 11],[16.4516129 13.5483871] ; [17.5483871 14.4516129],0
a4,1,0.100348,2.7,[13 17] ; [ 7 23],[10. 20.] ; [10. 20.],0
p6,1,0.142199,2.153997,[ 2 28] ; [ 6 25],[ 3.93442623 26.06557377] ; [ 4.06557377 26.93442623],0
v2,1,0.152188,2.050178,[ 4 25] ; [ 9 22],[ 6.28333333 22.71666667] ; [ 6.71666667 24.28333333],0
p5,1,0.156009,2.012493,[ 2 27] ; [ 6 25],[ 3.86666667 25.13333333] ; [ 4.13333333 26.86666667],0
s7,1,0.172481,1.861247,[ 4 23] ; [ 9 21],[ 6.15789474 20.84210526] ; [ 6.84210526 23.15789474],0
b1,1,0.172801,1.85847,[21  9] ; [17 15],[18.38709677 11.61290323] ; [19.61290323 12.38709677],0
p9,1,0.188108,1.732378,[13 16] ; [18 11],[15.5 13.5] ; [15.5 13.5],0
a7,1,0.21059,1.567367,[16 14] ; [12 20],[13.5483871 16.4516129] ; [14.4516129 17.5483871],0
b2,1,0.276162,1.185882,[9 9] ; [ 8 16],[ 7.28571429 10.71428571] ; [ 9.71428571 14.28571429],0
b3,1,0.276162,1.185882,[9 9] ; [ 8 16],[ 7.28571429 10.71428571] ; [ 9.71428571 14.28571429],0
v3,1,0.276558,1.183925,[ 6 24] ; [10 21],[ 7.86885246 22.13114754] ; [ 8.13114754 22.86885246],0
b5,1,0.300631,1.071395,[12 18] ; [17 15],[14.03225806 15.96774194] ; [14.96774194 17.03225806],0
u3,1,0.345779,0.888889,[4 8] ; [ 2 10],[3. 9.] ; [3. 9.],0
r2,1,0.359835,0.838468,[19 11] ; [23  8],[20.6557377  9.3442623] ; [21.3442623  9.6557377],0
d1,1,0.361814,0.831587,[ 8 22] ; [12 20],[ 9.67741935 20.32258065] ; [10.32258065 21.67741935],0
u2,1,0.386476,0.75,[5 7] ; [3 9],[4. 8.] ; [4. 8.],0
a2,1,0.39206,0.732542,[ 5 25] ; [ 3 29],[ 3.87096774 26.12903226] ; [ 4.12903226 27.87096774],0
p7,1,0.455514,0.556895,[ 8 21] ; [11 19],[ 9.33898305 19.66101695] ; [ 9.66101695 20.33898305],0
d4,1,0.458522,0.549501,[15 15] ; [19 13],[16.4516129 13.5483871] ; [17.5483871 14.4516129],0
b4,1,0.471764,0.517841,[18 12] ; [22 10],[19.35483871 10.64516129] ; [20.64516129 11.35483871],0
p1,1,0.562244,0.335833,[ 4 26] ; [ 6 26],[ 4.83870968 25.16129032] ; [ 5.16129032 26.83870968],0
n2,1,0.563293,0.334035,[8 7] ; [12  7],[8.82352941 6.17647059] ; [11.17647059  7.82352941],0
d3,1,0.585329,0.297698,[12 18] ; [15 17],[13.06451613 16.93548387] ; [13.93548387 18.06451613],0
d2,1,0.673662,0.177348,[11 19] ; [13 18],[11.80327869 18.19672131] ; [12.19672131 18.80327869],0
s3,1,0.772989,0.083214,[ 8 21] ; [ 9 20],[ 8.5 20.5] ; [ 8.5 20.5],0
d5,1,0.817609,0.053186,[16 14] ; [18 14],[16.4516129 13.5483871] ; [17.5483871 14.4516129],0
a3,1,0.844165,0.038639,[18 11] ; [20 11],[18.36666667 10.63333333] ; [19.63333333 11.36666667],0
v1,1,0.850508,0.035521,[11 19] ; [11 21],[10.64516129 19.35483871] ; [11.35483871 20.64516129],0
n3,1,0.89842,0.016296,[7 8] ; [ 8 10],[6.81818182 8.18181818] ; [8.18181818 9.81818182],0
s1,1,0.94679,0.004454,[ 2 28] ; [ 2 30],[ 1.93548387 28.06451613] ; [ 2.06451613 29.93548387],0
n1,1,0.967531,0.001657,[8 7] ; [10  9],[7.94117647 7.05882353] ; [10.05882353  8.94117647],0
a6,1,0.986891,0.00027,[16 14] ; [17 15],[15.96774194 14.03225806] ; [17.03225806 14.96774194],0
