Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1.6e-05,18.581174,[19 13] ; [16 70],[ 9.49152542 22.50847458] ; [25.50847458 60.49152542],1
s8,1,0.000279,13.208245,[17 15] ; [17 71],[ 9.06666667 22.93333333] ; [24.93333333 63.06666667],1
p4,1,0.000466,12.24654,[21 11] ; [27 62],[12.69421488 19.30578512] ; [35.30578512 53.69421488],1
s7,1,0.001107,10.639528,[19 12] ; [24 61],[11.49137931 19.50862069] ; [31.50862069 53.49137931],0
s2,1,0.002141,9.424577,[19 13] ; [25 62],[11.83193277 20.16806723] ; [32.16806723 54.83193277],0
s3,1,0.003744,8.40407,[23  9] ; [36 50],[16. 16.] ; [43. 43.],0
b3,1,0.00805,7.022327,[12  8] ; [17 45],[ 7.07317073 12.92682927] ; [21.92682927 40.07317073],0
b2,1,0.00805,7.022327,[12  8] ; [17 45],[ 7.07317073 12.92682927] ; [21.92682927 40.07317073],0
p2,1,0.009188,6.785893,[25  7] ; [46 43],[18.7768595 13.2231405] ; [52.2231405 36.7768595],0
p7,1,0.012145,6.289638,[20 12] ; [32 55],[13.98319328 18.01680672] ; [38.01680672 48.98319328],0
p9,1,0.017241,5.67163,[18 14] ; [27 57],[12.4137931 19.5862069] ; [32.5862069 51.4137931],0
v2,1,0.021623,5.275903,[16 15] ; [25 62],[10.77118644 20.22881356] ; [30.22881356 56.77118644],0
r3,1,0.022462,5.209618,[29  3] ; [62 26],[24.26666667  7.73333333] ; [66.73333333 21.26666667],0
p3,1,0.031044,4.650532,[14 18] ; [21 68],[ 9.25619835 22.74380165] ; [25.74380165 63.25619835],0
n3,1,0.050792,3.815124,[9 2] ; [19 20],[6.16 4.84] ; [21.84 17.16],0
u4,1,0.082313,3.018627,[ 3 29] ; [ 2 87],[ 1.32231405 30.67768595] ; [ 3.67768595 85.32231405],0
n6,1,0.099067,2.720493,[27  5] ; [61 27],[23.46666667  8.53333333] ; [64.53333333 23.46666667],0
s6,1,0.128735,2.307692,[21 11] ; [44 44],[17.33333333 14.66666667] ; [47.66666667 40.33333333],0
p11,1,0.130897,2.281835,[19 13] ; [39 50],[15.33884298 16.66115702] ; [42.66115702 46.33884298],0
r4,1,0.138806,2.191146,[26  6] ; [60 29],[22.74380165  9.25619835] ; [63.25619835 25.74380165],0
d4,1,0.143007,2.145306,[25  7] ; [55 31],[21.69491525 10.30508475] ; [58.30508475 27.69491525],0
d3,1,0.192736,1.696577,[21 11] ; [46 42],[17.86666667 14.13333333] ; [49.13333333 38.86666667],0
r2,1,0.237055,1.398022,[29  2] ; [76 13],[27.125  3.875] ; [77.875 11.125],0
b5,1,0.258626,1.276096,[23  9] ; [54 35],[20.36363636 11.63636364] ; [56.63636364 32.36363636],0
d1,1,0.272213,1.205559,[18 14] ; [40 49],[15.33884298 16.66115702] ; [42.66115702 46.33884298],0
a5,1,0.277049,1.181508,[17 15] ; [57 32],[19.57024793 12.42975207] ; [54.42975207 34.57024793],0
s5,1,0.313271,1.016836,[ 4 25] ; [20 69],[ 5.89830508 23.10169492] ; [18.10169492 70.89830508],0
n2,1,0.31822,0.99625,[8 3] ; [23 18],[6.55769231 4.44230769] ; [24.44230769 16.55769231],0
p1,1,0.319319,0.991736,[ 4 28] ; [ 6 82],[ 2.66666667 29.33333333] ; [ 7.33333333 80.66666667],0
p5,1,0.319319,0.991736,[ 4 28] ; [ 6 82],[ 2.66666667 29.33333333] ; [ 7.33333333 80.66666667],0
a7,1,0.335857,0.926183,[22 10] ; [52 36],[19.73333333 12.26666667] ; [54.26666667 33.73333333],0
n1,1,0.395766,0.721154,[6 4] ; [18 22],[4.8 5.2] ; [19.2 20.8],0
d5,1,0.405314,0.692505,[25  7] ; [62 26],[23.2  8.8] ; [63.8 24.2],0
a1,1,0.418345,0.654959,[ 2 30] ; [10 79],[ 3.17355372 28.82644628] ; [ 8.82644628 80.17355372],0
a2,1,0.420194,0.649774,[ 6 26] ; [23 66],[ 7.66942149 24.33057851] ; [21.33057851 67.66942149],0
u1,1,0.431201,0.619587,[ 7 25] ; [14 75],[ 5.55371901 26.44628099] ; [15.44628099 73.55371901],0
v1,1,0.535724,0.383524,[12 19] ; [29 60],[10.59166667 20.40833333] ; [30.40833333 58.59166667],0
n4,1,0.56953,0.32347,[27  5] ; [71 18],[25.91735537  6.08264463] ; [72.08264463 16.91735537],0
u2,1,0.596049,0.280995,[6 6] ; [14 20],[5.2173913 6.7826087] ; [14.7826087 19.2173913],0
v3,1,0.691898,0.157038,[ 8 23] ; [26 62],[ 8.85714286 22.14285714] ; [25.14285714 62.85714286],0
a6,1,0.736042,0.113636,[20 12] ; [52 36],[19.2 12.8] ; [52.8 35.2],0
a4,1,0.78084,0.077409,[16 16] ; [41 46],[15.32773109 16.67226891] ; [41.67226891 45.32773109],0
d2,1,0.79404,0.068157,[17 15] ; [48 38],[17.62711864 14.37288136] ; [47.37288136 38.62711864],0
s1,1,0.829994,0.0461,[ 2 28] ; [ 7 82],[ 2.26890756 27.73109244] ; [ 6.73109244 82.26890756],0
a8,1,0.856297,0.032794,[ 4 25] ; [12 67],[ 4.2962963 24.7037037] ; [11.7037037 67.2962963],0
r1,1,0.860062,0.03108,[22 10] ; [59 29],[21.6 10.4] ; [59.4 28.6],0
u3,1,0.867518,0.027826,[6 6] ; [17 19],[5.75 6.25] ; [17.25 18.75],0
b1,1,0.870058,0.02676,[16 16] ; [43 46],[15.60330579 16.39669421] ; [43.39669421 45.60330579],0
a3,1,0.875259,0.024644,[20 12] ; [53 34],[19.6302521 12.3697479] ; [53.3697479 33.6302521],0
b4,1,0.897486,0.016599,[19 13] ; [54 35],[19.30578512 12.69421488] ; [53.69421488 35.30578512],0
s4,1,0.906588,0.013769,[ 5 26] ; [15 73],[ 5.21008403 25.78991597] ; [14.78991597 73.21008403],0
