Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,4.4e-05,16.678766,[31  9] ; [ 9 22],[22.53521127 17.46478873] ; [17.46478873 13.53521127],1
d5,1,5.2e-05,16.371361,[29 12] ; [ 7 24],[20.5 20.5] ; [15.5 15.5],1
a5,1,0.000575,11.856134,[26 15] ; [ 7 24],[18.79166667 22.20833333] ; [14.20833333 16.79166667],1
a4,1,0.003724,8.413642,[18 22] ; [ 4 27],[12.3943662 27.6056338] ; [ 9.6056338 21.3943662],0
d2,1,0.007573,7.131815,[23 17] ; [ 8 23],[17.46478873 22.53521127] ; [13.53521127 17.46478873],0
d3,1,0.012326,6.263433,[18 23] ; [ 5 26],[13.09722222 27.90277778] ; [ 9.90277778 21.09722222],0
v3,1,0.015426,5.867146,[12 29] ; [ 2 29],[ 7.97222222 33.02777778] ; [ 6.02777778 24.97222222],0
r1,1,0.039282,4.248623,[14 27] ; [ 4 27],[10.25 30.75] ; [ 7.75 23.25],0
s7,1,0.039975,4.218951,[17 21] ; [ 6 23],[13.04477612 24.95522388] ; [ 9.95522388 19.04477612],0
r3,1,0.052638,3.755367,[24 17] ; [11 20],[19.93055556 21.06944444] ; [15.06944444 15.93055556],0
n6,1,0.064579,3.4157,[28 12] ; [15 16],[24.22535211 15.77464789] ; [18.77464789 12.22535211],0
p3,1,0.064682,3.413059,[14 25] ; [ 5 26],[10.58571429 28.41428571] ; [ 8.41428571 22.58571429],0
s3,1,0.116189,2.467949,[18 22] ; [ 8 22],[14.85714286 25.14285714] ; [11.14285714 18.85714286],0
v1,1,0.122976,2.379009,[17 22] ; [ 8 23],[13.92857143 25.07142857] ; [11.07142857 19.92857143],0
s8,1,0.14966,2.075713,[11 30] ; [ 4 27],[ 8.54166667 32.45833333] ; [ 6.45833333 24.54166667],0
p4,1,0.238476,1.389578,[18 21] ; [10 21],[15.6 23.4] ; [12.4 18.6],0
p8,1,0.238967,1.386677,[ 8 32] ; [10 21],[10.14084507 29.85915493] ; [ 7.85915493 23.14084507],0
s4,1,0.241659,1.370889,[ 5 36] ; [ 7 24],[ 6.83333333 34.16666667] ; [ 5.16666667 25.83333333],0
s5,1,0.25075,1.31912,[ 8 33] ; [ 3 28],[ 6.26388889 34.73611111] ; [ 4.73611111 26.26388889],0
n5,1,0.391931,0.732942,[28 13] ; [24  7],[29.61111111 11.38888889] ; [22.38888889  8.61111111],0
b4,1,0.392085,0.732467,[24 17] ; [15 16],[22.20833333 18.79166667] ; [16.79166667 14.20833333],0
a1,1,0.415338,0.66347,[ 5 36] ; [ 2 29],[ 3.98611111 37.01388889] ; [ 3.01388889 27.98611111],0
p5,1,0.438524,0.600141,[ 3 37] ; [ 1 30],[ 2.25352113 37.74647887] ; [ 1.74647887 29.25352113],0
p10,1,0.447624,0.576661,[21 19] ; [13 17],[19.42857143 20.57142857] ; [14.57142857 15.42857143],0
s2,1,0.500826,0.453186,[15 26] ; [ 9 22],[13.66666667 27.33333333] ; [10.33333333 20.66666667],0
n3,1,0.502335,0.45,[7 9] ; [11  9],[8. 8.] ; [10. 10.],0
v4,1,0.5946,0.283218,[22 19] ; [18 12],[23.09859155 17.90140845] ; [16.90140845 13.09859155],0
p7,1,0.606192,0.265757,[14 25] ; [13 18],[15.04285714 23.95714286] ; [11.95714286 19.04285714],0
p2,1,0.613894,0.254544,[21 17] ; [19 12],[22.02898551 15.97101449] ; [17.97101449 13.02898551],0
p1,1,0.61543,0.252342,[ 4 37] ; [ 2 29],[ 3.41666667 37.58333333] ; [ 2.58333333 28.41666667],0
p9,1,0.634004,0.226671,[23 17] ; [15 14],[22.02898551 17.97101449] ; [15.97101449 13.02898551],0
