Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,8e-06,19.931894,[30 56] ; [41 15],[43. 43.] ; [28. 28.],1
n6,1,0.000248,13.428446,[62 24] ; [54  2],[70.25352113 15.74647887] ; [45.74647887 10.25352113],1
v4,1,0.000326,12.913354,[60 26] ; [53  3],[68.43661972 17.56338028] ; [44.56338028 11.43661972],1
p5,1,0.001126,10.608032,[ 4 81] ; [13 44],[10.17605634 74.82394366] ; [ 6.82394366 50.17605634],0
p4,1,0.001487,10.094276,[34 52] ; [38 19],[43.3006993 42.6993007] ; [28.6993007 28.3006993],0
p2,1,0.002168,9.401268,[53 32] ; [49  8],[61.05633803 23.94366197] ; [40.94366197 16.05633803],0
p10,1,0.003126,8.732406,[53 32] ; [47  8],[60.71428571 24.28571429] ; [39.28571429 15.71428571],0
p3,1,0.006652,7.364621,[30 56] ; [33 24],[37.88811189 48.11188811] ; [25.11188811 31.88811189],0
p6,1,0.007654,7.112667,[20 64] ; [25 30],[27.1942446 56.8057554] ; [17.8057554 37.1942446],0
p11,1,0.008235,6.981745,[55 31] ; [48  9],[61.94405594 24.05594406] ; [41.05594406 15.94405594],0
d2,1,0.010925,6.477452,[40 44] ; [15 42],[32.76595745 51.23404255] ; [22.23404255 34.76595745],0
p9,1,0.013701,6.076244,[60 23] ; [51  6],[65.80714286 17.19285714] ; [45.19285714 11.80714286],0
p12,1,0.015019,5.914253,[ 2 84] ; [ 7 49],[ 5.45070423 80.54929577] ; [ 3.54929577 52.45070423],0
r3,1,0.016599,5.738299,[62 23] ; [51  6],[67.64084507 17.35915493] ; [45.35915493 11.64084507],0
r4,1,0.016681,5.729622,[43 43] ; [40 17],[49.91608392 36.08391608] ; [33.08391608 23.91608392],0
v1,1,0.02689,4.897867,[28 53] ; [30 26],[34.2919708 46.7080292] ; [23.7080292 32.2919708],0
s1,1,0.027422,4.864073,[ 1 84] ; [ 5 52],[ 3.5915493 81.4084507] ; [ 2.4084507 54.5915493],0
n1,1,0.071488,3.248513,[15 12] ; [ 4 11],[12.21428571 14.78571429] ; [6.78571429 8.21428571],0
a4,1,0.083321,2.998893,[36 49] ; [16 41],[31.12676056 53.87323944] ; [20.87323944 36.12676056],0
s7,1,0.096788,2.75768,[27 55] ; [25 28],[31.58518519 50.41481481] ; [20.41481481 32.58518519],0
s8,1,0.09873,2.72594,[22 64] ; [22 35],[26.46153846 59.53846154] ; [17.53846154 39.46153846],0
b5,1,0.114848,2.486216,[58 28] ; [31 26],[53.52447552 32.47552448] ; [35.47552448 21.52447552],0
v2,1,0.13827,2.19711,[32 50] ; [29 27],[36.24637681 45.75362319] ; [24.75362319 31.24637681],0
b1,1,0.151927,2.052799,[39 47] ; [19 38],[34.88111888 51.11888112] ; [23.11888112 33.88111888],0
n5,1,0.15242,2.047859,[69 17] ; [50  6],[72.07042254 13.92957746] ; [46.92957746  9.07042254],0
s6,1,0.16059,1.968661,[40 45] ; [32 22],[44.02877698 40.97122302] ; [27.97122302 26.02877698],0
b3,1,0.16228,1.952852,[24 33] ; [10 26],[20.83870968 36.16129032] ; [13.16129032 22.83870968],0
b2,1,0.16228,1.952852,[24 33] ; [10 26],[20.83870968 36.16129032] ; [13.16129032 22.83870968],0
a3,1,0.170676,1.876998,[58 28] ; [32 25],[54.12587413 31.87412587] ; [35.87412587 21.12587413],0
s3,1,0.191449,1.706434,[36 49] ; [30 26],[39.78723404 45.21276596] ; [26.21276596 29.78723404],0
v3,1,0.212749,1.552623,[24 60] ; [22 35],[27.40425532 56.59574468] ; [18.59574468 38.40425532],0
s5,1,0.231041,1.43444,[14 65] ; [14 39],[16.75757576 62.24242424] ; [11.24242424 41.75757576],0
a2,1,0.262788,1.25401,[13 73] ; [ 5 52],[10.82517483 75.17482517] ; [ 7.17482517 49.82517483],0
u1,1,0.264236,1.246428,[ 7 79] ; [ 2 55],[ 5.41258741 80.58741259] ; [ 3.58741259 53.41258741],0
d4,1,0.303962,1.05673,[58 28] ; [43 14],[60.74125874 25.25874126] ; [40.25874126 16.74125874],0
u3,1,0.33025,0.947917,[ 7 21] ; [ 9 15],[ 8.61538462 19.38461538] ; [ 7.38461538 16.61538462],0
r2,1,0.340456,0.908712,[62 19] ; [45  9],[64.2 16.8] ; [42.8 11.2],0
s2,1,0.348662,0.87832,[31 55] ; [25 32],[33.67832168 52.32167832] ; [22.32167832 34.67832168],0
u2,1,0.415801,0.662152,[11 16] ; [13 12],[12.46153846 14.53846154] ; [11.53846154 13.46153846],0
s4,1,0.431735,0.618152,[11 75] ; [10 47],[12.62937063 73.37062937] ; [ 8.37062937 48.62937063],0
a7,1,0.507229,0.439779,[48 38] ; [35 22],[49.91608392 36.08391608] ; [33.08391608 23.91608392],0
a6,1,0.512886,0.428174,[53 33] ; [32 25],[51.11888112 34.88111888] ; [33.88111888 23.11888112],0
d5,1,0.53135,0.39181,[63 23] ; [39 18],[61.34265734 24.65734266] ; [40.65734266 16.34265734],0
n2,1,0.539241,0.376948,[20  8] ; [12  3],[20.8372093  7.1627907] ; [11.1627907  3.8372093],0
p1,1,0.569293,0.323867,[ 8 78] ; [ 7 50],[ 9.02097902 76.97902098] ; [ 5.97902098 51.02097902],0
a1,1,0.626898,0.236291,[ 7 79] ; [ 6 51],[ 7.81818182 78.18181818] ; [ 5.18181818 51.81818182],0
d1,1,0.64982,0.206127,[38 48] ; [23 34],[36.68531469 49.31468531] ; [24.31468531 32.68531469],0
a8,1,0.671836,0.179462,[11 70] ; [ 6 48],[10.2 70.8] ; [ 6.8 47.2],0
d3,1,0.808977,0.058441,[45 41] ; [31 26],[45.70629371 40.29370629] ; [30.29370629 26.70629371],0
b4,1,0.857518,0.032233,[50 36] ; [34 23],[50.51748252 35.48251748] ; [33.48251748 23.51748252],0
n3,1,0.904973,0.014252,[21  7] ; [11  4],[20.8372093  7.1627907] ; [11.1627907  3.8372093],0
a5,1,0.913462,0.01181,[49 37] ; [33 24],[49.31468531 36.68531469] ; [32.68531469 24.31468531],0
