Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,62.028387,[ 4 33] ; [90 19],[23.82191781 13.17808219] ; [70.17808219 38.82191781],1
p11,1,0.0,37.129786,[ 3 34] ; [72 37],[19.00684932 17.99315068] ; [55.99315068 53.00684932],1
v4,1,0.0,25.849973,[16 21] ; [93 16],[27.62328767  9.37671233] ; [81.37671233 27.62328767],1
v2,1,9.9e-05,15.147093,[ 5 31] ; [53 51],[14.91428571 21.08571429] ; [43.08571429 60.91428571],1
p9,1,0.000227,13.593231,[ 8 26] ; [64 43],[17.36170213 16.63829787] ; [54.63829787 52.36170213],1
p10,1,0.000366,12.697971,[ 8 28] ; [61 47],[17.25 18.75] ; [51.75 56.25],1
s2,1,0.000391,12.573638,[ 3 34] ; [43 66],[11.65753425 25.34246575] ; [34.34246575 74.65753425],1
n6,1,0.000417,12.455219,[14 22] ; [78 31],[22.84137931 13.15862069] ; [69.15862069 39.84137931],1
r1,1,0.000848,11.132294,[14 23] ; [75 34],[22.55479452 14.44520548] ; [66.44520548 42.55479452],1
s6,1,0.002758,8.960796,[ 7 30] ; [51 58],[14.69863014 22.30136986] ; [43.30136986 65.69863014],0
r2,1,0.004873,7.925856,[23 12] ; [93 14],[28.5915493  6.4084507] ; [87.4084507 19.5915493],0
u2,1,0.008119,7.006966,[ 3 11] ; [25 15],[7.25925926 6.74074074] ; [20.74074074 19.25925926],0
s8,1,0.008895,6.843768,[ 3 34] ; [32 77],[ 8.86986301 28.13013699] ; [26.13013699 82.86986301],0
u3,1,0.012983,6.171429,[ 3 11] ; [24 16],[7. 7.] ; [20. 20.],0
a1,1,0.013305,6.128076,[ 7 30] ; [  6 103],[ 3.29452055 33.70547945] ; [ 9.70547945 99.29452055],0
b5,1,0.015508,5.85786,[15 22] ; [69 40],[21.28767123 15.71232877] ; [62.71232877 46.28767123],0
p7,1,0.019153,5.487528,[ 5 30] ; [37 68],[10.5 24.5] ; [31.5 73.5],0
n3,1,0.01976,5.432985,[ 7 12] ; [25 11],[11.05454545  7.94545455] ; [20.94545455 15.05454545],0
p4,1,0.02076,5.346805,[ 4 32] ; [33 75],[ 9.25 26.75] ; [27.75 80.25],0
u1,1,0.024362,5.068705,[ 1 36] ; [19 90],[ 5.06849315 31.93150685] ; [14.93150685 94.06849315],0
s3,1,0.025339,5.000575,[ 8 27] ; [48 61],[13.61111111 21.38888889] ; [42.38888889 66.61111111],0
s7,1,0.029775,4.722222,[ 5 29] ; [35 67],[10. 24.] ; [30. 72.],0
n2,1,0.030734,4.667737,[ 9 11] ; [28 10],[12.75862069  7.24137931] ; [24.24137931 13.75862069],0
p1,1,0.031464,4.627459,[ 5 32] ; [  4 105],[ 2.28082192 34.71917808] ; [  6.71917808 102.28082192],0
d4,1,0.047999,3.910035,[21 16] ; [80 28],[25.77241379 11.22758621] ; [75.22758621 32.77241379],0
s1,1,0.073647,3.199812,[ 6 31] ; [  7 101],[ 3.31724138 33.68275862] ; [ 9.68275862 98.31724138],0
a7,1,0.094425,2.797263,[18 19] ; [70 39],[22.30136986 14.69863014] ; [65.69863014 43.30136986],0
p3,1,0.109327,2.563922,[ 6 31] ; [32 76],[ 9.69655172 27.30344828] ; [28.30344828 79.69655172],0
b1,1,0.127182,2.326573,[22 15] ; [49 60],[17.99315068 19.00684932] ; [53.00684932 55.99315068],0
v1,1,0.15202,2.051865,[ 8 29] ; [36 69],[11.46478873 25.53521127] ; [32.53521127 72.46478873],0
p5,1,0.156155,2.011076,[ 3 33] ; [  3 103],[ 1.52112676 34.47887324] ; [  4.47887324 101.52112676],0
b3,1,0.210495,1.568021,[13 15] ; [22 45],[10.31578947 17.68421053] ; [24.68421053 42.31578947],0
b2,1,0.210495,1.568021,[13 15] ; [22 45],[10.31578947 17.68421053] ; [24.68421053 42.31578947],0
