Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,23.362849,[22 49] ; [27  6],[33.45192308 37.54807692] ; [15.54807692 17.45192308],1
r1,1,0.000593,11.797113,[39 33] ; [30  4],[46.86792453 25.13207547] ; [22.13207547 11.86792453],1
r4,1,0.00473,7.979809,[55 19] ; [33  1],[60.2962963 13.7037037] ; [27.7037037  6.2962963],0
n4,1,0.005154,7.824537,[45 28] ; [30  4],[51.1682243 21.8317757] ; [23.8317757 10.1682243],0
d3,1,0.009325,6.759583,[16 56] ; [16 18],[21.73584906 50.26415094] ; [10.26415094 23.73584906],0
p3,1,0.011967,6.31573,[33 41] ; [24 10],[39.05555556 34.94444444] ; [17.94444444 16.05555556],0
v1,1,0.015037,5.912122,[24 47] ; [20 14],[29.75238095 41.24761905] ; [14.24761905 19.75238095],0
p4,1,0.036163,4.389411,[41 33] ; [26  8],[45.90740741 28.09259259] ; [21.09259259 12.90740741],0
a7,1,0.043237,4.086093,[41 32] ; [26  8],[45.71028037 27.28971963] ; [21.28971963 12.71028037],0
a5,1,0.048858,3.880208,[35 39] ; [23 11],[39.74074074 34.25925926] ; [18.25925926 15.74074074],0
s5,1,0.061645,3.492565,[16 57] ; [13 20],[19.97169811 53.02830189] ; [ 9.02830189 23.97169811],0
p5,1,0.068235,3.324969,[ 6 67] ; [ 7 27],[ 8.86915888 64.13084112] ; [ 4.13084112 29.86915888],0
p1,1,0.083982,2.986106,[ 8 66] ; [ 8 26],[10.96296296 63.03703704] ; [ 5.03703704 28.96296296],0
s4,1,0.124427,2.360698,[18 55] ; [ 4 30],[15.00934579 57.99065421] ; [ 6.99065421 27.00934579],0
p12,1,0.130625,2.285058,[ 3 71] ; [ 4 30],[ 4.7962963 69.2037037] ; [ 2.2037037 31.7962963],0
r2,1,0.175665,1.83392,[62 11] ; [32  2],[64.13084112  8.86915888] ; [29.86915888  4.13084112],0
p8,1,0.178203,1.812551,[41 31] ; [24 10],[44.1509434 27.8490566] ; [20.8490566 13.1509434],0
s3,1,0.182657,1.775874,[35 38] ; [21 13],[38.20560748 34.79439252] ; [17.79439252 16.20560748],0
s7,1,0.184978,1.75717,[28 41] ; [17 14],[31.05 37.95] ; [13.95 17.05],0
n6,1,0.202818,1.621962,[55 19] ; [29  5],[57.55555556 16.44444444] ; [26.44444444  7.55555556],0
n5,1,0.217565,1.52036,[52 21] ; [28  6],[54.57943925 18.42056075] ; [25.42056075  8.57943925],0
v4,1,0.223474,1.48192,[66  7] ; [33  1],[67.54205607  5.45794393] ; [31.45794393  2.54205607],0
n1,1,0.227107,1.458891,[ 9 14] ; [4 2],[10.31034483 12.68965517] ; [2.68965517 3.31034483],0
d2,1,0.231627,1.430843,[21 53] ; [ 6 28],[18.5 55.5] ; [ 8.5 25.5],0
r3,1,0.316273,1.004299,[65  9] ; [32  2],[66.46296296  7.53703704] ; [30.53703704  3.46296296],0
p10,1,0.349757,0.87434,[51 21] ; [27  7],[52.98113208 19.01886792] ; [25.01886792  8.98113208],0
p6,1,0.357095,0.848085,[30 44] ; [17 17],[32.2037037 41.7962963] ; [14.7962963 19.2037037],0
b2,1,0.363848,0.824569,[ 9 37] ; [ 7 17],[10.51428571 35.48571429] ; [ 5.48571429 18.51428571],0
b3,1,0.363848,0.824569,[ 9 37] ; [ 7 17],[10.51428571 35.48571429] ; [ 5.48571429 18.51428571],0
a3,1,0.419688,0.651188,[33 41] ; [18 16],[34.94444444 39.05555556] ; [16.05555556 17.94444444],0
p9,1,0.450245,0.570035,[53 20] ; [27  7],[54.57943925 18.42056075] ; [25.42056075  8.57943925],0
s8,1,0.481116,0.496333,[31 42] ; [12 22],[29.3364486 43.6635514] ; [13.6635514 20.3364486],0
u2,1,0.501336,0.452107,[22 19] ; [7 9],[20.85964912 20.14035088] ; [8.14035088 7.85964912],0
a2,1,0.542604,0.370734,[ 6 68] ; [ 4 30],[ 6.85185185 67.14814815] ; [ 3.14814815 30.85185185],0
u3,1,0.559477,0.34061,[17 24] ; [8 8],[17.98245614 23.01754386] ; [7.01754386 8.98245614],0
u1,1,0.571369,0.320398,[ 4 70] ; [ 1 33],[ 3.42592593 70.57407407] ; [ 1.57407407 32.42592593],0
s6,1,0.621598,0.243628,[39 33] ; [19 13],[40.15384615 31.84615385] ; [17.84615385 14.15384615],0
d1,1,0.674513,0.176369,[ 3 71] ; [ 2 32],[ 3.42592593 70.57407407] ; [ 1.57407407 32.42592593],0
a4,1,0.697081,0.151527,[22 51] ; [ 9 25],[21.14953271 51.85046729] ; [ 9.85046729 24.14953271],0
p11,1,0.70007,0.148399,[54 20] ; [26  8],[54.81481481 19.18518519] ; [25.18518519  8.81481481],0
d5,1,0.726864,0.122011,[37 36] ; [16 18],[36.1588785 36.8411215] ; [16.8411215 17.1588785],0
a6,1,0.73931,0.110734,[41 33] ; [20 14],[41.7962963 32.2037037] ; [19.2037037 14.7962963],0
s2,1,0.740983,0.109264,[28 46] ; [14 20],[28.77777778 45.22222222] ; [13.22222222 20.77777778],0
a8,1,0.744991,0.105788,[ 7 63] ; [ 4 29],[ 7.47572816 62.52427184] ; [ 3.52427184 29.47572816],0
n3,1,0.788281,0.072115,[21  3] ; [5 1],[20.8  3.2] ; [5.2 0.8],0
b5,1,0.81118,0.057075,[41 33] ; [18 16],[40.42592593 33.57407407] ; [18.57407407 15.42592593],0
p2,1,0.852985,0.03434,[62 12] ; [28  6],[61.66666667 12.33333333] ; [28.33333333  5.66666667],0
b1,1,0.877945,0.023585,[36 38] ; [16 18],[35.62962963 38.37037037] ; [16.37037037 17.62962963],0
b4,1,0.914214,0.011605,[34 40] ; [16 18],[34.25925926 39.74074074] ; [15.74074074 18.25925926],0
