Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s1,1,6e-06,20.465528,[ 5 95] ; [3 2],[ 7.61904762 92.38095238] ; [0.38095238 4.61904762],1
r4,1,6e-06,20.422323,[91 10] ; [1 4],[87.66037736 13.33962264] ; [4.33962264 0.66037736],1
r3,1,8.1e-05,15.523421,[93  7] ; [2 3],[90.47619048  9.52380952] ; [4.52380952 0.47619048],1
p2,1,0.000818,11.198808,[83 18] ; [1 4],[80.03773585 20.96226415] ; [3.96226415 1.03773585],1
p9,1,0.001546,10.023098,[90 11] ; [2 3],[87.66037736 13.33962264] ; [4.33962264 0.66037736],0
r2,1,0.005205,7.806638,[92  8] ; [2 2],[90.38461538  9.61538462] ; [3.61538462 0.38461538],0
s6,1,0.005541,7.693978,[83 13] ; [2 3],[80.79207921 15.20792079] ; [4.20792079 0.79207921],0
p10,1,0.008675,6.888569,[86 15] ; [2 3],[83.8490566 17.1509434] ; [4.1509434 0.8490566],0
n2,1,0.01424,6.008127,[16  3] ; [1 3],[14.04347826  4.95652174] ; [2.95652174 1.04347826],0
d5,1,0.026639,4.914046,[82 19] ; [2 3],[80.03773585 20.96226415] ; [3.96226415 1.03773585],0
a7,1,0.030227,4.696339,[68 33] ; [1 4],[65.74528302 35.25471698] ; [3.25471698 1.74528302],0
a6,1,0.040126,4.212559,[66 35] ; [1 4],[63.83962264 37.16037736] ; [3.16037736 1.83962264],0
p11,1,0.04942,3.861038,[79 22] ; [2 3],[77.17924528 23.82075472] ; [3.82075472 1.17924528],0
n6,1,0.052755,3.751655,[90 11] ; [3 2],[88.61320755 12.38679245] ; [4.38679245 0.61320755],0
n3,1,0.058346,3.583795,[17  2] ; [2 2],[15.69565217  3.30434783] ; [3.30434783 0.69565217],0
b5,1,0.081831,3.028156,[60 41] ; [1 4],[58.12264151 42.87735849] ; [2.87735849 2.12264151],0
b4,1,0.100104,2.703885,[58 43] ; [1 4],[56.21698113 44.78301887] ; [2.78301887 2.21698113],0
n5,1,0.111009,2.539802,[87 14] ; [3 2],[85.75471698 15.24528302] ; [4.24528302 0.75471698],0
s8,1,0.120719,2.407962,[56 45] ; [1 4],[54.31132075 46.68867925] ; [2.68867925 2.31132075],0
s5,1,0.133253,2.254198,[49 41] ; [1 4],[47.36842105 42.63157895] ; [2.63157895 2.36842105],0
p4,1,0.207862,1.586252,[68 33] ; [2 3],[66.69811321 34.30188679] ; [3.30188679 1.69811321],0
d2,1,0.212477,1.554467,[52 49] ; [4 1],[53.35849057 47.64150943] ; [2.64150943 2.35849057],0
p7,1,0.214505,1.540761,[67 33] ; [2 3],[65.71428571 34.28571429] ; [3.28571429 1.71428571],0
p6,1,0.271529,1.209009,[45 55] ; [1 4],[43.80952381 56.19047619] ; [2.19047619 2.80952381],0
r1,1,0.277007,1.181715,[81 20] ; [3 2],[80.03773585 20.96226415] ; [3.96226415 1.03773585],0
p1,1,0.280176,1.166236,[ 7 94] ; [1 4],[ 7.62264151 93.37735849] ; [0.37735849 4.62264151],0
d4,1,0.342047,0.902745,[79 22] ; [3 2],[78.13207547 22.86792453] ; [3.86792453 1.13207547],0
n1,1,0.349445,0.87547,[ 5 14] ; [2 2],[ 5.7826087 13.2173913] ; [1.2173913 2.7826087],0
p8,1,0.466815,0.529505,[56 43] ; [2 3],[55.21153846 43.78846154] ; [2.78846154 2.21153846],0
a5,1,0.48028,0.498227,[75 26] ; [3 2],[74.32075472 26.67924528] ; [3.67924528 1.32075472],0
s3,1,0.499248,0.456535,[73 26] ; [3 2],[72.34615385 26.65384615] ; [3.65384615 1.34615385],0
s2,1,0.54603,0.364478,[71 27] ; [3 2],[70.40776699 27.59223301] ; [3.59223301 1.40776699],0
d3,1,0.551922,0.353886,[73 28] ; [3 2],[72.41509434 28.58490566] ; [3.58490566 1.41509434],0
s7,1,0.579486,0.307067,[63 36] ; [2 2],[62.47572816 36.52427184] ; [2.52427184 1.47572816],0
v3,1,0.592814,0.285971,[31 68] ; [1 4],[30.46153846 68.53846154] ; [1.53846154 3.46153846],0
a4,1,0.616047,0.251463,[49 52] ; [3 2],[49.54716981 51.45283019] ; [2.45283019 2.54716981],0
v1,1,0.678141,0.172226,[51 50] ; [3 2],[51.45283019 49.54716981] ; [2.54716981 2.45283019],0
a3,1,0.705343,0.142973,[73 28] ; [4 1],[73.36792453 27.63207547] ; [3.63207547 1.36792453],0
v2,1,0.711014,0.137266,[48 51] ; [2 3],[47.59615385 51.40384615] ; [2.40384615 2.59615385],0
b3,1,0.795809,0.066964,[11 45] ; [1 3],[11.2 44.8] ; [0.8 3.2],0
b2,1,0.795809,0.066964,[11 45] ; [1 3],[11.2 44.8] ; [0.8 3.2],0
p3,1,0.944055,0.004924,[59 42] ; [3 2],[59.0754717 41.9245283] ; [2.9245283 2.0754717],0
d1,1,0.950464,0.003859,[62 39] ; [3 2],[61.93396226 39.06603774] ; [3.06603774 1.93396226],0
