Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.0,27.202115,[ 49 217] ; [19 13],[ 60.69798658 205.30201342] ; [ 7.30201342 24.69798658],1
p12,1,0.000498,12.12361,[ 10 257] ; [ 6 27],[ 14.24 252.76] ; [ 1.76 31.24],1
p4,1,0.000705,11.475506,[144 123] ; [28  5],[153.08 113.92] ; [18.92 14.08],1
p3,1,0.000868,11.089365,[116 152] ; [25  9],[125.12582781 142.87417219] ; [15.87417219 18.12582781],1
p1,1,0.007976,7.038785,[ 19 250] ; [ 7 27],[ 23.08250825 245.91749175] ; [ 2.91749175 31.08250825],0
p7,1,0.008108,7.009541,[148 118] ; [27  7],[155.16666667 110.83333333] ; [19.83333333 14.16666667],0
p8,1,0.008618,6.90024,[127 135] ; [24  9],[134.10847458 127.89152542] ; [16.89152542 16.10847458],0
b3,1,0.027994,4.828466,[ 59 101] ; [14  9],[63.82513661 96.17486339] ; [ 9.17486339 13.82513661],0
b2,1,0.027994,4.828466,[ 59 101] ; [14  9],[63.82513661 96.17486339] ; [ 9.17486339 13.82513661],0
p10,1,0.030204,4.697661,[207  59] ; [31  2],[211.73244147  54.26755853] ; [26.26755853  6.73244147],0
p11,1,0.032813,4.555521,[201  68] ; [31  3],[205.9669967  63.0330033] ; [26.0330033  7.9669967],0
v3,1,0.032897,4.551113,[ 94 171] ; [18 15],[ 99.59731544 165.40268456] ; [12.40268456 20.59731544],0
b4,1,0.049423,3.860927,[142 127] ; [24 10],[147.37293729 121.62706271] ; [18.62706271 15.37293729],0
p9,1,0.05069,3.818492,[211  53] ; [31  2],[215.11111111  48.88888889] ; [26.88888889  6.11111111],0
v1,1,0.080041,3.064079,[140 127] ; [22 10],[144.66220736 122.33779264] ; [17.33779264 14.66220736],0
p6,1,0.084357,2.978899,[ 81 184] ; [15 18],[ 85.36912752 179.63087248] ; [10.63087248 22.36912752],0
u2,1,0.098244,2.733824,[44 46] ; [7 2],[46.36363636 43.63636364] ; [4.63636364 4.36363636],0
b1,1,0.113877,2.499569,[ 97 172] ; [17 17],[101.20792079 167.79207921] ; [12.79207921 21.20792079],0
v2,1,0.133875,2.246989,[138 123] ; [22 11],[142.04081633 118.95918367] ; [17.95918367 15.04081633],0
s6,1,0.174327,1.845334,[117 151] ; [17 13],[120.51006711 147.48993289] ; [13.48993289 16.51006711],0
u3,1,0.182475,1.77735,[40 52] ; [6 3],[41.9009901 50.0990099] ; [4.0990099 4.9009901],0
r2,1,0.188335,1.730593,[239  27] ; [28  6],[236.74  29.26] ; [30.26  3.74],0
