Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.000129,14.662451,[27 34] ; [ 3 35],[18.48484848 42.51515152] ; [11.51515152 26.48484848],1
b3,1,0.000129,14.662451,[27 34] ; [ 3 35],[18.48484848 42.51515152] ; [11.51515152 26.48484848],1
v3,1,0.000133,14.5951,[46 45] ; [19 65],[33.8 57.2] ; [31.2 52.8],1
a5,1,0.000208,13.755202,[74 19] ; [46 40],[62.34636872 30.65363128] ; [57.65363128 28.34636872],1
v2,1,0.001337,10.290598,[56 35] ; [30 51],[45.5 45.5] ; [40.5 40.5],0
n1,1,0.002047,9.507149,[15  9] ; [ 3 16],[10.04651163 13.95348837] ; [ 7.95348837 11.04651163],0
n4,1,0.002635,9.044621,[74 19] ; [50 35],[64.78651685 28.21348315] ; [59.21348315 25.78651685],0
s5,1,0.003507,8.523177,[35 55] ; [16 69],[26.22857143 63.77142857] ; [24.77142857 60.22857143],0
p5,1,0.009007,6.821476,[12 81] ; [ 2 83],[ 7.31460674 85.68539326] ; [ 6.68539326 78.31460674],0
a4,1,0.01125,6.425392,[39 53] ; [21 65],[31.01123596 60.98876404] ; [28.98876404 57.01123596],0
n5,1,0.012623,6.221223,[73 19] ; [53 32],[65.49152542 26.50847458] ; [60.50847458 24.49152542],0
p4,1,0.013143,6.149693,[55 38] ; [34 50],[46.76271186 46.23728814] ; [42.23728814 41.76271186],0
p1,1,0.016135,5.788107,[11 82] ; [ 2 82],[ 6.83050847 86.16949153] ; [ 6.16949153 77.83050847],0
r2,1,0.018133,5.583248,[88  3] ; [74 11],[83.76136364  7.23863636] ; [78.23863636  6.76136364],0
s8,1,0.02663,4.914622,[45 47] ; [28 58],[37.73033708 54.26966292] ; [35.26966292 50.73033708],0
u1,1,0.037881,4.310338,[11 82] ; [ 3 83],[ 7.27374302 85.72625698] ; [ 6.72625698 79.27374302],0
s6,1,0.038138,4.298877,[63 25] ; [48 37],[56.46242775 31.53757225] ; [54.53757225 30.46242775],0
p9,1,0.042448,4.117269,[80 11] ; [64 20],[74.88 16.12] ; [69.12 14.88],0
r1,1,0.045385,4.004288,[76 15] ; [61 25],[70.43502825 20.56497175] ; [66.56497175 19.43502825],0
