Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,140.900107,[340  61] ; [ 57 108],[281.26678445 119.73321555] ; [115.73321555  49.26678445],1
n6,1,0.0,29.401011,[348  54] ; [111  55],[324.8556338  77.1443662] ; [134.1443662  31.8556338],1
p11,1,2e-06,23.058614,[326  76] ; [103  63],[303.62323944  98.37676056] ; [125.37676056  40.62323944],1
a4,1,3e-06,21.614432,[188 212] ; [ 43 123],[163.25088339 236.74911661] ; [67.74911661 98.25088339],1
a5,1,4e-06,21.432162,[306  96] ; [94 72],[283.09859155 118.90140845] ; [116.90140845  49.09859155],1
s7,1,2.7e-05,17.591357,[175 209] ; [ 41 116],[153.31608133 230.68391867] ; [62.68391867 94.31608133],1
a8,1,0.000162,14.233005,[ 57 306] ; [  6 149],[ 44.14864865 318.85135135] ; [ 18.85135135 136.14864865],1
p3,1,0.00034,12.83414,[178 222] ; [ 47 119],[159.01060071 240.98939929] ; [ 65.98939929 100.01060071],1
u1,1,0.000535,11.989037,[ 72 330] ; [ 11 155],[ 58.74295775 343.25704225] ; [ 24.25704225 141.74295775],1
d2,1,0.000597,11.784139,[200 199] ; [ 57 109],[181.4920354 217.5079646] ; [75.5079646 90.4920354],1
a3,1,0.000992,10.841789,[288 113] ; [95 70],[271.34805654 129.65194346] ; [111.65194346  53.34805654],1
a2,1,0.001784,9.759302,[101 301] ; [ 22 144],[ 87.0528169 314.9471831] ; [ 35.9471831 130.0528169],0
r4,1,0.001867,9.676295,[368  34] ; [137  29],[357.41197183  44.58802817] ; [147.58802817  18.41197183],0
r1,1,0.002057,9.498124,[330  70] ; [117  48],[316.46017699  83.53982301] ; [130.53982301  34.46017699],0
p10,1,0.002414,9.204779,[323  78] ; [112  51],[309.28191489  91.71808511] ; [125.71808511  37.28191489],0
n1,1,0.003103,8.745604,[36 45] ; [14 52],[27.55102041 53.44897959] ; [22.44897959 43.55102041],0
v3,1,0.004851,7.934095,[158 226] ; [ 44 112],[143.64444444 240.35555556] ; [58.35555556 97.64444444],0
r2,1,0.006475,7.413166,[382  17] ; [149  17],[374.98938053  24.01061947] ; [156.01061947   9.98938053],0
p4,1,0.00706,7.257568,[202 197] ; [ 63 102],[187.47340426 211.52659574] ; [77.52659574 87.47340426],0
d1,1,0.011077,6.452918,[231 171] ; [76 90],[217.27816901 184.72183099] ; [89.72183099 76.27816901],0
v1,1,0.011147,6.441669,[195 192] ; [62 99],[181.49452555 205.50547445] ; [75.50547445 85.49452555],0
d5,1,0.011282,6.42042,[326  75] ; [119  47],[314.71781305  86.28218695] ; [130.28218695  35.71781305],0
p2,1,0.015245,5.887946,[324  77] ; [118  47],[313.14840989  87.85159011] ; [128.85159011  36.14840989],0
