Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.000152,14.348502,[ 3 89] ; [11 35],[ 9.33333333 82.66666667] ; [ 4.66666667 41.33333333],1
s8,1,0.000645,11.640247,[10 88] ; [17 35],[17.64 80.36] ; [ 9.36 42.64],1
p2,1,0.001073,10.69761,[51 48] ; [41 11],[60.31788079 38.68211921] ; [31.68211921 20.31788079],0
s7,1,0.00164,9.913906,[16 77] ; [21 30],[23.89583333 69.10416667] ; [13.10416667 37.89583333],0
b5,1,0.013508,6.101366,[56 43] ; [40 12],[62.94039735 36.05960265] ; [33.05960265 18.94039735],0
a3,1,0.014805,5.939483,[48 50] ; [35 15],[54.95945946 43.04054054] ; [28.04054054 21.95945946],0
v4,1,0.014895,5.928813,[72 26] ; [47  5],[77.74666667 20.25333333] ; [41.25333333 10.74666667],0
n1,1,0.017201,5.67577,[13 32] ; [13  9],[17.46268657 27.53731343] ; [ 8.53731343 13.46268657],0
n2,1,0.022054,5.241541,[21 23] ; [17  5],[25.33333333 18.66666667] ; [12.66666667  9.33333333],0
r4,1,0.023634,5.121276,[60 39] ; [41 11],[66.21854305 32.78145695] ; [34.78145695 17.21854305],0
s3,1,0.031616,4.619204,[34 64] ; [27 24],[40.12080537 57.87919463] ; [20.87919463 30.12080537],0
s5,1,0.062091,3.480639,[12 85] ; [12 37],[15.94520548 81.05479452] ; [ 8.05479452 40.94520548],0
r3,1,0.063018,3.456108,[75 24] ; [46  6],[79.33112583 19.66887417] ; [41.66887417 10.33112583],0
s6,1,0.072866,3.217244,[36 62] ; [27 25],[41.16 56.84] ; [21.84 30.16],0
n3,1,0.07822,3.101504,[22 22] ; [16  6],[25.33333333 18.66666667] ; [12.66666667  9.33333333],0
u4,1,0.083559,2.994286,[ 1 98] ; [ 3 49],[ 2.62251656 96.37748344] ; [ 1.37748344 50.62251656],0
p11,1,0.095728,2.77532,[43 56] ; [30 22],[47.86092715 51.13907285] ; [25.13907285 26.86092715],0
p3,1,0.170374,1.879647,[27 71] ; [20 32],[30.70666667 67.29333333] ; [16.29333333 35.70666667],0
