Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,72.124604,[152 131] ; [ 47 209],[104.48423006 178.51576994] ; [ 94.51576994 161.48423006],1
v1,1,0.0,58.616252,[185 104] ; [ 79 175],[140.50828729 148.49171271] ; [123.49171271 130.50828729],1
r1,1,4.5e-05,16.661729,[248  47] ; [180  79],[227.90613718  67.09386282] ; [200.09386282  58.90613718],1
d1,1,0.000345,12.806793,[182 113] ; [121 139],[161.05405405 133.94594595] ; [141.94594595 118.05405405],1
p10,1,0.000916,10.991021,[236  55] ; [177  80],[219.3120438  71.6879562] ; [193.6879562  63.3120438],1
d3,1,0.000926,10.969375,[217  78] ; [155 102],[198.80434783  96.19565217] ; [173.19565217  83.80434783],1
d4,1,0.001014,10.80119,[247  48] ; [187  72],[231.10108303  63.89891697] ; [202.89891697  56.10108303],0
a3,1,0.003604,8.473536,[216  79] ; [159  99],[200.04520796  94.95479204] ; [174.95479204  83.04520796],0
p9,1,0.005242,7.793946,[244  48] ; [189  67],[230.72262774  61.27737226] ; [202.27737226  53.72262774],0
a5,1,0.007902,7.055625,[217  78] ; [164  96],[202.51351351  92.48648649] ; [178.48648649  81.51351351],0
a6,1,0.012392,6.253964,[217  78] ; [165  94],[203.41155235  91.58844765] ; [178.58844765  80.41155235],0
r3,1,0.01248,6.241391,[283  11] ; [237  23],[275.9566787  18.0433213] ; [244.0433213  15.9566787],0
d5,1,0.012974,6.172676,[243  52] ; [190  68],[230.98553345  64.01446655] ; [202.01446655  55.98553345],0
p3,1,0.013301,6.128615,[142 151] ; [ 98 160],[127.62250454 165.37749546] ; [112.37749546 145.62250454],0
a7,1,0.014752,5.945819,[230  64] ; [179  80],[217.44303797  76.55696203] ; [191.55696203  67.44303797],0
p11,1,0.015047,5.910984,[240  55] ; [189  71],[228.02702703  66.97297297] ; [200.97297297  59.02702703],0
p7,1,0.017096,5.686444,[185 103] ; [137 116],[171.41589649 116.58410351] ; [150.58410351 102.41589649],0
b1,1,0.025889,4.963435,[101 194] ; [113 147],[113.74774775 181.25225225] ; [100.25225225 159.74774775],0
p6,1,0.032076,4.594421,[100 188] ; [ 68 191],[ 88.45338208 199.54661792] ; [ 79.54661792 179.45338208],0
p12,1,0.036426,4.377034,[ 19 273] ; [  7 251],[ 13.80363636 278.19636364] ; [ 12.19636364 245.80363636],0
r4,1,0.046856,3.95054,[267  28] ; [221  39],[259.38738739  35.61261261] ; [228.61261261  31.38738739],0
p4,1,0.052053,3.774053,[169 122] ; [129 130],[157.66909091 133.33090909] ; [140.33090909 118.66909091],0
n1,1,0.058162,3.58903,[13 45] ; [29 48],[18.04444444 39.95555556] ; [23.95555556 53.04444444],0
a2,1,0.062543,3.468643,[ 70 225] ; [ 45 215],[ 61.12612613 233.87387387] ; [ 53.87387387 206.12612613],0
b4,1,0.068218,3.325385,[177 118] ; [136 124],[166.36936937 128.63063063] ; [146.63063063 113.36936937],0
d2,1,0.104562,2.634546,[141 154] ; [106 153],[131.52527076 163.47472924] ; [115.47472924 143.52527076],0
n4,1,0.123668,2.37024,[225  69] ; [184  76],[217.05054152  76.94945848] ; [191.94945848  68.05054152],0
u1,1,0.124131,2.364409,[ 50 245] ; [ 32 228],[ 43.58558559 251.41441441] ; [ 38.41441441 221.58558559],0
s4,1,0.132496,2.263016,[ 29 265] ; [ 36 221],[ 34.68239564 259.31760436] ; [ 30.31760436 226.68239564],0
s7,1,0.148311,2.089537,[120 161] ; [ 91 158],[111.86981132 169.13018868] ; [ 99.13018868 149.86981132],0
s8,1,0.17575,1.833198,[110 184] ; [ 83 177],[102.42238267 191.57761733] ; [ 90.57761733 169.42238267],0
p8,1,0.203527,1.61688,[148 140] ; [119 140],[140.57769653 147.42230347] ; [126.42230347 132.57769653],0
s1,1,0.209795,1.57284,[  6 284] ; [ 10 248],[  8.46715328 281.53284672] ; [  7.53284672 250.46715328],0
r2,1,0.209935,1.571872,[277  15] ; [238  20],[273.41818182  18.58181818] ; [241.58181818  16.41818182],0
n6,1,0.215459,1.534361,[245  49] ; [206  54],[239.33935018  54.66064982] ; [211.66064982  48.33935018],0
a1,1,0.236307,1.402489,[ 15 280] ; [  8 252],[ 12.22522523 282.77477477] ; [ 10.77477477 249.22522523],0
a4,1,0.239501,1.383529,[125 169] ; [ 97 161],[118.23913043 175.76086957] ; [103.76086957 154.23913043],0
p2,1,0.248535,1.331518,[244  50] ; [205  54],[238.70886076  55.29113924] ; [210.29113924  48.70886076],0
s6,1,0.274331,1.19496,[168 124] ; [137 122],[161.63339383 130.36660617] ; [143.36660617 115.63339383],0
s2,1,0.286352,1.136692,[117 176] ; [ 92 167],[110.9365942 182.0634058] ; [ 98.0634058 160.9365942],0
b3,1,0.326098,0.964332,[ 65 113] ; [ 49 107],[ 60.75449102 117.24550898] ; [ 53.24550898 102.75449102],0
b2,1,0.326098,0.964332,[ 65 113] ; [ 49 107],[ 60.75449102 117.24550898] ; [ 53.24550898 102.75449102],0
p5,1,0.341403,0.905158,[ 14 281] ; [ 17 240],[ 16.56702899 278.43297101] ; [ 14.43297101 242.56702899],0
n3,1,0.349775,0.874274,[43 16] ; [49 26],[40.50746269 18.49253731] ; [51.49253731 23.50746269],0
a8,1,0.399454,0.70997,[ 36 227] ; [ 27 214],[ 32.875 230.125] ; [ 30.125 210.875],0
n5,1,0.420014,0.650276,[215  77] ; [182  76],[210.77090909  81.22909091] ; [186.22909091  71.77090909],0
u4,1,0.481574,0.495297,[  7 288] ; [  4 256],[  5.84684685 289.15315315] ; [  5.15315315 254.84684685],0
u3,1,0.578227,0.309109,[43 36] ; [58 41],[44.8258427 34.1741573] ; [56.1741573 42.8258427],0
b5,1,0.592578,0.286336,[183 112] ; [167  93],[186.03603604 108.96396396] ; [163.96396396  96.03603604],0
n2,1,0.77686,0.080323,[40 18] ; [52 26],[39.23529412 18.76470588] ; [52.76470588 25.23529412],0
u2,1,0.850956,0.035306,[44 34] ; [55 45],[43.38202247 34.61797753] ; [55.61797753 44.38202247],0
s3,1,0.886013,0.020549,[136 155] ; [119 139],[135.16393443 155.83606557] ; [119.83606557 138.16393443],0
p1,1,0.898948,0.016127,[ 19 276] ; [ 16 243],[ 18.63718412 276.36281588] ; [ 16.36281588 242.63718412],0
