Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,27.000662,[24 93] ; [96 95],[45.58441558 71.41558442] ; [ 74.41558442 116.58441558],1
r4,1,2e-05,18.216651,[73 44] ; [161  31],[88.60194175 28.39805825] ; [145.39805825  46.60194175],1
r3,1,4.1e-05,16.821756,[89 28] ; [176  14],[100.99348534  16.00651466] ; [164.00651466  25.99348534],1
a6,1,0.000633,11.676291,[53 64] ; [125  67],[67.39805825 49.60194175] ; [110.60194175  81.39805825],1
d5,1,0.001732,9.814202,[48 69] ; [114  78],[61.33980583 55.66019417] ; [100.66019417  91.33980583],0
p2,1,0.002814,8.92433,[76 40] ; [155  37],[87. 29.] ; [144.  48.],0
r1,1,0.003219,8.678798,[64 53] ; [136  55],[75.97402597 41.02597403] ; [124.02597403  66.97402597],0
r2,1,0.004475,8.080316,[90 26] ; [171  20],[98.61889251 17.38110749] ; [162.38110749  28.61889251],0
v4,1,0.008076,7.01665,[92 23] ; [174  18],[99.64169381 15.35830619] ; [166.35830619  25.64169381],0
d4,1,0.009109,6.80134,[51 66] ; [113  79],[62.09708738 54.90291262] ; [101.90291262  90.09708738],0
u3,1,0.009378,6.74939,[18 36] ; [47 37],[25.43478261 28.56521739] ; [39.56521739 44.43478261],0
p8,1,0.019971,5.414392,[38 78] ; [ 87 101],[47.69736842 68.30263158] ; [ 77.30263158 110.69736842],0
p10,1,0.022473,5.208811,[70 45] ; [138  50],[78.94389439 36.05610561] ; [129.05610561  58.94389439],0
p3,1,0.030691,4.670137,[35 82] ; [ 81 111],[43.9223301 73.0776699] ; [ 72.0776699 119.9223301],0
p9,1,0.049917,3.844242,[75 40] ; [143  46],[82.46710526 32.53289474] ; [135.53289474  53.46710526],0
b3,1,0.050979,3.808954,[31 46] ; [27 75],[24.94972067 52.05027933] ; [33.05027933 68.94972067],0
b2,1,0.050979,3.808954,[31 46] ; [27 75],[24.94972067 52.05027933] ; [33.05027933 68.94972067],0
p6,1,0.055219,3.675461,[20 95] ; [ 51 138],[26.85855263 88.14144737] ; [ 44.14144737 144.85855263],0
b5,1,0.066829,3.359234,[62 55] ; [122  70],[69.66990291 47.33009709] ; [114.33009709  77.66990291],0
s6,1,0.067171,3.350822,[49 68] ; [100  90],[56.78501629 60.21498371] ; [92.21498371 97.78501629],0
a1,1,0.072171,3.232938,[  8 109] ; [  5 187],[  4.9223301 112.0776699] ; [  8.0776699 183.9223301],0
