Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,152.385623,[437  60] ; [ 77 106],[375.67352941 121.32647059] ; [138.32647059  44.67352941],1
n6,1,0.0,64.988018,[448  48] ; [117  65],[413.33333333  82.66666667] ; [151.66666667  30.33333333],1
p10,1,0.0,33.565044,[427  66] ; [122  60],[400.97333333  92.02666667] ; [148.02666667  33.97333333],1
v1,1,5e-06,20.827213,[285 203] ; [ 68 109],[259.04360902 228.95639098] ; [93.95639098 83.04360902],1
p9,1,6e-06,20.617207,[436  55] ; [136  46],[417.31352155  73.68647845] ; [154.68647845  27.31352155],1
p4,1,1.4e-05,18.806848,[321 176] ; [84 98],[296.44329897 200.55670103] ; [108.55670103  73.44329897],1
s7,1,5.6e-05,16.243401,[243 231] ; [ 59 117],[220.22769231 253.77230769] ; [81.77230769 94.22769231],1
v3,1,0.000203,13.803608,[198 288] ; [ 44 132],[177.66163142 308.33836858] ; [ 64.33836858 111.66163142],1
s6,1,0.000211,13.727698,[339 151] ; [98 84],[318.64583333 171.35416667] ; [118.35416667  63.64583333],1
p11,1,0.000374,12.657706,[415  83] ; [130  53],[398.54625551  99.45374449] ; [146.45374449  36.54625551],1
r4,1,0.002021,9.530667,[455  43] ; [152  31],[443.88546256  54.11453744] ; [163.11453744  19.88546256],0
a5,1,0.002121,9.441723,[375 123] ; [116  67],[359.05726872 138.94273128] ; [131.94273128  51.05726872],0
s2,1,0.002187,9.385436,[261 230] ; [ 73 110],[243.31454006 247.68545994] ; [90.68545994 92.31454006],0
p8,1,0.003807,8.373675,[277 211] ; [ 80 101],[260.41255605 227.58744395] ; [96.58744395 84.41255605],0
a8,1,0.004381,8.118637,[ 72 374] ; [ 12 154],[ 61.21568627 384.78431373] ; [ 22.78431373 143.21568627],0
s8,1,0.006049,7.535586,[223 272] ; [ 61 122],[207.34513274 287.65486726] ; [ 76.65486726 106.34513274],0
d5,1,0.006431,7.425262,[417  80] ; [136  46],[404.77319588  92.22680412] ; [148.22680412  33.77319588],0
a2,1,0.006962,7.282852,[131 367] ; [ 30 153],[117.73568282 380.26431718] ; [ 43.26431718 139.73568282],0
u1,1,0.008748,6.873661,[ 97 401] ; [ 20 163],[ 85.55947137 412.44052863] ; [ 31.44052863 151.55947137],0
a4,1,0.011367,6.407022,[230 266] ; [ 65 118],[215.49337261 280.50662739] ; [ 79.50662739 103.49337261],0
a3,1,0.020743,5.34829,[359 137] ; [115  67],[346.76106195 149.23893805] ; [127.23893805  54.76106195],0
p6,1,0.023547,5.127728,[188 305] ; [ 51 127],[175.59910581 317.40089419] ; [ 63.40089419 114.59910581],0
r2,1,0.029416,4.743122,[469  24] ; [164  17],[463.01038576  29.98961424] ; [169.98961424  11.01038576],0
d2,1,0.03109,4.647995,[244 252] ; [ 73 110],[231.5640648 264.4359352] ; [85.4359352 97.5640648],0
r1,1,0.055446,3.668618,[403  92] ; [136  46],[394.09896603 100.90103397] ; [144.90103397  37.09896603],0
b3,1,0.058211,3.587638,[109 182] ; [27 73],[101.2173913 189.7826087] ; [34.7826087 65.2173913],0
b2,1,0.058211,3.587638,[109 182] ; [27 73],[101.2173913 189.7826087] ; [34.7826087 65.2173913],0
d1,1,0.059088,3.562809,[296 202] ; [94 89],[285.19823789 212.80176211] ; [104.80176211  78.19823789],0
p3,1,0.064986,3.40533,[246 251] ; [ 76 107],[235.34411765 261.65588235] ; [86.65588235 96.34411765],0
v2,1,0.073842,3.195474,[276 206] ; [87 89],[265.90577508 216.09422492] ; [97.09422492 78.90577508],0
s5,1,0.077849,3.109255,[155 330] ; [ 44 133],[145.79305136 339.20694864] ; [ 53.20694864 123.79305136],0
n2,1,0.086135,2.945163,[76 21] ; [34 18],[71.61073826 25.38926174] ; [38.38926174 13.61073826],0
p1,1,0.087107,2.927044,[ 24 473] ; [ 15 166],[ 28.58849558 468.41150442] ; [ 10.41150442 170.58849558],0
n1,1,0.09759,2.744486,[36 59] ; [13 40],[31.4527027 63.5472973] ; [17.5472973 35.4527027],0
s3,1,0.108751,2.572275,[285 206] ; [92 88],[275.86736215 215.13263785] ; [101.13263785  78.86736215],0
b4,1,0.123361,2.374115,[283 215] ; [116  67],[291.77973568 206.22026432] ; [107.22026432  75.77973568],0
p7,1,0.149291,2.079482,[330 158] ; [111  69],[322.16766467 165.83233533] ; [118.83233533  61.16766467],0
a1,1,0.178862,1.80705,[ 12 486] ; [  8 175],[ 14.62555066 483.37444934] ; [  5.37444934 177.62555066],0
a7,1,0.180022,1.797446,[356 140] ; [140  42],[362.85545723 133.14454277] ; [133.14454277  48.85545723],0
p12,1,0.183566,1.768513,[ 29 467] ; [  6 176],[ 25.60471976 470.39528024] ; [  9.39528024 172.60471976],0
s1,1,0.187124,1.740115,[  8 479] ; [  6 177],[ 10.1761194 476.8238806] ; [  3.8238806 179.1761194],0
d3,1,0.209111,1.57757,[344 153] ; [135  47],[350.60824742 146.39175258] ; [128.39175258  53.60824742],0
r3,1,0.277997,1.176857,[474  20] ; [172  11],[471.37961595  22.62038405] ; [174.62038405   8.37961595],0
a6,1,0.329583,0.950536,[348 149] ; [121  62],[342.78382353 154.21617647] ; [126.21617647  56.78382353],0
v4,1,0.335291,0.928354,[477  19] ; [171  10],[474.75332349  21.24667651] ; [173.24667651   7.75332349],0
u3,1,0.377122,0.780061,[73 66] ; [39 27],[75.94146341 63.05853659] ; [36.05853659 29.94146341],0
d4,1,0.505876,0.442588,[406  89] ; [146  37],[403.00884956  91.99115044] ; [148.99115044  34.00884956],0
u2,1,0.595581,0.281713,[74 64] ; [38 28],[75.76470588 62.23529412] ; [36.23529412 29.76470588],0
n3,1,0.670609,0.18089,[72 25] ; [41 12],[73.07333333 23.92666667] ; [39.92666667 13.07333333],0
s4,1,0.777996,0.079486,[ 84 407] ; [ 33 150],[ 85.23293769 405.76706231] ; [ 31.76706231 151.23293769],0
b5,1,0.829438,0.046407,[312 186] ; [113  70],[310.79295154 187.20704846] ; [114.20704846  68.79295154],0
b1,1,0.921399,0.009736,[183 315] ; [ 68 115],[183.55066079 314.44933921] ; [ 67.44933921 115.55066079],0
