Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,6.6e-05,15.912433,[53  7] ; [15 15],[45.33333333 14.66666667] ; [22.66666667  7.33333333],1
p8,1,0.011897,6.326185,[40 19] ; [12 18],[34.47191011 24.52808989] ; [17.52808989 12.47191011],0
p10,1,0.031994,4.598818,[53  7] ; [21  9],[49.33333333 10.66666667] ; [24.66666667  5.33333333],0
v1,1,0.056893,3.625717,[37 22] ; [11 16],[32.93023256 26.06976744] ; [15.06976744 11.93023256],0
s4,1,0.071861,3.24,[13 47] ; [ 2 28],[10. 50.] ; [ 5. 25.],0
n6,1,0.072998,3.214286,[50 10] ; [20 10],[46.66666667 13.33333333] ; [23.33333333  6.66666667],0
a5,1,0.087478,2.920182,[48 12] ; [19 11],[44.66666667 15.33333333] ; [22.33333333  7.66666667],0
d5,1,0.089846,2.877123,[54  6] ; [23  7],[51.33333333  8.66666667] ; [25.66666667  4.33333333],0
p4,1,0.090821,2.859769,[41 19] ; [15 15],[37.33333333 22.66666667] ; [18.66666667 11.33333333],0
d2,1,0.095648,2.776645,[39 21] ; [14 16],[35.33333333 24.66666667] ; [17.66666667 12.33333333],0
u2,1,0.097298,2.749282,[10 12] ; [9 3],[12.29411765  9.70588235] ; [6.70588235 5.29411765],0
p7,1,0.132912,2.258162,[42 18] ; [15 13],[38.86363636 21.13636364] ; [18.13636364  9.86363636],0
d1,1,0.154729,2.025,[43 17] ; [17 13],[40. 20.] ; [20. 10.],0
p6,1,0.170904,1.875,[27 33] ; [ 9 21],[24. 36.] ; [12. 18.],0
p1,1,0.193059,1.694118,[ 2 58] ; [ 3 27],[ 3.33333333 56.66666667] ; [ 1.66666667 28.33333333],0
n2,1,0.195539,1.675385,[6 4] ; [7 1],[7.22222222 2.77777778] ; [5.77777778 2.22222222],0
b3,1,0.201763,1.629567,[18 20] ; [ 6 14],[15.72413793 22.27586207] ; [ 8.27586207 11.72413793],0
b2,1,0.201763,1.629567,[18 20] ; [ 6 14],[15.72413793 22.27586207] ; [ 8.27586207 11.72413793],0
a1,1,0.212881,1.551724,[ 1 59] ; [ 2 28],[ 2. 58.] ; [ 1. 29.],0
s1,1,0.232654,1.424561,[ 1 56] ; [ 2 28],[ 1.96551724 55.03448276] ; [ 1.03448276 28.96551724],0
