Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,46.188476,[10 55] ; [57 22],[30.24305556 34.75694444] ; [36.75694444 42.24305556],1
d5,1,0.0,41.961441,[32 33] ; [76  3],[48.75 16.25] ; [59.25 19.75],1
d3,1,1e-06,23.958326,[28 37] ; [65 14],[41.97916667 23.02083333] ; [51.02083333 27.97916667],1
a5,1,3.8e-05,16.986138,[37 28] ; [69 10],[47.84722222 17.15277778] ; [58.15277778 20.84722222],1
p8,1,0.000456,12.287163,[23 40] ; [51 26],[33.3 29.7] ; [40.7 36.3],1
n6,1,0.003249,8.661894,[41 22] ; [68 11],[48.35915493 14.64084507] ; [60.64084507 18.35915493],0
r1,1,0.003325,8.619769,[45 19] ; [70  8],[51.83098592 12.16901408] ; [63.16901408 14.83098592],0
v4,1,0.004516,8.063661,[53 10] ; [77  2],[57.67605634  5.32394366] ; [72.32394366  6.67605634],0
v3,1,0.006714,7.348005,[22 42] ; [42 31],[29.89781022 34.10218978] ; [34.10218978 38.89781022],0
a4,1,0.008827,6.857554,[22 43] ; [44 35],[29.79166667 35.20833333] ; [36.20833333 42.79166667],0
s8,1,0.01022,6.59616,[10 55] ; [27 52],[16.70138889 48.29861111] ; [20.29861111 58.70138889],0
a2,1,0.017036,5.692697,[ 7 58] ; [21 58],[12.63888889 52.36111111] ; [15.36111111 63.63888889],0
s4,1,0.029922,4.713747,[ 9 56] ; [ 3 76],[ 5.41666667 59.58333333] ; [ 6.58333333 72.41666667],0
u1,1,0.033566,4.516657,[ 5 60] ; [16 63],[ 9.47916667 55.52083333] ; [11.52083333 67.47916667],0
a6,1,0.038833,4.268177,[38 27] ; [59 20],[43.78472222 21.21527778] ; [53.21527778 25.78472222],0
v2,1,0.039537,4.237647,[35 27] ; [57 21],[40.74285714 21.25714286] ; [51.25714286 26.74285714],0
p7,1,0.042934,4.097998,[34 29] ; [55 23],[39.76595745 23.23404255] ; [49.23404255 28.76595745],0
p9,1,0.052897,3.747162,[47 18] ; [65 11],[51.63120567 13.36879433] ; [60.36879433 15.63120567],0
p10,1,0.056106,3.6489,[45 20] ; [63 13],[49.78723404 15.21276596] ; [58.21276596 17.78723404],0
s5,1,0.058784,3.571356,[ 7 57] ; [18 60],[11.26760563 52.73239437] ; [13.73239437 64.26760563],0
n4,1,0.058813,3.570555,[44 20] ; [65 14],[48.78321678 15.21678322] ; [60.21678322 18.78321678],0
p1,1,0.067232,3.34935,[ 9 56] ; [ 4 75],[ 5.86805556 59.13194444] ; [ 7.13194444 71.86805556],0
p2,1,0.067361,3.346176,[51 14] ; [69  8],[54.92957746 10.07042254] ; [65.07042254 11.92957746],0
r3,1,0.10414,2.640969,[55  8] ; [75  4],[57.67605634  5.32394366] ; [72.32394366  6.67605634],0
p4,1,0.116663,2.461559,[32 33] ; [48 29],[36.61971831 28.38028169] ; [43.38028169 33.61971831],0
p6,1,0.119188,2.427955,[16 48] ; [28 47],[20.25899281 43.74100719] ; [23.74100719 51.25899281],0
s1,1,0.150591,2.066258,[ 5 59] ; [ 2 76],[ 3.15492958 60.84507042] ; [ 3.84507042 74.15492958],0
a1,1,0.151857,2.053502,[ 5 60] ; [ 2 77],[ 3.15972222 61.84027778] ; [ 3.84027778 75.15972222],0
r4,1,0.15476,2.024693,[51 14] ; [69 10],[54.16666667 10.83333333] ; [65.83333333 13.16666667],0
p3,1,0.156604,2.006714,[29 36] ; [43 33],[33.19148936 31.80851064] ; [38.80851064 37.19148936],0
a7,1,0.162135,1.954198,[40 24] ; [58 21],[43.86013986 20.13986014] ; [54.13986014 24.86013986],0
b1,1,0.183394,1.769904,[31 34] ; [29 50],[27.08333333 37.91666667] ; [32.91666667 46.08333333],0
b4,1,0.196371,1.669159,[30 35] ; [45 34],[33.85416667 31.14583333] ; [41.14583333 37.85416667],0
n2,1,0.2253,1.470289,[10  2] ; [8 5],[8.64 3.36] ; [9.36 3.64],0
p11,1,0.227556,1.456071,[50 15] ; [67 12],[52.8125 12.1875] ; [64.1875 14.8125],0
b3,1,0.240876,1.375462,[18 25] ; [26 22],[20.79120879 22.20879121] ; [23.20879121 24.79120879],0
b2,1,0.240876,1.375462,[18 25] ; [26 22],[20.79120879 22.20879121] ; [23.20879121 24.79120879],0
p5,1,0.266438,1.234994,[ 4 60] ; [ 9 68],[ 5.90070922 58.09929078] ; [ 7.09929078 69.90070922],0
b5,1,0.294953,1.096876,[41 24] ; [43 36],[37.91666667 27.08333333] ; [46.08333333 32.91666667],0
r2,1,0.334516,0.931335,[57  7] ; [73  5],[58.5915493  5.4084507] ; [71.4084507  6.5915493],0
u2,1,0.342178,0.902256,[ 8 12] ; [11  9],[ 9.5 10.5] ; [ 9.5 10.5],0
