Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1.1e-05,19.362065,[32 41] ; [41  8],[43.68032787 29.31967213] ; [29.31967213 19.68032787],1
p11,1,0.002351,9.253176,[46 29] ; [44  7],[53.57142857 21.42857143] ; [36.42857143 14.57142857],0
p5,1,0.004094,8.241758,[ 3 72] ; [10 40],[ 7.8 67.2] ; [ 5.2 44.8],0
v1,1,0.006415,7.42989,[32 41] ; [35 16],[39.44354839 33.55645161] ; [27.55645161 23.44354839],0
a2,1,0.008733,6.87672,[22 53] ; [ 5 46],[16.07142857 58.92857143] ; [10.92857143 40.07142857],0
v3,1,0.009283,6.767553,[19 54] ; [24 25],[25.7295082 47.2704918] ; [17.2704918 31.7295082],0
p9,1,0.017896,5.606287,[55 18] ; [46  4],[59.94308943 13.05691057] ; [41.05691057  8.94308943],0
r4,1,0.0225,5.206665,[62 13] ; [49  2],[66.07142857  8.92857143] ; [44.92857143  6.07142857],0
p2,1,0.022778,5.185322,[53 22] ; [44  6],[58.2 16.8] ; [38.8 11.2],0
n3,1,0.034356,4.476902,[16 10] ; [13  1],[18.85  7.15] ; [10.15  3.85],0
u1,1,0.039229,4.250905,[14 61] ; [ 3 48],[10.11904762 64.88095238] ; [ 6.88095238 44.11904762],0
d4,1,0.054473,3.698147,[65  9] ; [38 13],[60.976 13.024] ; [42.024  8.976],0
s1,1,0.064858,3.408578,[ 1 73] ; [ 4 46],[ 2.98387097 71.01612903] ; [ 2.01612903 47.98387097],0
p4,1,0.067965,3.331495,[27 47] ; [27 24],[31.968 42.032] ; [22.032 28.968],0
d2,1,0.072995,3.214348,[42 31] ; [21 30],[37.08870968 35.91129032] ; [25.91129032 25.08870968],0
p10,1,0.081876,3.02726,[55 18] ; [44  6],[58.75609756 14.24390244] ; [40.24390244  9.75609756],0
n5,1,0.094361,2.798351,[49 25] ; [40 10],[53.11290323 20.88709677] ; [35.88709677 14.11290323],0
p6,1,0.108316,2.578617,[19 55] ; [20 31],[23.088 50.912] ; [15.912 35.088],0
s4,1,0.127928,2.31747,[24 50] ; [10 40],[20.29032258 53.70967742] ; [13.70967742 36.29032258],0
a4,1,0.137636,2.204194,[38 37] ; [19 32],[33.92857143 41.07142857] ; [23.07142857 27.92857143],0
n4,1,0.138285,2.196936,[49 25] ; [40 11],[52.688 21.312] ; [36.312 14.688],0
