Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,7.8e-05,15.614905,[121  28] ; [34 28],[109.4549763  39.5450237] ; [45.5450237 16.4549763],1
s4,1,0.000637,11.665794,[ 21 128] ; [23 44],[ 30.35185185 118.64814815] ; [13.64814815 53.35185185],1
p10,1,0.001618,9.939315,[109  40] ; [32 31],[99.0990566 49.9009434] ; [41.9009434 21.0990566],0
p2,1,0.003002,8.806196,[120  28] ; [41 25],[111.34579439  36.65420561] ; [49.65420561 16.34579439],0
n4,1,0.005983,7.555372,[72 77] ; [19 48],[62.77314815 86.22685185] ; [28.22685185 38.77314815],0
p7,1,0.010693,6.51572,[90 57] ; [28 38],[81.43661972 65.56338028] ; [36.56338028 29.43661972],0
b1,1,0.012633,6.219739,[ 43 106] ; [31 36],[51.0462963 97.9537037] ; [22.9537037 44.0462963],0
s2,1,0.059576,3.549157,[57 91] ; [35 32],[63.33023256 84.66976744] ; [28.66976744 38.33023256],0
b3,1,0.065743,3.386243,[31 59] ; [ 5 25],[27. 63.] ; [ 9. 21.],0
b2,1,0.065743,3.386243,[31 59] ; [ 5 25],[27. 63.] ; [ 9. 21.],0
d2,1,0.069518,3.294355,[56 93] ; [34 33],[62.08333333 86.91666667] ; [27.91666667 39.08333333],0
a2,1,0.072042,3.235881,[ 19 130] ; [15 52],[ 23.4537037 125.5462963] ; [10.5462963 56.4537037],0
n6,1,0.07949,3.075298,[102  47] ; [37 29],[96.33023256 52.66976744] ; [42.66976744 23.33023256],0
v1,1,0.138434,2.195282,[59 85] ; [20 46],[54.17142857 89.82857143] ; [24.82857143 41.17142857],0
p5,1,0.143855,2.136228,[  9 139] ; [ 1 65],[  6.91588785 141.08411215] ; [ 3.08411215 62.91588785],0
u1,1,0.184558,1.760533,[ 15 134] ; [11 56],[ 17.93518519 131.06481481] ; [ 8.06481481 58.93518519],0
d5,1,0.184792,1.758659,[112  37] ; [55 11],[115.73488372  33.26511628] ; [51.26511628 14.73488372],0
p8,1,0.191624,1.705084,[67 82] ; [23 42],[62.6635514 86.3364486] ; [27.3364486 37.6635514],0
p12,1,0.196412,1.668852,[  8 140] ; [ 1 64],[  6.25352113 141.74647887] ; [ 2.74647887 62.25352113],0
s3,1,0.209785,1.572912,[67 81] ; [36 30],[71.23364486 76.76635514] ; [31.76635514 34.23364486],0
s6,1,0.278722,1.17331,[81 66] ; [41 24],[84.59433962 62.40566038] ; [37.40566038 27.59433962],0
s8,1,0.302992,1.060977,[56 93] ; [20 46],[52.66976744 96.33023256] ; [23.33023256 42.66976744],0
d1,1,0.326429,0.963011,[76 73] ; [39 28],[79.3287037 69.6712963] ; [35.6712963 31.3287037],0
r2,1,0.326999,0.960745,[142   6] ; [66  1],[143.18139535   4.81860465] ; [64.81860465  2.18139535],0
r1,1,0.33747,0.920019,[123  25] ; [52 15],[120.46511628  27.53488372] ; [54.53488372 12.46511628],0
s5,1,0.367736,0.811301,[ 38 105] ; [20 41],[ 40.65686275 102.34313725] ; [17.34313725 43.65686275],0
s1,1,0.373752,0.791154,[  5 144] ; [ 4 63],[  6.20833333 142.79166667] ; [ 2.79166667 64.20833333],0
a4,1,0.382373,0.763057,[53 96] ; [28 39],[55.875 93.125] ; [25.125 41.875],0
p6,1,0.395518,0.72191,[ 44 101] ; [16 49],[ 41.42857143 103.57142857] ; [18.57142857 46.42857143],0
a1,1,0.440512,0.594948,[  8 141] ; [ 2 65],[  6.89814815 142.10185185] ; [ 3.10185185 63.89814815],0
p3,1,0.468839,0.52471,[62 87] ; [24 42],[59.6 89.4] ; [26.4 39.6],0
s7,1,0.492141,0.471842,[51 95] ; [24 36],[53.15533981 92.84466019] ; [21.84466019 38.15533981],0
u2,1,0.515286,0.423318,[30 21] ; [16  8],[31.28 19.72] ; [14.72  9.28],0
a3,1,0.515841,0.422201,[98 51] ; [41 26],[95.88425926 53.11574074] ; [43.11574074 23.88425926],0
v4,1,0.536632,0.381817,[142   6] ; [63  4],[141.11627907   6.88372093] ; [63.88372093  3.11627907],0
a5,1,0.603024,0.27046,[101  48] ; [43 24],[99.33333333 49.66666667] ; [44.66666667 22.33333333],0
v3,1,0.617393,0.249549,[ 41 102] ; [19 40],[ 42.47524752 100.52475248] ; [17.52475248 41.47524752],0
d4,1,0.639361,0.219579,[124  25] ; [54 13],[122.78703704  26.21296296] ; [55.21296296 11.78703704],0
d3,1,0.752174,0.099713,[107  42] ; [46 20],[106.03255814  42.96744186] ; [46.96744186 19.03255814],0
