Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s1,1,2.5e-05,17.732947,[2 1] ; [ 4 82],[0.20224719 2.79775281] ; [ 5.79775281 80.20224719],1
s5,1,0.051331,3.797427,[2 1] ; [17 69],[0.64044944 2.35955056] ; [18.35955056 67.64044944],0
r3,1,0.092767,2.825687,[2 1] ; [81  6],[2.76666667 0.23333333] ; [80.23333333  6.76666667],0
s8,1,0.107283,2.593802,[2 1] ; [22 66],[0.79120879 2.20879121] ; [23.20879121 64.79120879],0
v3,1,0.153727,2.034869,[2 1] ; [25 63],[0.89010989 2.10989011] ; [26.10989011 61.89010989],0
v4,1,0.170631,1.877395,[2 1] ; [79  8],[2.7 0.3] ; [78.3  8.7],0
p2,1,0.188386,1.730195,[1 2] ; [61 27],[2.04395604 0.95604396] ; [59.95604396 28.04395604],0
a4,1,0.212881,1.551724,[2 1] ; [28 59],[1. 2.] ; [29. 58.],0
p8,1,0.245225,1.350307,[2 1] ; [30 58],[1.05494505 1.94505495] ; [30.94505495 57.05494505],0
v1,1,0.265344,1.240657,[2 1] ; [31 57],[1.08791209 1.91208791] ; [31.91208791 56.08791209],0
s7,1,0.266923,1.232493,[2 1] ; [30 55],[1.09090909 1.90909091] ; [30.90909091 54.09090909],0
s2,1,0.324021,0.972645,[2 1] ; [33 53],[1.17977528 1.82022472] ; [33.82022472 52.17977528],0
s6,1,0.444238,0.585312,[2 1] ; [39 49],[1.35164835 1.64835165] ; [39.64835165 48.35164835],0
p4,1,0.444238,0.585312,[2 1] ; [39 49],[1.35164835 1.64835165] ; [39.64835165 48.35164835],0
d1,1,0.46861,0.525253,[2 1] ; [40 48],[1.38461538 1.61538462] ; [40.61538462 47.38461538],0
d2,1,0.5053,0.443788,[2 1] ; [41 46],[1.43333333 1.56666667] ; [41.56666667 45.43333333],0
r4,1,0.507893,0.438406,[2 1] ; [72 16],[2.43956044 0.56043956] ; [71.56043956 16.43956044],0
s3,1,0.530972,0.392531,[2 1] ; [42 45],[1.46666667 1.53333333] ; [42.53333333 44.46666667],0
b1,1,0.544182,0.367843,[2 1] ; [43 45],[1.48351648 1.51648352] ; [43.51648352 44.48351648],0
v2,1,0.696753,0.151872,[1 2] ; [38 47],[1.32954545 1.67045455] ; [37.67045455 47.32954545],0
b5,1,0.706199,0.142103,[2 1] ; [49 39],[1.68131868 1.31868132] ; [49.31868132 38.68131868],0
r1,1,0.706379,0.141921,[2 1] ; [67 21],[2.27472527 0.72527473] ; [66.72527473 21.27472527],0
d3,1,0.763494,0.090539,[2 1] ; [51 37],[1.74725275 1.25274725] ; [51.25274725 36.74725275],0
a5,1,0.763494,0.090539,[2 1] ; [51 37],[1.74725275 1.25274725] ; [51.25274725 36.74725275],0
d4,1,0.862852,0.029841,[2 1] ; [62 25],[2.13333333 0.86666667] ; [61.86666667 25.13333333],0
a7,1,0.871707,0.026079,[2 1] ; [54 33],[1.86666667 1.13333333] ; [54.13333333 32.86666667],0
p7,1,0.910149,0.012735,[1 1] ; [47 40],[1.07865169 0.92134831] ; [46.92134831 40.07865169],0
p10,1,0.967143,0.001697,[1 2] ; [30 57],[1.03333333 1.96666667] ; [29.96666667 57.03333333],0
