Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a1,1,2.2e-05,18.031677,[  4 174] ; [10 47],[ 10.60425532 167.39574468] ; [ 3.39574468 53.60425532],1
p1,1,2.2e-05,18.017208,[ 14 163] ; [17 40],[ 23.44871795 153.55128205] ; [ 7.55128205 49.44871795],1
p3,1,0.000164,14.20896,[96 82] ; [46 10],[108.01709402  69.98290598] ; [33.98290598 22.01709402],1
v3,1,0.000687,11.523285,[ 71 103] ; [38 19],[82.1038961 91.8961039] ; [26.8961039 30.1038961],1
p4,1,0.000761,11.334475,[116  61] ; [49  6],[125.88362069  51.11637931] ; [39.11637931 15.88362069],1
p12,1,0.001405,10.199562,[ 17 160] ; [15 42],[ 24.20512821 152.79487179] ; [ 7.79487179 49.20512821],0
p8,1,0.001761,9.78323,[100  75] ; [45 11],[109.84848485  65.15151515] ; [35.15151515 20.84848485],0
p6,1,0.003612,8.469266,[77 99] ; [37 19],[86.48275862 89.51724138] ; [27.51724138 28.48275862],0
s4,1,0.025854,4.965728,[ 47 127] ; [ 7 49],[ 40.85217391 133.14782609] ; [13.14782609 42.85217391],0
a2,1,0.035096,4.440507,[ 57 121] ; [10 47],[ 50.74893617 127.25106383] ; [16.25106383 40.74893617],0
p11,1,0.039344,4.24594,[141  37] ; [52  5],[146.18723404  31.81276596] ; [46.81276596 10.18723404],0
b5,1,0.063964,3.431506,[100  78] ; [24 33],[93.92340426 84.07659574] ; [30.07659574 26.92340426],0
n1,1,0.064458,3.418803,[17 22] ; [7 2],[19.5 19.5] ; [4.5 4.5],0
u1,1,0.065155,3.40106,[ 46 132] ; [ 8 49],[ 40.90212766 137.09787234] ; [13.09787234 43.90212766],0
r2,1,0.085578,2.955642,[173   4] ; [53  4],[170.94871795   6.05128205] ; [55.05128205  1.94871795],0
v1,1,0.091377,2.849942,[108  68] ; [42 15],[113.30472103  62.69527897] ; [36.69527897 20.30472103],0
s7,1,0.140173,2.176056,[113  58] ; [40 12],[117.32286996  53.67713004] ; [35.67713004 16.32286996],0
p7,1,0.142648,2.149158,[128  45] ; [46  9],[132.02631579  40.97368421] ; [41.97368421 13.02631579],0
u2,1,0.202087,1.627231,[17 19] ; [7 3],[18.7826087 17.2173913] ; [5.2173913 4.7826087],0
v2,1,0.254224,1.299943,[100  72] ; [38 19],[103.65065502  68.34934498] ; [34.34934498 22.65065502],0
b4,1,0.345398,0.890294,[103  75] ; [37 20],[106.04255319  71.95744681] ; [33.95744681 23.04255319],0
n3,1,0.36987,0.804103,[29 10] ; [6 4],[27.85714286 11.14285714] ; [7.14285714 2.85714286],0
n6,1,0.38299,0.761082,[166  12] ; [54  2],[167.35042735  10.64957265] ; [52.64957265  3.35042735],0
u4,1,0.406397,0.689316,[  3 175] ; [ 2 55],[  3.78723404 174.21276596] ; [ 1.21276596 55.78723404],0
s3,1,0.410702,0.676767,[125  49] ; [37 19],[122.55652174  51.44347826] ; [39.44347826 16.55652174],0
s2,1,0.423654,0.640158,[130  46] ; [39 18],[127.65665236  48.34334764] ; [41.34334764 15.65665236],0
a4,1,0.429891,0.623117,[95 83] ; [27 30],[92.40851064 85.59148936] ; [29.59148936 27.40851064],0
d4,1,0.436637,0.605104,[152  24] ; [46 10],[150.20689655  25.79310345] ; [47.79310345  8.20689655],0
a6,1,0.464135,0.535904,[120  57] ; [35 21],[117.74678112  59.25321888] ; [37.25321888 18.74678112],0
r4,1,0.528963,0.396382,[168  10] ; [55  2],[168.9106383   9.0893617] ; [54.0893617  2.9106383],0
d2,1,0.558485,0.342333,[99 77] ; [29 27],[97.10344828 78.89655172] ; [30.89655172 25.10344828],0
s8,1,0.61888,0.247444,[106  71] ; [35 20],[107.57327586  69.42672414] ; [33.42672414 21.57327586],0
b3,1,0.627419,0.235577,[45 63] ; [18 21],[46.28571429 61.71428571] ; [16.71428571 22.28571429],0
b2,1,0.627419,0.235577,[45 63] ; [18 21],[46.28571429 61.71428571] ; [16.71428571 22.28571429],0
a5,1,0.637202,0.22242,[145  33] ; [48  9],[146.18723404  31.81276596] ; [46.81276596 10.18723404],0
p9,1,0.643202,0.214578,[159  16] ; [52  4],[159.84848485  15.15151515] ; [51.15151515  4.84848485],0
a3,1,0.644209,0.21328,[141  36] ; [47 10],[142.20512821  34.79487179] ; [45.79487179 11.20512821],0
u3,1,0.647183,0.20947,[23 14] ; [7 3],[23.61702128 13.38297872] ; [6.38297872 3.61702128],0
p10,1,0.698386,0.150156,[158  19] ; [51  5],[158.76824034  18.23175966] ; [50.23175966  5.76824034],0
r3,1,0.712269,0.136021,[166  10] ; [53  4],[165.4248927  10.5751073] ; [53.5751073  3.4248927],0
d5,1,0.71901,0.129443,[149  28] ; [46 10],[148.13304721  28.86695279] ; [46.86695279  9.13304721],0
a8,1,0.740706,0.109507,[ 25 138] ; [ 7 45],[ 24.26046512 138.73953488] ; [ 7.73953488 44.26046512],0
