Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,9e-06,19.818772,[ 4 62] ; [12 15],[11.35483871 54.64516129] ; [ 4.64516129 22.35483871],1
p4,1,0.001042,10.750909,[17 47] ; [17 10],[23.91208791 40.08791209] ; [10.08791209 16.91208791],0
p7,1,0.003847,8.354469,[21 44] ; [17  9],[27.14285714 37.85714286] ; [10.85714286 15.14285714],0
d2,1,0.008579,6.908515,[22 44] ; [17 10],[27.67741935 38.32258065] ; [11.32258065 15.67741935],0
s7,1,0.008609,6.902172,[ 6 53] ; [ 9 18],[10.29069767 48.70930233] ; [ 4.70930233 22.29069767],0
p2,1,0.013622,6.086435,[34 29] ; [22  5],[39.2 23.8] ; [16.8 10.2],0
a8,1,0.020415,5.376045,[ 3 60] ; [ 5 19],[ 5.79310345 57.20689655] ; [ 2.20689655 21.79310345],0
v4,1,0.051516,3.791417,[46 20] ; [24  3],[49.67741935 16.32258065] ; [20.32258065  6.67741935],0
u2,1,0.052821,3.749565,[10 13] ; [8 2],[12.54545455 10.45454545] ; [5.45454545 4.54545455],0
v1,1,0.065196,3.400022,[23 43] ; [15 12],[26.96774194 39.03225806] ; [11.03225806 15.96774194],0
a5,1,0.080722,3.05031,[36 30] ; [20  7],[39.74193548 26.25806452] ; [16.25806452 10.74193548],0
p8,1,0.094321,2.799043,[20 44] ; [13 13],[23.46666667 40.53333333] ; [ 9.53333333 16.46666667],0
u3,1,0.102959,2.659095,[ 9 14] ; [7 3],[11.15151515 11.84848485] ; [4.84848485 5.15151515],0
p9,1,0.106516,2.605168,[35 29] ; [19  7],[38.4 25.6] ; [15.6 10.4],0
r3,1,0.121283,2.400673,[46 20] ; [23  4],[48.96774194 17.03225806] ; [20.03225806  6.96774194],0
d1,1,0.128342,2.312441,[23 43] ; [14 13],[26.25806452 39.74193548] ; [10.74193548 16.25806452],0
p10,1,0.142437,2.151429,[28 35] ; [16 10],[31.14606742 31.85393258] ; [12.85393258 13.14606742],0
a2,1,0.159319,1.980678,[11 55] ; [ 8 19],[13.48387097 52.51612903] ; [ 5.51612903 21.48387097],0
n2,1,0.161214,1.962804,[10 13] ; [7 3],[11.84848485 11.15151515] ; [5.15151515 4.84848485],0
s5,1,0.162388,1.951846,[ 6 59] ; [ 5 20],[ 7.94444444 57.05555556] ; [ 3.05555556 21.94444444],0
d3,1,0.162427,1.951484,[33 32] ; [18  9],[36.0326087 28.9673913] ; [14.9673913 12.0326087],0
s2,1,0.171735,1.867736,[ 4 62] ; [ 4 23],[ 5.67741935 60.32258065] ; [ 2.32258065 24.67741935],0
r4,1,0.173241,1.854671,[39 27] ; [20  7],[41.87096774 24.12903226] ; [17.12903226  9.87096774],0
v2,1,0.1764,1.827693,[26 36] ; [15 11],[28.88636364 33.11363636] ; [12.11363636 13.88636364],0
n1,1,0.19757,1.660248,[10 13] ; [2 8],[ 8.36363636 14.63636364] ; [3.63636364 6.36363636],0
p6,1,0.241927,1.369332,[10 52] ; [ 7 19],[11.97727273 50.02272727] ; [ 5.02272727 20.97727273],0
p3,1,0.245602,1.348148,[16 48] ; [10 17],[18.28571429 45.71428571] ; [ 7.71428571 19.28571429],0
b4,1,0.248959,1.329133,[38 28] ; [12 15],[35.48387097 30.51612903] ; [14.51612903 12.48387097],0
p11,1,0.281937,1.157731,[31 35] ; [16 11],[33.35483871 32.64516129] ; [13.64516129 13.35483871],0
r1,1,0.450431,0.569567,[41 25] ; [19  8],[42.58064516 23.41935484] ; [17.41935484  9.58064516],0
b1,1,0.456733,0.553888,[36 30] ; [17 10],[37.61290323 28.38709677] ; [15.38709677 11.61290323],0
b5,1,0.54034,0.37491,[37 29] ; [17 10],[38.32258065 27.67741935] ; [15.67741935 11.32258065],0
n3,1,0.554628,0.349091,[13  9] ; [7 3],[13.75  8.25] ; [6.25 3.75],0
p5,1,0.560636,0.338605,[ 3 62] ; [ 2 24],[ 3.57142857 61.42857143] ; [ 1.42857143 24.57142857],0
s4,1,0.581005,0.304612,[ 5 61] ; [ 3 24],[ 5.67741935 60.32258065] ; [ 2.32258065 24.67741935],0
u1,1,0.581005,0.304612,[ 5 61] ; [ 3 24],[ 5.67741935 60.32258065] ; [ 2.32258065 24.67741935],0
n4,1,0.626523,0.236806,[33 33] ; [15 12],[34.06451613 31.93548387] ; [13.93548387 13.06451613],0
d5,1,0.71983,0.128656,[49 17] ; [21  6],[49.67741935 16.32258065] ; [20.32258065  6.67741935],0
b2,1,0.725239,0.123528,[12 23] ; [ 5 12],[11.44230769 23.55769231] ; [ 5.55769231 11.44230769],0
b3,1,0.725239,0.123528,[12 23] ; [ 5 12],[11.44230769 23.55769231] ; [ 5.55769231 11.44230769],0
a7,1,0.728729,0.120282,[44 22] ; [19  8],[44.70967742 21.29032258] ; [18.29032258  8.70967742],0
a4,1,0.729124,0.119918,[27 39] ; [10 17],[26.25806452 39.74193548] ; [10.74193548 16.25806452],0
a3,1,0.769818,0.085622,[43 22] ; [17 10],[42.39130435 22.60869565] ; [17.60869565  9.39130435],0
v3,1,0.773861,0.082558,[17 46] ; [ 6 19],[16.46590909 46.53409091] ; [ 6.53409091 18.46590909],0
a6,1,0.781599,0.07686,[42 24] ; [18  9],[42.58064516 23.41935484] ; [17.41935484  9.58064516],0
r2,1,0.810514,0.057486,[52 13] ; [21  6],[51.57608696 13.42391304] ; [21.42391304  5.57608696],0
s1,1,0.855884,0.032984,[ 3 63] ; [ 1 26],[ 2.83870968 63.16129032] ; [ 1.16129032 25.83870968],0
n5,1,0.902364,0.015049,[27 39] ; [11 15],[27.26086957 38.73913043] ; [10.73913043 15.26086957],0
d4,1,0.951194,0.003746,[42 24] ; [17 10],[41.87096774 24.12903226] ; [17.12903226  9.87096774],0
