Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,111.778916,[230 157] ; [ 52 229],[163.3742515 223.6257485] ; [118.6257485 162.3742515],1
v1,1,0.0,42.628469,[260 126] ; [117 162],[218.83007519 167.16992481] ; [158.16992481 120.83007519],1
r1,1,1.7e-05,18.465572,[343  51] ; [212  74],[321.57352941  72.42647059] ; [233.42647059  52.57352941],1
a5,1,0.000112,14.91767,[319  76] ; [194  92],[297.55506608  97.44493392] ; [215.44493392  70.55506608],1
r4,1,0.000328,12.901496,[379  16] ; [254  32],[367.15859031  27.84140969] ; [265.84140969  20.15859031],1
a3,1,0.001025,10.782444,[306  88] ; [189  96],[287.23122239 106.76877761] ; [207.76877761  77.23122239],0
r3,1,0.001427,10.170483,[386   9] ; [264  21],[377.57352941  17.42647059] ; [272.42647059  12.57352941],0
d1,1,0.001699,9.849508,[261 134] ; [155 131],[241.29221733 153.70778267] ; [174.70778267 111.29221733],0
p3,1,0.002368,9.239821,[231 163] ; [133 151],[211.5280236 182.4719764] ; [152.4719764 131.5280236],0
d5,1,0.003778,8.387583,[339  55] ; [220  64],[324.84660767  69.15339233] ; [234.15339233  49.84660767],0
u1,1,0.004626,8.02014,[ 86 309] ; [ 38 248],[ 71.9236417 323.0763583] ; [ 52.0763583 233.9236417],0
p7,1,0.008091,7.013236,[278 109] ; [172 105],[262.27409639 124.72590361] ; [187.72590361  89.27409639],0
d4,1,0.009069,6.809266,[342  52] ; [226  59],[329.59057437  64.40942563] ; [238.40942563  46.59057437],0
s4,1,0.019836,5.426268,[ 59 334] ; [ 62 220],[ 70.44888889 322.55111111] ; [ 50.55111111 231.44888889],0
a7,1,0.019837,5.426201,[305  89] ; [198  87],[291.87334315 102.12665685] ; [211.12665685  73.87334315],0
d2,1,0.022838,5.180765,[203 190] ; [122 163],[188.38495575 204.61504425] ; [136.61504425 148.38495575],0
d3,1,0.03068,4.670796,[291 103] ; [188  96],[278.35693215 115.64306785] ; [200.64306785  83.35693215],0
p12,1,0.031086,4.648218,[ 44 351] ; [ 18 267],[ 36.01470588 358.98529412] ; [ 25.98529412 259.01470588],0
b1,1,0.035876,4.402965,[128 267] ; [115 171],[140.94713656 254.05286344] ; [102.05286344 183.94713656],0
a6,1,0.041717,4.146667,[283 110] ; [185 101],[270.87481591 122.12518409] ; [197.12518409  88.87481591],0
n4,1,0.055319,3.672437,[321  74] ; [215  71],[310.89574156  84.10425844] ; [225.10425844  60.89574156],0
n5,1,0.056557,3.635581,[319  74] ; [214  71],[308.95132743  84.04867257] ; [224.04867257  60.95132743],0
a2,1,0.078908,3.087252,[103 292] ; [ 58 228],[ 93.38472834 301.61527166] ; [ 67.61527166 218.38472834],0
s7,1,0.099322,2.716404,[209 168] ; [134 140],[198.6344086 178.3655914] ; [144.3655914 129.6344086],0
a1,1,0.127154,2.326912,[ 24 371] ; [ 10 276],[ 19.72099853 375.27900147] ; [ 14.27900147 271.72099853],0
s8,1,0.132102,2.26763,[197 195] ; [127 159],[187.32743363 204.67256637] ; [136.67256637 149.32743363],0
n1,1,0.152763,2.044444,[20 49] ; [28 41],[24. 45.] ; [24. 45.],0
