Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,123.132617,[256 100] ; [ 30 127],[198.47173489 157.52826511] ; [87.52826511 69.47173489],1
s3,1,0.0,102.437409,[260  92] ; [ 41 116],[208.15717092 143.84282908] ; [92.84282908 64.15717092],1
s7,1,0.0,74.403727,[228 117] ; [ 36 114],[184. 161.] ; [80. 70.],1
s8,1,0.0,57.328937,[217 137] ; [ 40 119],[177.34502924 176.65497076] ; [79.65497076 79.34502924],1
s5,1,0.0,43.271494,[164 180] ; [ 26 129],[130.98196393 213.01803607] ; [59.01803607 95.98196393],1
p4,1,0.0,28.821324,[254 101] ; [73 83],[227.17221135 127.82778865] ; [99.82778865 56.17221135],1
s4,1,0.0,28.819048,[ 81 270] ; [  6 153],[ 59.87647059 291.12352941] ; [ 27.12352941 131.87647059],1
r4,1,1.8e-05,18.372804,[343  14] ; [136  23],[331.40116279  25.59883721] ; [147.59883721  11.40116279],1
p9,1,6.9e-05,15.834732,[317  36] ; [120  37],[302.47254902  50.52745098] ; [134.52745098  22.47254902],1
p6,1,0.000116,14.864766,[159 194] ; [ 41 112],[139.5256917 213.4743083] ; [60.4743083 92.5256917],1
p3,1,0.000516,12.05814,[207 148] ; [65 91],[188.962818 166.037182] ; [83.037182 72.962818],1
u1,1,0.000622,11.709646,[115 242] ; [ 28 131],[ 98.93604651 258.06395349] ; [ 44.06395349 114.93604651],1
v4,1,0.000751,11.358085,[351   6] ; [146  12],[344.5223301  12.4776699] ; [152.4776699   5.5223301],1
p12,1,0.000935,10.952286,[ 41 315] ; [  4 153],[ 31.22807018 324.77192982] ; [ 13.77192982 143.22807018],1
v1,1,0.002354,9.250992,[210 136] ; [73 85],[194.28174603 151.71825397] ; [88.71825397 69.28174603],0
a5,1,0.003807,8.373413,[312  45] ; [123  36],[300.95930233  56.04069767] ; [134.04069767  24.95930233],0
p10,1,0.00409,8.243567,[304  51] ; [118  39],[292.59765625  62.40234375] ; [129.40234375  27.59765625],0
b5,1,0.005021,7.872035,[235 122] ; [84 75],[220.70348837 136.29651163] ; [98.29651163 60.70348837],0
p2,1,0.012785,6.198575,[303  52] ; [119  37],[293.1702544  61.8297456] ; [128.8297456  27.1702544],0
p5,1,0.021574,5.279814,[ 47 306] ; [ 10 147],[ 39.45294118 313.54705882] ; [ 17.54705882 139.45294118],0
a2,1,0.023216,5.152291,[138 219] ; [ 45 114],[126.61046512 230.38953488] ; [ 56.38953488 102.61046512],0
n5,1,0.027227,4.876376,[280  76] ; [110  48],[270.11673152  85.88326848] ; [119.88326848  38.11673152],0
