Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000177,14.059703,[88 50] ; [88 15],[100.78008299  37.21991701] ; [75.21991701 27.78008299],1
s8,1,0.000909,11.004279,[ 27 110] ; [41 64],[38.49586777 98.50413223] ; [29.50413223 75.49586777],1
p8,1,0.010809,6.496407,[80 55] ; [78 26],[89.24686192 45.75313808] ; [68.75313808 35.24686192],0
n4,1,0.016255,5.775122,[99 39] ; [89 16],[106.7654321  31.2345679] ; [81.2345679 23.7654321],0
b4,1,0.017264,5.669383,[71 67] ; [70 35],[80.07407407 57.92592593] ; [60.92592593 44.07407407],0
p9,1,0.020216,5.393156,[108  30] ; [94 11],[114.71604938  23.28395062] ; [87.28395062 17.71604938],0
v1,1,0.051128,3.804072,[66 68] ; [65 40],[73.44769874 60.55230126] ; [57.55230126 47.44769874],0
s7,1,0.066242,3.373769,[37 94] ; [39 59],[43.47598253 87.52401747] ; [32.52401747 65.47598253],0
s4,1,0.072957,3.215201,[ 11 126] ; [16 88],[ 15.34854772 121.65145228] ; [11.65145228 92.34854772],0
s1,1,0.076607,3.135459,[  7 131] ; [  1 103],[  4.56198347 133.43801653] ; [  3.43801653 100.56198347],0
p1,1,0.076764,3.132116,[ 10 127] ; [15 90],[ 14.15289256 122.84710744] ; [10.84710744 94.15289256],0
v3,1,0.100345,2.700058,[43 88] ; [45 59],[49.05531915 81.94468085] ; [38.94468085 65.05531915],0
s5,1,0.135083,2.233096,[ 25 111] ; [27 75],[ 29.71428571 106.28571429] ; [22.28571429 79.71428571],0
p10,1,0.157298,2.000011,[108  30] ; [88 15],[112.23236515  25.76763485] ; [83.76763485 19.23236515],0
p5,1,0.15958,1.978201,[ 16 121] ; [19 86],[ 19.81404959 117.18595041] ; [15.18595041 89.81404959],0
r2,1,0.164414,1.933155,[122  15] ; [97  6],[125.0125  11.9875] ; [93.9875  9.0125],0
p12,1,0.170302,1.880286,[  5 133] ; [ 8 97],[  7.38271605 130.61728395] ; [ 5.61728395 99.38271605],0
r4,1,0.175382,1.836326,[120  18] ; [97  8],[123.2345679  14.7654321] ; [93.7654321 11.2345679],0
b3,1,0.181334,1.786659,[27 57] ; [31 42],[31.03184713 52.96815287] ; [26.96815287 46.03184713],0
b2,1,0.181334,1.786659,[27 57] ; [31 42],[31.03184713 52.96815287] ; [26.96815287 46.03184713],0
r3,1,0.181784,1.78298,[127  11] ; [101   4],[129.48148148   8.51851852] ; [98.51851852  6.48148148],0
a6,1,0.18814,1.732125,[99 39] ; [67 38],[94.27160494 43.72839506] ; [71.72839506 33.27160494],0
p11,1,0.198807,1.651118,[111  27] ; [91 14],[114.71604938  23.28395062] ; [87.28395062 17.71604938],0
a3,1,0.235012,1.410266,[84 54] ; [71 33],[88.38842975 49.61157025] ; [66.61157025 37.38842975],0
a1,1,0.26271,1.254419,[  3 135] ; [  5 100],[  4.54320988 133.45679012] ; [  3.45679012 101.54320988],0
p2,1,0.263374,1.250933,[119  18] ; [96  9],[121.71487603  15.28512397] ; [93.28512397 11.71487603],0
n6,1,0.302727,1.062145,[112  25] ; [91 14],[114.9214876  22.0785124] ; [88.0785124 16.9214876],0
b1,1,0.309442,1.033054,[49 89] ; [44 61],[52.81481481 85.18518519] ; [40.18518519 64.81481481],0
p3,1,0.311339,1.024987,[86 52] ; [72 33],[89.72839506 48.27160494] ; [68.27160494 36.72839506],0
n3,1,0.326683,0.962001,[17 10] ; [16  5],[18.5625  8.4375] ; [14.4375  6.5625],0
d2,1,0.331697,0.942261,[61 77] ; [53 52],[64.74074074 73.25925926] ; [49.25925926 55.74074074],0
a4,1,0.350414,0.871956,[55 82] ; [48 56],[58.55186722 78.44813278] ; [44.44813278 59.55186722],0
b5,1,0.385005,0.754658,[80 58] ; [55 50],[76.66666667 61.33333333] ; [58.33333333 46.66666667],0
a2,1,0.394234,0.725844,[ 23 115] ; [22 83],[ 25.55555556 112.44444444] ; [19.44444444 85.55555556],0
s6,1,0.42022,0.649701,[68 69] ; [56 46],[71.07949791 65.92050209] ; [52.92050209 49.07949791],0
v4,1,0.425344,0.635502,[128  10] ; [100   5],[129.48148148   8.51851852] ; [98.51851852  6.48148148],0
u1,1,0.448532,0.57436,[ 20 118] ; [19 86],[ 22.14814815 115.85185185] ; [16.85185185 88.14814815],0
d4,1,0.531095,0.392296,[103  35] ; [82 23],[105.0617284  32.9382716] ; [79.9382716 25.0617284],0
d1,1,0.533794,0.387164,[72 66] ; [59 46],[74.39506173 63.60493827] ; [56.60493827 48.39506173],0
n5,1,0.558042,0.343107,[103  35] ; [81 23],[104.92561983  33.07438017] ; [79.07438017 24.92561983],0
n1,1,0.584281,0.299365,[ 9 18] ; [ 9 13],[ 9.91836735 17.08163265] ; [ 8.08163265 13.91836735],0
s3,1,0.627799,0.235057,[ 31 105] ; [21 83],[ 29.46666667 106.53333333] ; [22.53333333 81.46666667],0
n2,1,0.653594,0.201399,[17  9] ; [13  9],[16.25  9.75] ; [13.75  8.25],0
a5,1,0.692371,0.156531,[103  35] ; [76 29],[101.65432099  36.34567901] ; [77.34567901 27.65432099],0
d3,1,0.723385,0.125273,[93 45] ; [73 32],[94.27160494 43.72839506] ; [71.72839506 33.27160494],0
a8,1,0.844414,0.038514,[ 14 108] ; [11 78],[ 14.4549763 107.5450237] ; [10.5450237 78.4549763],0
u3,1,0.853747,0.033981,[30 24] ; [19 14],[30.4137931 23.5862069] ; [18.5862069 14.4137931],0
a7,1,0.880002,0.022791,[100  38] ; [77 28],[100.51851852  37.48148148] ; [76.48148148 28.51851852],0
d5,1,0.886736,0.020288,[114  24] ; [86 19],[113.58024691  24.41975309] ; [86.41975309 18.58024691],0
u2,1,0.915069,0.011374,[29 24] ; [19 15],[29.24137931 23.75862069] ; [18.75862069 15.24137931],0
v2,1,0.985648,0.000324,[76 56] ; [60 44],[76.06779661 55.93220339] ; [59.93220339 44.06779661],0
r1,1,0.990603,0.000139,[109  29] ; [83 22],[109.03703704  28.96296296] ; [82.96296296 22.03703704],0
