Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1.2e-05,19.123678,[63 24] ; [18 34],[50.69784173 36.30215827] ; [30.30215827 21.69784173],1
u1,1,9.9e-05,15.162439,[25 63] ; [ 1 51],[16.34285714 71.65714286] ; [ 9.65714286 42.34285714],1
d4,1,0.000204,13.792224,[71 16] ; [27 25],[61.3381295 25.6618705] ; [36.6618705 15.3381295],1
a6,1,0.00025,13.411126,[61 26] ; [20 32],[50.69784173 36.30215827] ; [30.30215827 21.69784173],1
a3,1,0.000816,11.205178,[64 22] ; [24 28],[54.84057971 31.15942029] ; [33.15942029 18.84057971],1
r4,1,0.001055,10.727999,[73 15] ; [30 22],[64.74285714 23.25714286] ; [38.25714286 13.74285714],0
a2,1,0.001548,10.020406,[27 61] ; [ 4 48],[19.48571429 68.51428571] ; [11.51428571 40.48571429],0
d5,1,0.002203,9.372204,[71 16] ; [30 22],[63.21582734 23.78417266] ; [37.78417266 14.21582734],0
r1,1,0.003229,8.673242,[69 18] ; [29 23],[61.3381295 25.6618705] ; [36.6618705 15.3381295],0
a5,1,0.004231,8.181818,[65 23] ; [26 26],[57.2 30.8] ; [33.8 18.2],0
r2,1,0.012268,6.271649,[80  6] ; [40 11],[75.32846715 10.67153285] ; [44.67153285  6.32846715],0
p2,1,0.018597,5.53906,[60 28] ; [25 27],[53.42857143 34.57142857] ; [31.57142857 20.42857143],0
b1,1,0.022454,5.21022,[40 48] ; [34 18],[46.51428571 41.48571429] ; [27.48571429 24.51428571],0
b5,1,0.039569,4.236255,[61 27] ; [27 25],[55.31428571 32.68571429] ; [32.68571429 19.31428571],0
r3,1,0.044273,4.04611,[75 13] ; [37 15],[70.4 17.6] ; [41.6 10.4],0
v4,1,0.089827,2.87747,[76 12] ; [39 13],[72.28571429 15.71428571] ; [42.71428571  9.28571429],0
v1,1,0.091713,2.844054,[40 47] ; [16 35],[35.30434783 51.69565217] ; [20.69565217 30.30434783],0
v2,1,0.091713,2.844054,[40 47] ; [16 35],[35.30434783 51.69565217] ; [20.69565217 30.30434783],0
u3,1,0.109038,2.56811,[13 11] ; [ 9 19],[10.15384615 13.84615385] ; [11.84615385 16.15384615],0
d1,1,0.113696,2.502076,[46 42] ; [20 32],[41.48571429 46.51428571] ; [24.51428571 27.48571429],0
p12,1,0.114909,2.48537,[ 1 86] ; [ 3 49],[ 2.50359712 84.49640288] ; [ 1.49640288 50.50359712],0
p5,1,0.12057,2.409898,[ 4 84] ; [ 6 46],[ 6.28571429 81.71428571] ; [ 3.71428571 48.28571429],0
a4,1,0.121058,2.403579,[46 41] ; [20 31],[41.60869565 45.39130435] ; [24.39130435 26.60869565],0
a8,1,0.127943,2.31729,[16 62] ; [ 5 44],[12.8976378 65.1023622] ; [ 8.1023622 40.8976378],0
p7,1,0.142308,2.152823,[39 47] ; [17 35],[34.89855072 51.10144928] ; [21.10144928 30.89855072],0
n2,1,0.245278,1.35,[22  8] ; [14 10],[20. 10.] ; [16.  8.],0
s5,1,0.256383,1.288186,[13 70] ; [12 39],[15.48507463 67.51492537] ; [ 9.51492537 41.48507463],0
p8,1,0.26119,1.26244,[28 58] ; [12 39],[25.10948905 60.89051095] ; [14.89051095 36.10948905],0
n6,1,0.269194,1.220851,[63 24] ; [33 19],[60.08633094 26.91366906] ; [35.91366906 16.08633094],0
a1,1,0.270455,1.214437,[10 78] ; [ 3 49],[ 8.17142857 79.82857143] ; [ 4.82857143 47.17142857],0
b4,1,0.290293,1.118264,[57 31] ; [29 23],[54.05714286 33.94285714] ; [31.94285714 20.05714286],0
d2,1,0.292685,1.107228,[49 38] ; [24 27],[46.02173913 40.97826087] ; [26.97826087 24.02173913],0
p4,1,0.309788,1.03158,[37 51] ; [17 34],[34.18705036 53.81294964] ; [19.81294964 31.18705036],0
s6,1,0.35668,0.849547,[45 41] ; [23 29],[42.37681159 43.62318841] ; [25.62318841 26.37681159],0
n1,1,0.415801,0.662152,[16 12] ; [11 13],[14.53846154 13.46153846] ; [12.46153846 11.53846154],0
v3,1,0.418782,0.653731,[31 55] ; [14 34],[28.88059701 57.11940299] ; [16.11940299 31.88059701],0
s1,1,0.458804,0.54881,[ 4 82] ; [ 4 48],[ 4.98550725 81.01449275] ; [ 3.01449275 48.98550725],0
p1,1,0.602741,0.270881,[ 7 79] ; [ 3 49],[ 6.23188406 79.76811594] ; [ 3.76811594 48.23188406],0
p6,1,0.618513,0.247963,[24 62] ; [12 38],[22.76470588 63.23529412] ; [13.23529412 36.76470588],0
p11,1,0.631363,0.230217,[46 42] ; [25 27],[44.62857143 43.37142857] ; [26.37142857 25.62857143],0
n3,1,0.638271,0.221011,[19 10] ; [13  9],[18.19607843 10.80392157] ; [13.80392157  8.19607843],0
s2,1,0.7363,0.113406,[29 57] ; [19 33],[29.91304348 56.08695652] ; [18.08695652 33.91304348],0
p9,1,0.747843,0.103353,[31 52] ; [18 34],[30.12592593 52.87407407] ; [18.87407407 33.12592593],0
n5,1,0.766843,0.087917,[63 25] ; [36 16],[62.22857143 25.77142857] ; [36.77142857 15.22857143],0
b2,1,0.776606,0.080511,[21 37] ; [12 24],[20.36170213 37.63829787] ; [12.63829787 23.36170213],0
b3,1,0.776606,0.080511,[21 37] ; [12 24],[20.36170213 37.63829787] ; [12.63829787 23.36170213],0
p3,1,0.78907,0.071566,[29 59] ; [16 36],[28.28571429 59.71428571] ; [16.71428571 35.28571429],0
u4,1,0.843516,0.038966,[ 4 84] ; [ 2 50],[ 3.77142857 84.22857143] ; [ 2.22857143 49.77142857],0
u2,1,0.845025,0.038208,[10 13] ; [11 16],[ 9.66 13.34] ; [11.34 15.66],0
s8,1,0.900218,0.015722,[24 62] ; [14 38],[23.68115942 62.31884058] ; [14.31884058 37.68115942],0
s3,1,0.90521,0.014181,[40 45] ; [23 27],[39.66666667 45.33333333] ; [23.33333333 26.66666667],0
s4,1,0.930281,0.007655,[11 74] ; [ 7 45],[11.16788321 73.83211679] ; [ 6.83211679 45.16788321],0
s7,1,0.977448,0.000799,[32 50] ; [19 30],[31.92366412 50.07633588] ; [19.07633588 29.92366412],0
