Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,7e-06,20.208639,[33  8] ; [25 44],[21.61818182 19.38181818] ; [36.38181818 32.61818182],1
p5,1,0.003844,8.356001,[15 26] ; [ 9 60],[ 8.94545455 32.05454545] ; [15.05454545 53.94545455],0
p8,1,0.014272,6.004203,[28 13] ; [30 38],[21.81651376 19.18348624] ; [36.18348624 31.81651376],0
r1,1,0.018218,5.575038,[37  4] ; [49 20],[32.05454545  8.94545455] ; [53.94545455 15.05454545],0
s8,1,0.033663,4.511724,[24 17] ; [26 43],[18.63636364 22.36363636] ; [31.36363636 37.63636364],0
s7,1,0.043373,4.080823,[29 10] ; [36 30],[24.14285714 14.85714286] ; [40.85714286 25.14285714],0
s4,1,0.044619,4.032993,[ 6 35] ; [22 47],[10.43636364 30.56363636] ; [17.56363636 51.43636364],0
v1,1,0.055565,3.665047,[25 15] ; [30 39],[20.18348624 19.81651376] ; [34.81651376 34.18348624],0
p4,1,0.060365,3.527325,[26 14] ; [32 37],[21.28440367 18.71559633] ; [36.71559633 32.28440367],0
p3,1,0.06815,3.327023,[24 17] ; [28 41],[19.38181818 21.61818182] ; [32.61818182 36.38181818],0
a5,1,0.146872,2.104441,[28 13] ; [38 32],[24.37837838 16.62162162] ; [41.62162162 28.37837838],0
r4,1,0.174503,1.843824,[39  2] ; [61  9],[36.93693694  4.06306306] ; [63.06306306  6.93693694],0
p1,1,0.188159,1.731974,[ 7 34] ; [ 6 63],[ 4.84545455 36.15454545] ; [ 8.15454545 60.84545455],0
n5,1,0.311859,1.022784,[32  9] ; [47 21],[29.71559633 11.28440367] ; [49.28440367 18.71559633],0
d4,1,0.330341,0.947561,[25 16] ; [49 21],[27.33333333 13.66666667] ; [46.66666667 23.33333333],0
p12,1,0.334035,0.933192,[ 6 35] ; [ 6 63],[ 4.47272727 36.52727273] ; [ 7.52727273 61.47272727],0
n6,1,0.345905,0.888425,[37  4] ; [57 11],[35.35779817  5.64220183] ; [58.64220183  9.35779817],0
u2,1,0.398959,0.711462,[9 6] ; [14 16],[7.66666667 7.33333333] ; [15.33333333 14.66666667],0
p6,1,0.405024,0.693359,[19 22] ; [26 42],[16.9266055 24.0733945] ; [28.0733945 39.9266055],0
v4,1,0.405178,0.692904,[40  1] ; [64  4],[39.11926606  1.88073394] ; [64.88073394  3.11926606],0
n4,1,0.418148,0.655515,[32  9] ; [49 20],[30.19090909 10.80909091] ; [50.80909091 18.19090909],0
r3,1,0.455958,0.555798,[39  2] ; [63  6],[38.01818182  2.98181818] ; [63.98181818  5.01818182],0
a3,1,0.477103,0.505479,[26 15] ; [39 30],[24.22727273 16.77272727] ; [40.77272727 28.22727273],0
d2,1,0.477758,0.503977,[ 6 35] ; [14 56],[ 7.38738739 33.61261261] ; [12.61261261 57.38738739],0
b3,1,0.514149,0.425614,[ 8 11] ; [13 26],[ 6.87931034 12.12068966] ; [14.12068966 24.87931034],0
b2,1,0.514149,0.425614,[ 8 11] ; [13 26],[ 6.87931034 12.12068966] ; [14.12068966 24.87931034],0
a6,1,0.534774,0.385313,[23 18] ; [35 35],[21.42342342 19.57657658] ; [36.57657658 33.42342342],0
a7,1,0.539391,0.37667,[27 14] ; [42 28],[25.48648649 15.51351351] ; [43.51351351 26.48648649],0
p7,1,0.543169,0.369698,[30 11] ; [46 22],[28.58715596 12.41284404] ; [47.41284404 20.58715596],0
p2,1,0.556271,0.346202,[32  9] ; [57 12],[33.17272727  7.82727273] ; [55.82727273 13.17272727],0
p10,1,0.569999,0.322684,[33  7] ; [53 15],[31.85185185  8.14814815] ; [54.14814815 13.85185185],0
n3,1,0.592097,0.287081,[8 3] ; [12  7],[7.33333333 3.66666667] ; [12.66666667  6.33333333],0
r2,1,0.601957,0.272054,[38  3] ; [61  7],[37.23853211  3.76146789] ; [61.76146789  6.23853211],0
u1,1,0.635663,0.224459,[ 2 39] ; [ 5 65],[ 2.58558559 38.41441441] ; [ 4.41441441 65.58558559],0
a1,1,0.635663,0.224459,[ 2 39] ; [ 5 65],[ 2.58558559 38.41441441] ; [ 4.41441441 65.58558559],0
p11,1,0.637809,0.221619,[30 11] ; [54 16],[31.02702703  9.97297297] ; [52.97297297 17.02702703],0
d3,1,0.652007,0.203379,[17 24] ; [26 44],[15.88288288 25.11711712] ; [27.11711712 42.88288288],0
a8,1,0.668346,0.183543,[ 6 32] ; [13 55],[ 6.81132075 31.18867925] ; [12.18867925 55.81132075],0
b1,1,0.687086,0.162258,[18 23] ; [28 42],[16.99099099 24.00900901] ; [29.00900901 40.99099099],0
u3,1,0.761554,0.092076,[8 7] ; [18 13],[8.47826087 6.52173913] ; [17.52173913 13.47826087],0
s2,1,0.780919,0.077352,[28 13] ; [46 24],[27.33333333 13.66666667] ; [46.66666667 23.33333333],0
s1,1,0.860398,0.03093,[ 2 38] ; [ 4 65],[ 2.20183486 37.79816514] ; [ 3.79816514 65.20183486],0
n2,1,0.865455,0.028708,[9 2] ; [16  3],[9.16666667 1.83333333] ; [15.83333333  3.16666667],0
b4,1,0.879532,0.022971,[24 17] ; [42 28],[24.37837838 16.62162162] ; [41.62162162 28.37837838],0
d5,1,0.879532,0.022971,[24 17] ; [42 28],[24.37837838 16.62162162] ; [41.62162162 28.37837838],0
a2,1,0.884536,0.021089,[ 2 39] ; [ 3 67],[ 1.84684685 39.15315315] ; [ 3.15315315 66.84684685],0
s6,1,0.889893,0.019165,[35  5] ; [58  9],[34.76635514  5.23364486] ; [58.23364486  8.76635514],0
a4,1,0.897317,0.016654,[11 30] ; [18 52],[10.71171171 30.28828829] ; [18.28828829 51.71171171],0
b5,1,0.901295,0.015382,[21 20] ; [35 35],[20.68468468 20.31531532] ; [35.31531532 34.68468468],0
n1,1,0.912875,0.011971,[4 6] ; [ 8 11],[4.13793103 5.86206897] ; [ 7.86206897 11.13793103],0
s3,1,0.984986,0.000354,[25 15] ; [43 26],[24.95412844 15.04587156] ; [43.04587156 25.95412844],0
p9,1,0.991644,0.00011,[34  6] ; [57 10],[34.01869159  5.98130841] ; [56.98130841 10.01869159],0
