Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,2e-06,22.965683,[26 33] ; [121  34],[40.52803738 18.47196262] ; [106.47196262  48.52803738],1
d3,1,0.000218,13.667254,[29 30] ; [117  38],[40.25233645 18.74766355] ; [105.74766355  49.25233645],1
v2,1,0.000712,11.457987,[20 37] ; [92 58],[30.84057971 26.15942029] ; [81.15942029 68.84057971],1
d5,1,0.006379,7.440129,[40 19] ; [131  24],[47.14485981 11.85514019] ; [123.85514019  31.14485981],0
d4,1,0.009266,6.770835,[39 20] ; [128  27],[46.04205607 12.95794393] ; [120.95794393  34.04205607],0
u1,1,0.015918,5.811908,[ 3 56] ; [ 28 127],[ 8.54672897 50.45327103] ; [ 22.45327103 132.54672897],0
a2,1,0.018012,5.595002,[ 5 54] ; [ 35 120],[11.02803738 47.97196262] ; [ 28.97196262 126.02803738],0
u3,1,0.018022,5.594017,[10 16] ; [34 17],[14.85714286 11.14285714] ; [29.14285714 21.85714286],0
b1,1,0.024289,5.073879,[28 31] ; [ 48 107],[20.95327103 38.04672897] ; [55.04672897 99.95327103],0
s5,1,0.027891,4.834821,[22 36] ; [ 35 118],[15.66824645 42.33175355] ; [ 41.33175355 111.66824645],0
u2,1,0.055824,3.6573,[12 14] ; [35 16],[15.87012987 10.12987013] ; [31.12987013 19.87012987],0
v1,1,0.115491,2.477426,[26 32] ; [86 65],[31.08133971 26.91866029] ; [80.91866029 70.08133971],0
r3,1,0.121824,2.393711,[53  6] ; [148   7],[55.41588785  3.58411215] ; [145.58411215   9.41588785],0
p1,1,0.124932,2.354373,[ 6 53] ; [  7 147],[ 3.60093897 55.39906103] ; [  9.39906103 144.60093897],0
a3,1,0.136562,2.216274,[33 26] ; [103  51],[37.6713615 21.3286385] ; [98.3286385 55.6713615],0
s4,1,0.143525,2.139756,[12 47] ; [ 19 134],[ 8.62735849 50.37264151] ; [ 22.37264151 130.62735849],0
n5,1,0.163635,1.94031,[48 11] ; [111  43],[44.04225352 14.95774648] ; [114.95774648  39.04225352],0
n2,1,0.171857,1.866667,[8 6] ; [32 10],[10.  4.] ; [30. 12.],0
b5,1,0.180748,1.79146,[31 28] ; [97 58],[35.28971963 23.71028037] ; [92.71028037 62.28971963],0
p8,1,0.275273,1.190278,[27 31] ; [83 68],[30.52631579 27.47368421] ; [79.47368421 71.52631579],0
b2,1,0.290962,1.115163,[13 18] ; [30 65],[10.57936508 20.42063492] ; [32.42063492 62.57936508],0
b3,1,0.290962,1.115163,[13 18] ; [30 65],[10.57936508 20.42063492] ; [32.42063492 62.57936508],0
p4,1,0.298725,1.079877,[31 28] ; [93 61],[34.34741784 24.65258216] ; [89.65258216 64.34741784],0
s1,1,0.30513,1.051638,[ 2 56] ; [  2 152],[ 1.09433962 56.90566038] ; [  2.90566038 151.09433962],0
d1,1,0.323885,0.973192,[26 33] ; [80 75],[29.22429907 29.77570093] ; [76.77570093 78.22429907],0
p6,1,0.356847,0.84896,[21 37] ; [ 45 107],[18.22857143 39.77142857] ; [ 47.77142857 104.22857143],0
d2,1,0.394599,0.724723,[27 32] ; [61 94],[24.26168224 34.73831776] ; [63.73831776 91.26168224],0
p7,1,0.444893,0.58363,[35 23] ; [99 51],[37.36538462 20.63461538] ; [96.63461538 53.36538462],0
n4,1,0.459359,0.547456,[47 12] ; [116  39],[44.93925234 14.06074766] ; [118.06074766  36.93925234],0
a1,1,0.474348,0.51183,[ 2 57] ; [  9 146],[ 3.03271028 55.96728972] ; [  7.96728972 147.03271028],0
n1,1,0.482689,0.492782,[ 4 10] ; [16 25],[5.09090909 8.90909091] ; [14.90909091 26.09090909],0
v4,1,0.488132,0.480642,[54  5] ; [145   9],[55.12206573  3.87793427] ; [143.87793427  10.12206573],0
p9,1,0.513265,0.427404,[50  8] ; [127  27],[48.4245283  9.5754717] ; [128.5754717  25.4245283],0
a5,1,0.520275,0.413347,[40 19] ; [112  43],[41.90654206 17.09345794] ; [110.09345794  44.90654206],0
p10,1,0.558819,0.341754,[47 10] ; [119  32],[45.49038462 11.50961538] ; [120.50961538  30.49038462],0
a4,1,0.584636,0.298799,[20 38] ; [59 94],[21.71563981 36.28436019] ; [57.28436019 95.71563981],0
n3,1,0.584834,0.298485,[10  3] ; [29 13],[9.21818182 3.78181818] ; [29.78181818 12.21818182],0
s3,1,0.59773,0.278434,[21 38] ; [ 48 103],[19.38571429 39.61428571] ; [ 49.61428571 101.38571429],0
b4,1,0.612996,0.255835,[38 21] ; [94 61],[36.39252336 22.60747664] ; [95.60747664 59.39252336],0
v3,1,0.61514,0.252757,[19 38] ; [56 95],[20.55288462 36.44711538] ; [54.44711538 96.55288462],0
p2,1,0.636745,0.223024,[47 11] ; [129  25],[48.1509434  9.8490566] ; [127.8490566  26.1509434],0
p3,1,0.664553,0.18804,[30 28] ; [75 80],[28.5915493 29.4084507] ; [76.4084507 78.5915493],0
s8,1,0.736786,0.112971,[20 39] ; [56 98],[21.05164319 37.94835681] ; [54.94835681 99.05164319],0
a8,1,0.758315,0.094676,[ 9 48] ; [ 19 116],[ 8.3125 48.6875] ; [ 19.6875 115.3125],0
p5,1,0.776886,0.080304,[ 8 50] ; [ 19 135],[ 7.38679245 50.61320755] ; [ 19.61320755 134.38679245],0
p11,1,0.79945,0.064546,[47 12] ; [121  34],[46.31775701 12.68224299] ; [121.68224299  33.31775701],0
p12,1,0.825803,0.048439,[ 4 54] ; [ 12 142],[ 4.37735849 53.62264151] ; [ 11.62264151 142.37735849],0
s7,1,0.832575,0.04469,[21 38] ; [55 93],[21.66183575 37.33816425] ; [54.33816425 93.66183575],0
n6,1,0.834058,0.04389,[48 11] ; [128  27],[48.52336449 10.47663551] ; [127.47663551  27.52336449],0
r2,1,0.863088,0.029737,[53  5] ; [140  12],[53.3047619  4.6952381] ; [139.6952381  12.3047619],0
r4,1,0.866203,0.028387,[53  6] ; [138  17],[52.6588785  6.3411215] ; [138.3411215  16.6588785],0
r1,1,0.972857,0.001158,[47 12] ; [123  31],[47.08920188 11.91079812] ; [122.91079812  31.08920188],0
