Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1e-06,23.303704,[31  1] ; [34 38],[20. 12.] ; [45. 27.],1
p6,1,9e-06,19.812561,[18 14] ; [10 61],[ 8.69902913 23.30097087] ; [19.30097087 51.69902913],1
s4,1,3.7e-05,17.024302,[15 16] ; [ 8 63],[ 6.99019608 24.00980392] ; [16.00980392 54.99019608],1
p12,1,0.000105,15.048767,[ 9 23] ; [ 2 70],[ 3.38461538 28.61538462] ; [ 7.61538462 64.38461538],1
s2,1,0.001688,9.860741,[24  8] ; [30 42],[16.61538462 15.38461538] ; [37.38461538 34.61538462],0
s8,1,0.007157,7.233108,[21 10] ; [28 44],[14.74757282 16.25242718] ; [34.25242718 37.74757282],0
a5,1,0.010097,6.617764,[28  4] ; [45 27],[22.46153846  9.53846154] ; [50.53846154 21.46153846],0
p1,1,0.012503,6.23808,[ 7 25] ; [ 4 68],[ 3.38461538 28.61538462] ; [ 7.61538462 64.38461538],0
v1,1,0.013116,6.153425,[21 11] ; [27 42],[15.20792079 16.79207921] ; [32.79207921 36.20792079],0
r4,1,0.020882,5.336648,[31  1] ; [57 15],[27.07692308  4.92307692] ; [60.92307692 11.07692308],0
v2,1,0.030173,4.699422,[21  8] ; [33 35],[16.1443299 12.8556701] ; [37.8556701 30.1443299],0
p5,1,0.04259,4.11162,[ 6 26] ; [ 4 65],[ 3.16831683 28.83168317] ; [ 6.83168317 62.16831683],0
s7,1,0.045826,3.987987,[19 12] ; [27 41],[14.4040404 16.5959596] ; [31.5959596 36.4040404],0
p7,1,0.066082,3.377757,[17 15] ; [23 45],[12.8 19.2] ; [27.2 40.8],0
n6,1,0.077416,3.118327,[27  4] ; [51 21],[23.47572816  7.52427184] ; [54.52427184 17.47572816],0
v4,1,0.099483,2.713805,[31  1] ; [62 10],[28.61538462  3.38461538] ; [64.38461538  7.61538462],0
s3,1,0.121723,2.39501,[20 11] ; [34 37],[16.41176471 14.58823529] ; [37.58823529 33.41176471],0
r2,1,0.129755,2.295437,[31  1] ; [62  9],[28.89320388  3.10679612] ; [64.10679612  6.89320388],0
p8,1,0.146556,2.107735,[13 19] ; [19 53],[ 9.84615385 22.15384615] ; [22.15384615 49.84615385],0
p10,1,0.153987,2.0323,[29  3] ; [57 15],[26.46153846  5.53846154] ; [59.53846154 12.46153846],0
p4,1,0.21739,1.52152,[14 17] ; [23 48],[11.24509804 19.75490196] ; [25.75490196 45.24509804],0
u2,1,0.243537,1.36,[3 6] ; [14 11],[4.5 4.5] ; [12.5 12.5],0
b5,1,0.245779,1.347138,[18 14] ; [49 23],[20.61538462 11.38461538] ; [46.38461538 25.61538462],0
n1,1,0.283274,1.151316,[4 6] ; [15 10],[5.42857143 4.57142857] ; [13.57142857 11.42857143],0
u3,1,0.33602,0.925556,[6 3] ; [12 13],[4.76470588 4.23529412] ; [13.23529412 11.76470588],0
d3,1,0.341597,0.904428,[21 10] ; [41 30],[18.84313725 12.15686275] ; [43.15686275 27.84313725],0
n3,1,0.343857,0.896,[6 4] ; [19  6],[7.14285714 2.85714286] ; [17.85714286  7.14285714],0
d4,1,0.347472,0.882667,[25  6] ; [51 20],[23.09803922  7.90196078] ; [52.90196078 18.09803922],0
u1,1,0.387592,0.746483,[ 4 28] ; [14 58],[ 5.53846154 26.46153846] ; [12.46153846 59.53846154],0
b4,1,0.405018,0.693378,[21 11] ; [41 31],[19.07692308 12.92307692] ; [42.92307692 29.07692308],0
r3,1,0.437677,0.602364,[30  2] ; [64  8],[28.92307692  3.07692308] ; [65.07692308  6.92307692],0
u4,1,0.440691,0.594482,[ 1 31] ; [ 5 67],[ 1.84615385 30.15384615] ; [ 4.15384615 67.84615385],0
v3,1,0.456422,0.554656,[13 16] ; [25 43],[11.36082474 17.63917526] ; [26.63917526 41.36082474],0
r1,1,0.474866,0.51063,[24  8] ; [49 23],[22.46153846  9.53846154] ; [50.53846154 21.46153846],0
n2,1,0.541193,0.373333,[8 2] ; [22  3],[8.57142857 1.42857143] ; [21.42857143  3.57142857],0
a3,1,0.567677,0.326585,[23  9] ; [47 24],[21.74757282 10.25242718] ; [48.25242718 22.74757282],0
a2,1,0.581429,0.30393,[ 6 26] ; [17 55],[ 7.07692308 24.92307692] ; [15.92307692 56.07692308],0
d5,1,0.597471,0.278828,[23  8] ; [49 22],[21.88235294  9.11764706] ; [50.11764706 20.88235294],0
p3,1,0.599663,0.275504,[12 19] ; [24 48],[10.83495146 20.16504854] ; [25.16504854 46.83495146],0
a8,1,0.601515,0.272717,[ 4 25] ; [ 7 62],[ 3.25510204 25.74489796] ; [ 7.74489796 61.25510204],0
