Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1.8e-05,18.381985,[ 4 12] ; [47 11],[11.02702703  4.97297297] ; [39.97297297 18.02702703],1
b3,1,0.02034,5.382434,[1 8] ; [19 16],[4.09090909 4.90909091] ; [15.90909091 19.09090909],0
b2,1,0.02034,5.382434,[1 8] ; [19 16],[4.09090909 4.90909091] ; [15.90909091 19.09090909],0
s5,1,0.030583,4.6762,[ 3 13] ; [27 28],[6.76056338 9.23943662] ; [23.23943662 31.76056338],0
u3,1,0.074716,3.17625,[3 3] ; [13  2],[4.57142857 1.42857143] ; [11.42857143  3.57142857],0
n3,1,0.104935,2.628889,[7 1] ; [11  9],[5.14285714 2.85714286] ; [12.85714286  7.14285714],0
d5,1,0.165286,1.925185,[10  6] ; [46 12],[12.10810811  3.89189189] ; [43.89189189 14.10810811],0
p10,1,0.171446,1.870256,[15  1] ; [45 12],[13.15068493  2.84931507] ; [46.84931507 10.15068493],0
n6,1,0.173428,1.853056,[13  3] ; [36 21],[10.73972603  5.26027397] ; [38.26027397 18.73972603],0
r4,1,0.179038,1.805594,[15  1] ; [46 12],[13.18918919  2.81081081] ; [47.81081081 10.18918919],0
s4,1,0.1891,1.724614,[ 4 12] ; [25 33],[6.27027027 9.72972973] ; [22.72972973 35.27027027],0
b4,1,0.204681,1.608652,[8 8] ; [39 19],[10.16216216  5.83783784] ; [36.83783784 21.16216216],0
d2,1,0.225141,1.471296,[ 5 11] ; [28 30],[7.13513514 8.86486486] ; [25.86486486 32.13513514],0
v3,1,0.229681,1.442834,[ 3 13] ; [18 34],[ 4.94117647 11.05882353] ; [16.05882353 35.94117647],0
a2,1,0.316763,1.002267,[ 2 14] ; [14 44],[ 3.45945946 12.54054054] ; [12.54054054 45.45945946],0
u2,1,0.329114,0.952381,[4 2] ; [12  2],[4.8 1.2] ; [11.2  2.8],0
a4,1,0.337451,0.920093,[ 4 12] ; [22 36],[ 5.62162162 10.37837838] ; [20.37837838 37.62162162],0
p6,1,0.354335,0.857872,[ 4 12] ; [21 35],[ 5.55555556 10.44444444] ; [19.44444444 36.55555556],0
a3,1,0.360637,0.835672,[10  6] ; [43 15],[11.45945946  4.54054054] ; [41.54054054 16.45945946],0
n2,1,0.366018,0.817138,[7 1] ; [15  6],[6.06896552 1.93103448] ; [15.93103448  5.06896552],0
p7,1,0.37297,0.793747,[12  4] ; [34 20],[10.51428571  5.48571429] ; [35.48571429 18.51428571],0
v1,1,0.37997,0.770799,[7 9] ; [32 25],[8.54794521 7.45205479] ; [30.45205479 26.54794521],0
v2,1,0.39962,0.709468,[7 9] ; [29 23],[8.47058824 7.52941176] ; [27.52941176 24.47058824],0
s3,1,0.414882,0.664767,[9 7] ; [39 19],[10.37837838  5.62162162] ; [37.62162162 20.37837838],0
p3,1,0.519011,0.415857,[ 6 10] ; [27 31],[7.13513514 8.86486486] ; [25.86486486 32.13513514],0
a8,1,0.537755,0.379717,[ 2 14] ; [ 4 49],[ 1.39130435 14.60869565] ; [ 4.60869565 48.39130435],0
a5,1,0.539393,0.376667,[11  5] ; [35 23],[9.94594595 6.05405405] ; [36.05405405 21.94594595],0
p8,1,0.57075,0.321429,[7 9] ; [29 27],[8. 8.] ; [28. 28.],0
s6,1,0.595026,0.282564,[12  4] ; [47 11],[12.75675676  3.24324324] ; [46.24324324 11.75675676],0
r3,1,0.607711,0.263521,[15  1] ; [51  6],[14.46575342  1.53424658] ; [51.53424658  5.46575342],0
v4,1,0.620251,0.245515,[15  1] ; [52  6],[14.48648649  1.51351351] ; [52.51351351  5.48648649],0
n5,1,0.622742,0.242032,[7 8] ; [23 35],[6.16438356 8.83561644] ; [23.83561644 34.16438356],0
b5,1,0.623193,0.241405,[8 8] ; [33 25],[8.86486486 7.13513514] ; [32.13513514 25.86486486],0
p11,1,0.624767,0.239224,[10  6] ; [40 18],[10.81081081  5.18918919] ; [39.18918919 18.81081081],0
p2,1,0.650134,0.205731,[13  3] ; [44 14],[12.32432432  3.67567568] ; [44.67567568 13.32432432],0
b1,1,0.687545,0.161756,[ 6 10] ; [25 33],[6.7027027 9.2972973] ; [24.2972973 33.7027027],0
a7,1,0.752632,0.099333,[13  3] ; [45 13],[12.54054054  3.45945946] ; [45.45945946 12.54054054],0
r2,1,0.758415,0.094595,[15  1] ; [53  5],[14.7027027  1.2972973] ; [53.2972973  4.7027027],0
a6,1,0.8229,0.050094,[10  6] ; [38 20],[10.37837838  5.62162162] ; [37.62162162 20.37837838],0
p4,1,0.864887,0.028953,[9 7] ; [34 24],[9.2972973 6.7027027] ; [33.7027027 24.2972973],0
r1,1,0.880544,0.022584,[11  5] ; [41 17],[11.24324324  4.75675676] ; [40.75675676 17.24324324],0
s8,1,0.924216,0.009049,[10  6] ; [37 21],[10.16216216  5.83783784] ; [36.83783784 21.16216216],0
p9,1,0.934738,0.006705,[13  3] ; [46 10],[13.11111111  2.88888889] ; [45.88888889 10.11111111],0
s2,1,0.974892,0.000991,[10  6] ; [36 22],[9.94594595 6.05405405] ; [36.05405405 21.94594595],0
n1,1,1.0,0.0,[3 4] ; [ 9 12],[3. 4.] ; [ 9. 12.],0
