Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,180.035074,[  6 121] ; [342 140],[72.57142857 54.42857143] ; [275.42857143 206.57142857],1
d3,1,0.0,114.018603,[32 94] ; [367 115],[82.6875 43.3125] ; [316.3125 165.6875],1
d5,1,0.0,97.156883,[63 64] ; [427  55],[102.18390805  24.81609195] ; [387.81609195  94.18390805],1
a5,1,0.0,39.976403,[66 61] ; [384  98],[93.84236453 33.15763547] ; [356.15763547 125.84236453],1
a3,1,0.0,34.044637,[63 62] ; [369 111],[89.25619835 35.74380165] ; [342.74380165 137.25619835],1
d2,1,0.0,32.265745,[34 93] ; [264 215],[62.45214521 64.54785479] ; [235.54785479 243.45214521],1
r3,1,0.0,29.766826,[102  24] ; [458  22],[116.43564356   9.56435644] ; [443.56435644  36.43564356],1
r1,1,0.0,27.364623,[76 49] ; [397  84],[97.5660066 27.4339934] ; [375.4339934 105.5660066],1
r4,1,0.0,25.855636,[94 33] ; [438  44],[110.94252874  16.05747126] ; [421.05747126  60.94252874],1
a4,1,1e-06,23.851651,[33 92] ; [244 236],[57.23140496 67.76859504] ; [219.76859504 260.23140496],1
a2,1,1e-06,23.841292,[ 11 116] ; [144 338],[32.32348112 94.67651888] ; [122.67651888 359.32348112],1
u1,1,2e-06,22.689471,[  5 122] ; [108 374],[ 23.56486043 103.43513957] ; [ 89.43513957 392.56486043],1
v4,1,4.9e-05,16.50323,[107  19] ; [459  23],[117.29605263   8.70394737] ; [448.70394737  33.29605263],1
s2,1,5.7e-05,16.19475,[43 82] ; [260 216],[63.01996672 61.98003328] ; [239.98003328 236.01996672],1
p2,1,0.000179,14.04176,[89 38] ; [406  74],[103.56672158  23.43327842] ; [391.43327842  88.56672158],1
v2,1,0.00023,13.567615,[48 70] ; [278 189],[65.75726496 52.24273504] ; [260.24273504 206.75726496],1
a7,1,0.000321,12.942034,[72 55] ; [352 129],[88.56578947 38.43421053] ; [335.43421053 145.56578947],1
n6,1,0.000321,12.941827,[100  27] ; [434  46],[111.72652389  15.27347611] ; [422.27347611  57.72652389],1
r2,1,0.000322,12.938063,[109  17] ; [454  22],[117.8372093   8.1627907] ; [445.1627907  30.8372093],1
s6,1,0.001571,9.993871,[67 58] ; [327 149],[81.94675541 43.05324459] ; [312.05324459 163.94675541],0
p4,1,0.00223,9.34947,[58 69] ; [291 188],[73.14026403 53.85973597] ; [275.85973597 203.14026403],0
p10,1,0.002508,9.134673,[90 34] ; [403  75],[101.54817276  22.45182724] ; [391.45182724  86.54817276],0
s5,1,0.00389,8.334289,[ 24 101] ; [152 316],[37.0994941 87.9005059] ; [138.9005059 329.0994941],0
s8,1,0.00447,8.082088,[41 86] ; [222 257],[55.11716172 71.88283828] ; [207.88283828 271.11716172],0
p9,1,0.005099,7.843895,[95 30] ; [409  65],[105.17529215  19.82470785] ; [398.82470785  75.17529215],0
a6,1,0.005648,7.659358,[74 53] ; [342 139],[86.89473684 40.10526316] ; [329.10526316 151.89473684],0
p11,1,0.006743,7.340075,[89 38] ; [391  91],[100.09852217  26.90147783] ; [379.90147783 102.09852217],0
s7,1,0.008423,6.941151,[44 74] ; [235 227],[56.76206897 61.23793103] ; [222.23793103 239.76206897],0
v1,1,0.011306,6.41651,[55 69] ; [270 203],[67.5041876 56.4958124] ; [257.4958124 215.5041876],0
p8,1,0.012641,6.218681,[50 75] ; [248 224],[62.39530988 62.60469012] ; [235.60469012 236.39530988],0
u2,1,0.017794,5.616326,[25 39] ; [64 47],[32.54857143 31.45142857] ; [56.45142857 54.54857143],0
p6,1,0.018644,5.534613,[32 93] ; [175 300],[43.125 81.875] ; [163.875 311.125],0
b2,1,0.027591,4.853441,[20 55] ; [119 175],[28.25203252 46.74796748] ; [110.74796748 183.25203252],0
b3,1,0.027591,4.853441,[20 55] ; [119 175],[28.25203252 46.74796748] ; [110.74796748 183.25203252],0
s3,1,0.031364,4.632931,[58 66] ; [274 202],[68.61333333 55.38666667] ; [263.38666667 212.61333333],0
v3,1,0.035549,4.418621,[39 86] ; [194 273],[49.19763514 75.80236486] ; [183.80236486 283.19763514],0
u3,1,0.040627,4.191507,[26 38] ; [64 49],[32.54237288 31.45762712] ; [57.45762712 55.54237288],0
p7,1,0.047295,3.934856,[67 58] ; [297 172],[76.5993266 48.4006734] ; [287.4006734 181.5993266],0
b4,1,0.071771,3.242035,[63 64] ; [282 200],[71.94581281 55.05418719] ; [273.05418719 208.94581281],0
p3,1,0.086705,2.934509,[50 76] ; [232 249],[58.53706755 67.46293245] ; [223.46293245 257.53706755],0
a8,1,0.089729,2.879226,[ 12 104] ; [ 73 363],[17.86231884 98.13768116] ; [ 67.13768116 368.86231884],0
n4,1,0.124744,2.356725,[104  22] ; [423  59],[109.21381579  16.78618421] ; [417.78618421  64.21381579],0
p1,1,0.142905,2.146393,[ 11 116] ; [ 25 455],[  7.53212521 119.46787479] ; [ 28.46787479 451.53212521],0
s4,1,0.217896,1.518177,[ 26 100] ; [ 76 399],[ 21.3843594 104.6156406] ; [ 80.6156406 394.3843594],0
s1,1,0.218488,1.514274,[  5 118] ; [ 10 463],[  3.09563758 119.90436242] ; [ 11.90436242 461.09563758],0
b5,1,0.224498,1.475385,[71 56] ; [298 184],[76.95073892 50.04926108] ; [292.04926108 189.95073892],0
u4,1,0.237704,1.394159,[  1 126] ; [ 12 470],[  2.71100164 124.28899836] ; [ 10.28899836 471.71100164],0
p12,1,0.461641,0.541912,[  6 121] ; [ 31 447],[  7.76694215 119.23305785] ; [ 29.23305785 448.76694215],0
n1,1,0.7044,0.143935,[17 21] ; [42 60],[16.01428571 21.98571429] ; [42.98571429 59.01428571],0
b1,1,0.754584,0.097719,[52 75] ; [190 292],[50.46633826 76.53366174] ; [191.53366174 290.46633826],0
a1,1,0.835067,0.04335,[  5 122] ; [ 21 461],[  5.42200328 121.57799672] ; [ 20.57799672 461.42200328],0
n3,1,0.894624,0.017544,[27 11] ; [72 31],[26.68085106 11.31914894] ; [72.31914894 30.68085106],0
n2,1,1.0,0.0,[30  9] ; [80 24],[30.  9.] ; [80. 24.],0
