Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,6e-06,20.378525,[5 5] ; [57  2],[8.98550725 1.01449275] ; [53.01449275  5.98550725],1
p7,1,0.001883,9.660159,[5 5] ; [51  6],[8.35820896 1.64179104] ; [47.64179104  9.35820896],0
a3,1,0.002903,8.867337,[5 5] ; [53  7],[8.28571429 1.71428571] ; [49.71428571 10.28571429],0
v2,1,0.013344,6.12288,[2 8] ; [36 22],[5.58823529 4.41176471] ; [32.41176471 25.58823529],0
b3,1,0.025123,5.015391,[1 7] ; [26 21],[3.92727273 4.07272727] ; [23.07272727 23.92727273],0
b2,1,0.025123,5.015391,[1 7] ; [26 21],[3.92727273 4.07272727] ; [23.07272727 23.92727273],0
a5,1,0.027255,4.874614,[5 5] ; [49 11],[7.71428571 2.28571429] ; [46.28571429 13.71428571],0
p9,1,0.035537,4.419192,[8 2] ; [58  2],[9.42857143 0.57142857] ; [56.57142857  3.42857143],0
a6,1,0.040471,4.198047,[3 7] ; [38 21],[5.94202899 4.05797101] ; [35.05797101 23.94202899],0
s5,1,0.041997,4.135338,[3 6] ; [39 18],[5.72727273 3.27272727] ; [36.27272727 20.72727273],0
v3,1,0.044927,4.021379,[3 7] ; [37 21],[5.88235294 4.11764706] ; [34.11764706 23.88235294],0
r3,1,0.088158,2.907692,[8 2] ; [57  3],[9.28571429 0.71428571] ; [55.71428571  4.28571429],0
b4,1,0.094925,2.788806,[8 2] ; [31 29],[5.57142857 4.42857143] ; [33.42857143 26.57142857],0
u3,1,0.09769,2.742857,[2 3] ; [6 1],[3.33333333 1.66666667] ; [4.66666667 2.33333333],0
n2,1,0.129714,2.295918,[2 2] ; [12  2],[3.11111111 0.88888889] ; [10.88888889  3.11111111],0
p1,1,0.136037,2.222222,[5 5] ; [16 44],[3. 7.] ; [18. 42.],0
n3,1,0.163165,1.944643,[1 3] ; [9 5],[2.22222222 1.77777778] ; [7.77777778 6.22222222],0
p8,1,0.179998,1.797637,[7 3] ; [52  8],[8.42857143 1.57142857] ; [50.57142857  9.42857143],0
p6,1,0.196492,1.668257,[5 5] ; [41 17],[6.76470588 3.23529412] ; [39.23529412 18.76470588],0
d3,1,0.210259,1.569641,[9 1] ; [42 17],[7.39130435 2.60869565] ; [43.60869565 15.39130435],0
u1,1,0.315467,1.007647,[3 7] ; [10 50],[1.85714286 8.14285714] ; [11.14285714 48.85714286],0
d5,1,0.329094,0.952461,[7 3] ; [49 10],[8.11594203 1.88405797] ; [47.88405797 11.11594203],0
p3,1,0.329094,0.952461,[7 3] ; [49 10],[8.11594203 1.88405797] ; [47.88405797 11.11594203],0
s3,1,0.330411,0.947288,[9 1] ; [45 14],[7.82608696 2.17391304] ; [46.17391304 12.82608696],0
s1,1,0.357467,0.846774,[2 8] ; [ 6 54],[1.14285714 8.85714286] ; [ 6.85714286 53.14285714],0
p12,1,0.438024,0.601453,[2 8] ; [19 40],[3.04347826 6.95652174] ; [17.95652174 41.04347826],0
v1,1,0.499212,0.456612,[6 4] ; [41 17],[6.91176471 3.08823529] ; [40.08823529 17.91176471],0
a2,1,0.517406,0.419061,[1 9] ; [11 49],[1.71428571 8.28571429] ; [10.28571429 49.71428571],0
n6,1,0.538522,0.378286,[9 1] ; [56  3],[9.42028986 0.57971014] ; [55.57971014  3.42028986],0
a8,1,0.556535,0.345739,[2 7] ; [ 8 47],[1.40625 7.59375] ; [ 8.59375 46.40625],0
d4,1,0.592648,0.286228,[8 2] ; [51  8],[8.55072464 1.44927536] ; [50.44927536  8.55072464],0
a1,1,0.675706,0.175,[1 9] ; [ 9 51],[1.42857143 8.57142857] ; [ 8.57142857 51.42857143],0
d1,1,0.680929,0.169082,[6 4] ; [40 20],[6.57142857 3.42857143] ; [39.42857143 20.57142857],0
p4,1,0.757288,0.095508,[9 1] ; [51  8],[8.69565217 1.30434783] ; [51.30434783  7.69565217],0
a4,1,0.768222,0.086849,[4 6] ; [27 33],[4.42857143 5.57142857] ; [26.57142857 33.42857143],0
s4,1,0.770629,0.085003,[1 9] ; [ 8 52],[1.28571429 8.71428571] ; [ 7.71428571 52.28571429],0
r1,1,0.770629,0.085003,[9 1] ; [52  8],[8.71428571 1.28571429] ; [52.28571429  7.71428571],0
b1,1,0.839939,0.040793,[4 6] ; [22 38],[3.71428571 6.28571429] ; [22.28571429 37.71428571],0
r4,1,0.861626,0.030382,[9 1] ; [55  5],[9.14285714 0.85714286] ; [54.85714286  5.14285714],0
d2,1,0.88169,0.022149,[5 5] ; [31 28],[5.2173913 4.7826087] ; [30.7826087 28.2173913],0
a7,1,0.913986,0.011667,[7 3] ; [43 17],[7.14285714 2.85714286] ; [42.85714286 17.14285714],0
s6,1,0.918001,0.010599,[8 1] ; [54  6],[8.08695652 0.91304348] ; [53.91304348  6.08695652],0
b5,1,0.920151,0.010049,[4 6] ; [23 37],[3.85714286 6.14285714] ; [23.14285714 36.85714286],0
u2,1,0.921159,0.009796,[3 2] ; [4 3],[2.91666667 2.08333333] ; [4.08333333 2.91666667],0
s8,1,0.980336,0.000608,[8 2] ; [47 12],[7.97101449 2.02898551] ; [47.02898551 11.97101449],0
p2,1,1.0,0.0,[9 1] ; [54  6],[9. 1.] ; [54.  6.],0
s2,1,1.0,0.0,[7 3] ; [42 18],[7. 3.] ; [42. 18.],0
