Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,31.420785,[72 22] ; [ 4 21],[60.03361345 33.96638655] ; [15.96638655  9.03361345],1
r3,1,1e-06,25.11733,[82 12] ; [10 15],[72.67226891 21.32773109] ; [19.32773109  5.67226891],1
p9,1,5e-06,20.771972,[71 20] ; [ 7 17],[61.72173913 29.27826087] ; [16.27826087  7.72173913],1
r2,1,9e-06,19.714161,[86  8] ; [13 11],[78.86440678 15.13559322] ; [20.13559322  3.86440678],1
p2,1,0.000205,13.78487,[58 36] ; [ 5 20],[49.76470588 44.23529412] ; [13.23529412 11.76470588],1
n2,1,0.000301,13.063903,[31  7] ; [ 4 10],[25.57692308 12.42307692] ; [9.42307692 4.57692308],1
s8,1,0.000992,10.842604,[36 58] ; [ 1 24],[29.22689076 64.77310924] ; [ 7.77310924 17.22689076],1
s6,1,0.001494,10.086485,[55 37] ; [ 6 19],[47.96581197 44.03418803] ; [13.03418803 11.96581197],0
p10,1,0.003521,8.515524,[58 35] ; [ 7 17],[51.66666667 41.33333333] ; [13.33333333 10.66666667],0
a5,1,0.006654,7.364187,[62 32] ; [ 9 16],[56.08403361 37.91596639] ; [14.91596639 10.08403361],0
a6,1,0.007193,7.224024,[47 47] ; [ 5 20],[41.07563025 52.92436975] ; [10.92436975 14.07563025],0
p11,1,0.007289,7.200229,[65 29] ; [10 15],[59.24369748 34.75630252] ; [15.75630252  9.24369748],0
r1,1,0.009083,6.806511,[61 33] ; [ 9 16],[55.29411765 38.70588235] ; [14.70588235 10.29411765],0
n6,1,0.010238,6.593063,[72 22] ; [12 12],[66.91525424 27.08474576] ; [17.08474576  6.91525424],0
v1,1,0.010725,6.51037,[40 51] ; [ 4 21],[34.51724138 56.48275862] ; [ 9.48275862 15.51724138],0
p4,1,0.016161,5.78522,[35 59] ; [ 3 22],[30.01680672 63.98319328] ; [ 7.98319328 17.01680672],0
u3,1,0.018268,5.570292,[13 16] ; [ 1 12],[ 9.66666667 19.33333333] ; [4.33333333 8.66666667],0
b5,1,0.023596,5.124068,[54 40] ; [ 8 17],[48.97478992 45.02521008] ; [13.02521008 11.97478992],0
u2,1,0.026548,4.919944,[15 14] ; [ 2 11],[11.73809524 17.26190476] ; [5.26190476 7.73809524],0
p8,1,0.02898,4.768807,[22 72] ; [ 1 24],[18.16806723 75.83193277] ; [ 4.83193277 20.16806723],0
p1,1,0.036689,4.364783,[ 6 88] ; [ 5 20],[ 8.68907563 85.31092437] ; [ 2.31092437 22.68907563],0
a3,1,0.049224,3.867692,[65 29] ; [12 13],[60.82352941 33.17647059] ; [16.17647059  8.82352941],0
d5,1,0.090178,2.871191,[59 35] ; [11 14],[55.29411765 38.70588235] ; [14.70588235 10.29411765],0
p3,1,0.097738,2.742064,[31 63] ; [ 4 21],[27.64705882 66.35294118] ; [ 7.35294118 17.64705882],0
n3,1,0.1123,2.521546,[23 13] ; [5 8],[20.57142857 15.42857143] ; [7.42857143 5.57142857],0
a1,1,0.143552,2.139468,[ 4 90] ; [ 3 22],[ 5.52941176 88.47058824] ; [ 1.47058824 23.52941176],0
s2,1,0.161972,1.955717,[36 56] ; [ 6 19],[33.02564103 58.97435897] ; [ 8.97435897 16.02564103],0
s7,1,0.18297,1.773336,[35 53] ; [ 6 18],[32.21428571 55.78571429] ; [ 8.78571429 15.21428571],0
s3,1,0.185243,1.755051,[41 52] ; [ 7 17],[38.15384615 54.84615385] ; [ 9.84615385 14.15384615],0
s5,1,0.220149,1.5034,[21 66] ; [ 3 21],[18.81081081 68.18918919] ; [ 5.18918919 18.81081081],0
a4,1,0.235313,1.408454,[44 50] ; [ 8 16],[41.42372881 52.57627119] ; [10.57627119 13.42372881],0
s1,1,0.242193,1.367785,[ 5 88] ; [ 3 22],[ 6.30508475 86.69491525] ; [ 1.69491525 23.30508475],0
v3,1,0.258712,1.275639,[23 62] ; [ 4 21],[20.86363636 64.13636364] ; [ 6.13636364 18.86363636],0
