Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,0.007526,7.142857,[4 5] ; [ 1 20],[1.5 7.5] ; [ 3.5 17.5],0
v1,1,0.025347,5.0,[7 2] ; [ 7 14],[4.2 4.8] ; [ 9.8 11.2],0
s2,1,0.025599,4.982912,[6 3] ; [ 5 16],[3.3 5.7] ; [ 7.7 13.3],0
a5,1,0.034477,4.470899,[8 1] ; [10 11],[5.4 3.6] ; [12.6  8.4],0
p7,1,0.046366,3.968254,[7 2] ; [ 8 13],[4.5 4.5] ; [10.5 10.5],0
s5,1,0.053337,3.733333,[4 4] ; [ 3 17],[2. 6.] ; [ 5. 15.],0
p3,1,0.091335,2.850679,[6 3] ; [ 7 14],[3.9 5.1] ; [ 9.1 11.9],0
v3,1,0.108809,2.571429,[3 6] ; [ 2 19],[1.5 7.5] ; [ 3.5 17.5],0
a2,1,0.144061,2.134039,[2 7] ; [ 1 20],[0.9 8.1] ; [ 2.1 18.9],0
s6,1,0.150449,2.067692,[6 2] ; [ 9 11],[4.28571429 3.71428571] ; [10.71428571  9.28571429],0
d2,1,0.254891,1.296296,[5 4] ; [ 7 14],[3.6 5.4] ; [ 8.4 12.6],0
s8,1,0.258383,1.2774,[4 5] ; [ 5 16],[2.7 6.3] ; [ 6.3 14.7],0
n6,1,0.261901,1.258681,[7 1] ; [14  7],[5.79310345 2.20689655] ; [15.20689655  5.79310345],0
p5,1,0.348443,0.879121,[2 7] ; [ 2 19],[1.2 7.8] ; [ 2.8 18.2],0
b2,1,0.349575,0.875,[4 5] ; [3 9],[3. 6.] ; [4. 8.],0
b3,1,0.349575,0.875,[4 5] ; [3 9],[3. 6.] ; [4. 8.],0
p8,1,0.408384,0.683502,[4 4] ; [ 7 14],[3.03448276 4.96551724] ; [ 7.96551724 13.03448276],0
n3,1,0.427355,0.63,[1 1] ; [4 1],[1.42857143 0.57142857] ; [3.57142857 1.42857143],0
b1,1,0.469313,0.523594,[6 3] ; [11 10],[5.1 3.9] ; [11.9  9.1],0
r2,1,0.469313,0.523594,[6 3] ; [11 10],[5.1 3.9] ; [11.9  9.1],0
s3,1,0.522903,0.408163,[5 4] ; [ 9 12],[4.2 4.8] ; [ 9.8 11.2],0
d5,1,0.542802,0.37037,[7 2] ; [14  7],[6.3 2.7] ; [14.7  6.3],0
d4,1,0.542802,0.37037,[7 2] ; [14  7],[6.3 2.7] ; [14.7  6.3],0
a4,1,0.542802,0.37037,[2 7] ; [ 7 14],[2.7 6.3] ; [ 6.3 14.7],0
p12,1,0.547947,0.361008,[1 8] ; [ 1 19],[0.62068966 8.37931034] ; [ 1.37931034 18.62068966],0
r3,1,0.557699,0.343704,[8 1] ; [16  4],[7.44827586 1.55172414] ; [16.55172414  3.44827586],0
p6,1,0.562771,0.334928,[4 5] ; [ 7 14],[3.3 5.7] ; [ 7.7 13.3],0
b4,1,0.625585,0.238095,[6 3] ; [12  9],[5.4 3.6] ; [12.6  8.4],0
a8,1,0.633833,0.226898,[2 7] ; [ 3 17],[1.55172414 7.44827586] ; [ 3.44827586 16.55172414],0
p4,1,0.690328,0.15873,[5 4] ; [10 11],[4.5 4.5] ; [10.5 10.5],0
r4,1,0.690328,0.15873,[4 5] ; [11 10],[4.5 4.5] ; [10.5 10.5],0
v2,1,0.690328,0.15873,[5 4] ; [10 11],[4.5 4.5] ; [10.5 10.5],0
a6,1,0.690328,0.15873,[4 5] ; [11 10],[4.5 4.5] ; [10.5 10.5],0
b5,1,0.744954,0.10582,[5 4] ; [13  8],[5.4 3.6] ; [12.6  8.4],0
r1,1,0.873102,0.02551,[5 4] ; [11 10],[4.8 4.2] ; [11.2  9.8],0
a7,1,0.873102,0.02551,[5 4] ; [11 10],[4.8 4.2] ; [11.2  9.8],0
d3,1,0.873102,0.02551,[5 4] ; [11 10],[4.8 4.2] ; [11.2  9.8],0
n5,1,1.0,0.0,[6 3] ; [14  7],[6. 3.] ; [14.  7.],0
n4,1,1.0,0.0,[6 3] ; [14  7],[6. 3.] ; [14.  7.],0
p11,1,1.0,0.0,[6 3] ; [14  7],[6. 3.] ; [14.  7.],0
d1,1,1.0,0.0,[3 6] ; [ 7 14],[3. 6.] ; [ 7. 14.],0
