Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,5e-06,21.001212,[18 45] ; [66 35],[32.26829268 30.73170732] ; [51.73170732 49.26829268],1
a3,1,1e-05,19.433661,[26 36] ; [77 24],[39.17791411 22.82208589] ; [63.82208589 37.17791411],1
a6,1,4.4e-05,16.693888,[26 37] ; [74 27],[38.41463415 24.58536585] ; [61.58536585 39.41463415],1
d2,1,5.2e-05,16.356516,[13 50] ; [53 48],[25.35365854 37.64634146] ; [40.64634146 60.35365854],1
d5,1,0.000109,14.968647,[36 26] ; [86 15],[46.40490798 15.59509202] ; [75.59509202 25.40490798],1
r1,1,0.000358,12.740917,[34 29] ; [81 20],[44.17682927 18.82317073] ; [70.82317073 30.17682927],1
a4,1,0.00036,12.72683,[12 51] ; [47 54],[22.66463415 40.33536585] ; [36.33536585 64.66463415],1
s6,1,0.000643,11.648325,[25 37] ; [67 32],[35.42857143 26.57142857] ; [56.57142857 42.42857143],1
p6,1,0.008901,6.842614,[10 50] ; [36 64],[17.25 42.75] ; [28.75 71.25],0
p10,1,0.01142,6.39883,[33 26] ; [76 25],[40.19375 18.80625] ; [68.80625 32.19375],0
s8,1,0.014302,6.0005,[13 50] ; [39 61],[20.09815951 42.90184049] ; [31.90184049 68.09815951],0
p9,1,0.015321,5.879212,[39 21] ; [82 18],[45.375 14.625] ; [75.625 24.375],0
v1,1,0.015379,5.872492,[14 45] ; [42 56],[21.04458599 37.95541401] ; [34.95541401 63.04458599],0
r4,1,0.015943,5.809164,[48 15] ; [91 10],[53.39634146  9.60365854] ; [85.60365854 15.39634146],0
s2,1,0.017524,5.643077,[19 44] ; [49 51],[26.28220859 36.71779141] ; [41.71779141 58.28220859],0
d4,1,0.020773,5.345763,[45 18] ; [87 14],[50.70731707 12.29268293] ; [81.29268293 19.70731707],0
s7,1,0.025584,4.983927,[15 47] ; [41 58],[21.56521739 40.43478261] ; [34.43478261 64.56521739],0
p3,1,0.025786,4.970281,[16 47] ; [43 58],[22.66463415 40.33536585] ; [36.33536585 64.66463415],0
p8,1,0.032929,4.549484,[19 44] ; [47 53],[25.50920245 37.49079755] ; [40.49079755 59.50920245],0
p4,1,0.036642,4.366963,[21 42] ; [50 50],[27.44171779 35.55828221] ; [43.55828221 56.44171779],0
v2,1,0.066616,3.364498,[27 34] ; [58 40],[32.61006289 28.38993711] ; [52.38993711 45.61006289],0
p7,1,0.103188,2.655563,[31 31] ; [63 37],[35.97530864 26.02469136] ; [58.02469136 41.97530864],0
p1,1,0.124008,2.36595,[ 1 61] ; [ 7 93],[ 3.0617284 58.9382716] ; [ 4.9382716 95.0617284],0
p2,1,0.139297,2.185709,[44 18] ; [81 19],[47.83950617 14.16049383] ; [77.16049383 22.83950617],0
s4,1,0.140922,2.16786,[ 9 54] ; [24 77],[12.67682927 50.32317073] ; [20.32317073 80.67682927],0
n4,1,0.142818,2.147327,[22 41] ; [47 54],[26.50609756 36.49390244] ; [42.49390244 58.50609756],0
r3,1,0.147186,2.10118,[59  4] ; [99  2],[60.69512195  2.30487805] ; [97.30487805  3.69512195],0
r2,1,0.147665,2.096211,[55  7] ; [93  5],[57.35  4.65] ; [90.65  7.35],0
s5,1,0.155374,2.018677,[14 46] ; [33 64],[17.96178344 42.03821656] ; [29.03821656 67.96178344],0
p12,1,0.179777,1.799467,[ 1 62] ; [ 6 95],[ 2.68902439 60.31097561] ; [ 4.31097561 96.68902439],0
v3,1,0.241943,1.369236,[13 47] ; [29 67],[16.15384615 43.84615385] ; [25.84615385 70.15384615],0
d3,1,0.266059,1.236956,[41 21] ; [75 26],[44.12269939 17.87730061] ; [71.87730061 29.12269939],0
p5,1,0.314699,1.010851,[ 2 60] ; [ 7 94],[ 3.42331288 58.57668712] ; [ 5.57668712 95.42331288],0
a7,1,0.331304,0.943794,[45 17] ; [80 21],[47.54601227 14.45398773] ; [77.45398773 23.54601227],0
u3,1,0.398813,0.711902,[17 19] ; [14 10],[18.6 17.4] ; [12.4 11.6],0
n3,1,0.411039,0.675793,[15  6] ; [22  5],[16.1875  4.8125] ; [20.8125  6.1875],0
s3,1,0.456111,0.555421,[26 36] ; [47 51],[28.2875 33.7125] ; [44.7125 53.2875],0
b3,1,0.512501,0.428957,[ 8 24] ; [18 39],[ 9.34831461 22.65168539] ; [16.65168539 40.34831461],0
b2,1,0.512501,0.428957,[ 8 24] ; [18 39],[ 9.34831461 22.65168539] ; [16.65168539 40.34831461],0
b1,1,0.522522,0.408912,[17 46] ; [32 69],[18.82317073 44.17682927] ; [30.17682927 70.82317073],0
u2,1,0.598161,0.277778,[19 17] ; [11 13],[18. 18.] ; [12. 12.],0
v4,1,0.695024,0.1537,[58  4] ; [95  5],[58.55555556  3.44444444] ; [94.44444444  5.55555556],0
p11,1,0.708005,0.140278,[46 17] ; [71 30],[44.94512195 18.05487805] ; [72.05487805 28.94512195],0
b4,1,0.792048,0.069512,[38 25] ; [63 38],[38.79878049 24.20121951] ; [62.20121951 38.79878049],0
a1,1,0.794317,0.067969,[ 2 61] ; [ 4 97],[ 2.30487805 60.69512195] ; [ 3.69512195 97.30487805],0
s1,1,0.794317,0.067969,[ 2 61] ; [ 4 97],[ 2.30487805 60.69512195] ; [ 3.69512195 97.30487805],0
n1,1,0.8433,0.039075,[ 5 16] ; [ 6 22],[ 4.71428571 16.28571429] ; [ 6.28571429 21.71428571],0
a8,1,0.938187,0.006014,[ 6 53] ; [ 9 83],[ 5.86092715 53.13907285] ; [ 9.13907285 82.86092715],0
n2,1,0.959315,0.002602,[13  7] ; [18 10],[12.91666667  7.08333333] ; [18.08333333  9.91666667],0
b5,1,0.992016,0.0001,[38 25] ; [61 40],[38.0304878 24.9695122] ; [60.9695122 40.0304878],0
