Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,50.932387,[85 33] ; [ 48 117],[55.45583039 62.54416961] ; [77.54416961 87.45583039],1
s6,1,0.0,41.199674,[108  14] ; [90 80],[82.7260274 39.2739726] ; [115.2739726  54.7260274],1
s2,1,1e-06,24.936639,[81 42] ; [ 63 110],[59.83783784 63.16216216] ; [84.16216216 88.83783784],1
s3,1,3e-06,21.789439,[91 32] ; [81 92],[71.47297297 51.52702703] ; [100.52702703  72.47297297],1
p9,1,1.2e-05,19.199419,[110  14] ; [116  58],[94.04026846 29.95973154] ; [131.95973154  42.04026846],1
p10,1,0.000287,13.156624,[105  19] ; [114  59],[91.43434343 32.56565657] ; [127.56565657  45.43434343],1
p12,1,0.000882,11.060557,[ 13 110] ; [  3 171],[  6.62626263 116.37373737] ; [  9.37373737 164.62626263],1
s5,1,0.001153,10.564683,[53 67] ; [ 44 126],[40.13793103 79.86206897] ; [ 56.86206897 113.13793103],0
d1,1,0.001378,10.2347,[84 40] ; [86 89],[70.50167224 53.49832776] ; [99.49832776 75.50167224],0
p4,1,0.001405,10.199363,[84 40] ; [85 88],[70.55892256 53.44107744] ; [98.44107744 74.55892256],0
p8,1,0.002558,9.098857,[74 50] ; [ 73 101],[61.16778523 62.83221477] ; [85.83221477 88.16778523],0
n5,1,0.002756,8.962121,[102  22] ; [116  58],[90.7114094 33.2885906] ; [127.2885906  46.7114094],0
v1,1,0.004022,8.274058,[62 58] ; [ 61 114],[50.03389831 69.96610169] ; [ 72.96610169 102.03389831],0
p6,1,0.008321,6.963106,[55 69] ; [ 51 122],[44.25589226 79.74410774] ; [ 61.74410774 111.25589226],0
p5,1,0.009672,6.694274,[ 21 101] ; [ 13 161],[ 14.01351351 107.98648649] ; [ 19.98648649 154.01351351],0
d2,1,0.0114,6.401811,[69 55] ; [ 71 103],[58.25503356 65.74496644] ; [81.74496644 92.25503356],0
b2,1,0.019245,5.479074,[36 45] ; [29 75],[28.45945946 52.54054054] ; [36.54054054 67.45945946],0
b3,1,0.019245,5.479074,[36 45] ; [29 75],[28.45945946 52.54054054] ; [36.54054054 67.45945946],0
r4,1,0.021243,5.306724,[120   4] ; [157  18],[114.87625418   9.12374582] ; [162.12374582  12.87625418],0
p7,1,0.021367,5.296647,[81 41] ; [90 80],[71.44520548 50.55479452] ; [99.55479452 70.44520548],0
n6,1,0.025961,4.958616,[107  17] ; [132  42],[99.44966443 24.55033557] ; [139.55033557  34.44966443],0
a3,1,0.029713,4.725826,[94 30] ; [110  62],[85.45945946 38.54054054] ; [118.54054054  53.45945946],0
d5,1,0.031534,4.623665,[104  19] ; [129  45],[96.49494949 26.50505051] ; [136.50505051  37.49494949],0
a5,1,0.033149,4.538083,[95 29] ; [114  61],[86.67558528 37.32441472] ; [122.32441472  52.67558528],0
u1,1,0.034179,4.485713,[27 97] ; [ 22 153],[ 20.32107023 103.67892977] ; [ 28.67892977 146.32107023],0
p3,1,0.038537,4.281182,[63 61] ; [ 67 106],[54.27609428 69.72390572] ; [75.72390572 97.27609428],0
r3,1,0.044151,4.050783,[119   5] ; [156  18],[114.4295302   9.5704698] ; [160.5704698  13.4295302],0
a2,1,0.053343,3.733132,[36 88] ; [ 34 141],[29.03010033 94.96989967] ; [ 40.96989967 134.03010033],0
n4,1,0.056092,3.649327,[103  21] ; [129  46],[96.21404682 27.78595318] ; [135.78595318  39.21404682],0
v4,1,0.119341,2.425945,[120   4] ; [161  13],[116.9261745   7.0738255] ; [164.0738255   9.9261745],0
p11,1,0.124994,2.353598,[97 27] ; [123  52],[91.23745819 32.76254181] ; [128.76254181  46.23745819],0
a4,1,0.13205,2.268241,[64 60] ; [74 99],[57.61616162 66.38383838] ; [80.38383838 92.61616162],0
d3,1,0.148389,2.088738,[91 33] ; [114  60],[85.30201342 38.69798658] ; [119.69798658  54.30201342],0
s4,1,0.166975,1.909895,[29 94] ; [ 29 141],[24.34812287 98.65187713] ; [ 33.65187713 136.34812287],0
s1,1,0.205653,1.601768,[  6 117] ; [ 15 157],[  8.7559322 114.2440678] ; [ 12.2440678 159.7559322],0
