Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,3.1e-05,17.326203,[7 4] ; [ 2 32],[2.2 8.8] ; [ 6.8 27.2],1
p4,1,0.000224,13.619685,[8 3] ; [ 5 29],[3.17777778 7.82222222] ; [ 9.82222222 24.17777778],1
p3,1,0.000243,13.464554,[6 5] ; [ 2 32],[1.95555556 9.04444444] ; [ 6.04444444 27.95555556],1
p10,1,0.003792,8.380952,[8 3] ; [ 8 25],[4. 7.] ; [12. 21.],0
p2,1,0.011889,6.327311,[7 3] ; [ 9 25],[3.63636364 6.36363636] ; [12.36363636 21.63636364],0
p5,1,0.013707,6.07547,[3 8] ; [ 1 33],[ 0.97777778 10.02222222] ; [ 3.02222222 30.97777778],0
p11,1,0.029873,4.716578,[8 3] ; [12 22],[4.88888889 6.11111111] ; [15.11111111 18.88888889],0
s8,1,0.049738,3.850267,[3 8] ; [ 2 32],[1.22222222 9.77777778] ; [ 3.77777778 30.22222222],0
p6,1,0.064989,3.405253,[2 8] ; [ 1 32],[0.69767442 9.30232558] ; [ 2.30232558 30.69767442],0
u2,1,0.079746,3.070069,[2 2] ; [ 2 15],[0.76190476 3.23809524] ; [ 3.23809524 13.76190476],0
n6,1,0.089152,2.889611,[7 3] ; [13 20],[4.65116279 5.34883721] ; [15.34883721 17.65116279],0
n3,1,0.096731,2.758636,[4 1] ; [ 6 10],[2.38095238 2.61904762] ; [7.61904762 8.38095238],0
v1,1,0.098416,2.731034,[6 5] ; [ 9 24],[3.75 7.25] ; [11.25 21.75],0
s6,1,0.104999,2.627917,[5 6] ; [ 7 27],[2.93333333 8.06666667] ; [ 9.06666667 24.93333333],0
s4,1,0.11767,2.448067,[3 8] ; [ 3 31],[1.46666667 9.53333333] ; [ 4.53333333 29.46666667],0
p9,1,0.132118,2.267444,[7 4] ; [12 20],[4.86046512 6.13953488] ; [14.13953488 17.86046512],0
s1,1,0.212777,1.552433,[2 9] ; [ 2 32],[ 0.97777778 10.02222222] ; [ 3.02222222 30.97777778],0
b3,1,0.22211,1.490683,[1 6] ; [ 9 14],[2.33333333 4.66666667] ; [ 7.66666667 15.33333333],0
b2,1,0.22211,1.490683,[1 6] ; [ 9 14],[2.33333333 4.66666667] ; [ 7.66666667 15.33333333],0
a5,1,0.248138,1.333759,[8 3] ; [18 16],[6.35555556 4.64444444] ; [19.64444444 14.35555556],0
b5,1,0.260298,1.267174,[7 4] ; [15 19],[5.37777778 5.62222222] ; [16.62222222 17.37777778],0
d1,1,0.286592,1.135563,[2 9] ; [12 22],[3.42222222 7.57777778] ; [10.57777778 23.42222222],0
n4,1,0.326541,0.962567,[6 5] ; [24 10],[7.33333333 3.66666667] ; [22.66666667 11.33333333],0
d3,1,0.341097,0.906303,[6 5] ; [13 21],[4.64444444 6.35555556] ; [14.35555556 19.64444444],0
v3,1,0.38597,0.751599,[ 1 10] ; [ 7 27],[1.95555556 9.04444444] ; [ 6.04444444 27.95555556],0
n1,1,0.468717,0.525,[1 4] ; [ 6 10],[1.66666667 3.33333333] ; [ 5.33333333 10.66666667],0
r3,1,0.484423,0.488889,[7 4] ; [17 16],[6. 5.] ; [18. 15.],0
a3,1,0.484423,0.488889,[7 4] ; [17 16],[6. 5.] ; [18. 15.],0
u3,1,0.496116,0.463235,[1 3] ; [ 2 15],[0.57142857 3.42857143] ; [ 2.42857143 14.57142857],0
