Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1.1e-05,19.374132,[8 4] ; [ 3 37],[2.53846154 9.46153846] ; [ 8.46153846 31.53846154],1
s2,1,0.00077,11.311173,[9 4] ; [ 8 33],[4.09259259 8.90740741] ; [12.90740741 28.09259259],1
d5,1,0.002676,9.0161,[8 5] ; [ 8 35],[3.71428571 9.28571429] ; [12.28571429 30.71428571],0
s6,1,0.009119,6.799451,[10  3] ; [15 27],[5.90909091 7.09090909] ; [19.09090909 22.90909091],0
p4,1,0.021332,5.299463,[7 6] ; [ 9 34],[3.71428571 9.28571429] ; [12.28571429 30.71428571],0
r4,1,0.022605,5.198615,[12  1] ; [25 18],[8.58928571 4.41071429] ; [28.41071429 14.58928571],0
p10,1,0.025875,4.964353,[10  3] ; [17 24],[6.5 6.5] ; [20.5 20.5],0
s3,1,0.026197,4.942954,[8 5] ; [11 29],[4.66037736 8.33962264] ; [14.33962264 25.66037736],0
p6,1,0.03005,4.706451,[5 8] ; [ 5 37],[ 2.36363636 10.63636364] ; [ 7.63636364 34.36363636],0
v1,1,0.032961,4.547804,[8 4] ; [14 29],[4.8 7.2] ; [17.2 25.8],0
r3,1,0.038182,4.296885,[12  1] ; [26 16],[8.98181818 4.01818182] ; [29.01818182 12.98181818],0
p11,1,0.038458,4.284663,[10  3] ; [19 24],[6.73214286 6.26785714] ; [22.26785714 20.73214286],0
s5,1,0.044792,4.026468,[4 8] ; [ 4 37],[ 1.81132075 10.18867925] ; [ 6.18867925 34.81132075],0
n6,1,0.052858,3.74841,[11  2] ; [23 19],[8.03636364 4.96363636] ; [25.96363636 16.03636364],0
p9,1,0.064098,3.428042,[10  3] ; [19 21],[7.11320755 5.88679245] ; [21.88679245 18.11320755],0
p7,1,0.071772,3.242026,[7 6] ; [11 30],[4.33333333 8.66666667] ; [13.66666667 27.33333333],0
d2,1,0.071928,3.238466,[6 7] ; [ 9 34],[3.48214286 9.51785714] ; [11.51785714 31.48214286],0
a7,1,0.087179,2.925713,[ 3 10] ; [21 21],[5.67272727 7.32727273] ; [18.32727273 23.67272727],0
v4,1,0.092489,2.830516,[12  1] ; [29 13],[9.69090909 3.30909091] ; [31.30909091 10.69090909],0
u3,1,0.099966,2.706083,[5 1] ; [12 14],[3.1875 2.8125] ; [13.8125 12.1875],0
a8,1,0.115143,2.482176,[ 3 10] ; [ 3 38],[ 1.44444444 11.55555556] ; [ 4.55555556 36.44444444],0
a4,1,0.149931,2.072951,[5 8] ; [ 8 34],[3.07272727 9.92727273] ; [ 9.92727273 32.07272727],0
p3,1,0.157477,1.998289,[6 7] ; [11 32],[3.94642857 9.05357143] ; [13.05357143 29.94642857],0
s4,1,0.165383,1.924306,[4 9] ; [ 6 37],[ 2.32142857 10.67857143] ; [ 7.67857143 35.32142857],0
b1,1,0.196375,1.669134,[9 4] ; [21 22],[6.96428571 6.03571429] ; [23.03571429 19.96428571],0
r2,1,0.261811,1.259158,[12  1] ; [33  9],[10.63636364  2.36363636] ; [34.36363636  7.63636364],0
a5,1,0.272562,1.20381,[8 5] ; [19 24],[6.26785714 6.73214286] ; [20.73214286 22.26785714],0
r1,1,0.284395,1.145969,[9 4] ; [22 20],[7.32727273 5.67272727] ; [23.67272727 18.32727273],0
p1,1,0.301268,1.068575,[ 3 10] ; [ 5 38],[ 1.85714286 11.14285714] ; [ 6.14285714 36.85714286],0
v2,1,0.311716,1.023392,[5 7] ; [10 28],[3.6 8.4] ; [11.4 26.6],0
b5,1,0.34235,0.90161,[8 5] ; [20 23],[6.5 6.5] ; [21.5 21.5],0
n1,1,0.368688,0.808081,[3 1] ; [8 8],[2.2 1.8] ; [8.8 7.2],0
u2,1,0.371332,0.799201,[3 3] ; [ 8 18],[2.0625 3.9375] ; [ 8.9375 17.0625],0
a3,1,0.433681,0.612946,[7 6] ; [17 24],[5.77777778 7.22222222] ; [18.22222222 22.77777778],0
n5,1,0.520409,0.413082,[11  2] ; [32 10],[10.16363636  2.83636364] ; [32.83636364  9.16363636],0
b4,1,0.540553,0.374515,[7 6] ; [19 24],[6.03571429 6.96428571] ; [19.96428571 23.03571429],0
b2,1,0.554015,0.350173,[3 8] ; [ 9 15],[3.77142857 7.22857143] ; [ 8.22857143 15.77142857],0
b3,1,0.554015,0.350173,[3 8] ; [ 9 15],[3.77142857 7.22857143] ; [ 8.22857143 15.77142857],0
p8,1,0.584834,0.298485,[ 3 10] ; [13 29],[3.78181818 9.21818182] ; [12.21818182 29.78181818],0
s1,1,0.627268,0.235784,[ 3 10] ; [ 7 34],[ 2.40740741 10.59259259] ; [ 7.59259259 33.40740741],0
a2,1,0.669587,0.182086,[ 1 12] ; [ 2 41],[ 0.69642857 12.30357143] ; [ 2.30357143 40.69642857],0
v3,1,0.693359,0.155473,[5 8] ; [13 27],[4.41509434 8.58490566] ; [13.58490566 26.41509434],0
n4,1,0.74317,0.10736,[9 4] ; [27 15],[8.50909091 4.49090909] ; [27.49090909 14.50909091],0
d3,1,0.790522,0.070561,[ 2 11] ; [ 8 35],[ 2.32142857 10.67857143] ; [ 7.67857143 35.32142857],0
p5,1,0.840909,0.040293,[ 1 12] ; [ 4 38],[ 1.18181818 11.81818182] ; [ 3.81818182 38.18181818],0
p12,1,0.85842,0.031822,[ 1 12] ; [ 4 39],[ 1.16071429 11.83928571] ; [ 3.83928571 39.16071429],0
a6,1,0.865272,0.028787,[7 6] ; [22 21],[6.73214286 6.26785714] ; [22.26785714 20.73214286],0
