Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.028108,4.821429,[11  4] ; [ 5 10],[8. 7.] ; [8. 7.],0
b4,1,0.05818,3.588517,[7 8] ; [12  3],[9.5 5.5] ; [9.5 5.5],0
r1,1,0.121335,2.4,[12  3] ; [8 7],[10.  5.] ; [10.  5.],0
a7,1,0.136037,2.222222,[11  4] ; [7 8],[9. 6.] ; [9. 6.],0
s3,1,0.231998,1.428571,[ 3 12] ; [6 9],[ 4.5 10.5] ; [ 4.5 10.5],0
a6,1,0.231998,1.428571,[9 6] ; [12  3],[10.5  4.5] ; [10.5  4.5],0
v1,1,0.255704,1.291866,[11  4] ; [8 7],[9.5 5.5] ; [9.5 5.5],0
a3,1,0.255704,1.291866,[11  4] ; [8 7],[9.5 5.5] ; [9.5 5.5],0
s8,1,0.282745,1.153846,[ 3 12] ; [ 1 14],[ 2. 13.] ; [ 2. 13.],0
s5,1,0.344503,0.893601,[10  4] ; [7 6],[8.81481481 5.18518519] ; [8.18518519 4.81481481],0
p11,1,0.36131,0.833333,[11  4] ; [13  2],[12.  3.] ; [12.  3.],0
n5,1,0.36131,0.833333,[11  4] ; [13  2],[12.  3.] ; [12.  3.],0
p6,1,0.36249,0.829248,[ 5 10] ; [7 7],[6.20689655 8.79310345] ; [5.79310345 8.20689655],0
a5,1,0.408961,0.681818,[12  3] ; [10  5],[11.  4.] ; [11.  4.],0
p2,1,0.410806,0.676467,[11  4] ; [12  2],[11.89655172  3.10344828] ; [11.10344828  2.89655172],0
a4,1,0.456057,0.555556,[7 8] ; [ 5 10],[6. 9.] ; [6. 9.],0
u2,1,0.477267,0.505102,[2 2] ; [5 2],[2.54545455 1.45454545] ; [4.45454545 2.54545455],0
u3,1,0.477267,0.505102,[2 2] ; [5 2],[2.54545455 1.45454545] ; [4.45454545 2.54545455],0
p9,1,0.542802,0.37037,[13  2] ; [14  1],[13.5  1.5] ; [13.5  1.5],0
p12,1,0.624206,0.24,[ 3 12] ; [ 2 13],[ 2.5 12.5] ; [ 2.5 12.5],0
u1,1,0.624206,0.24,[ 3 12] ; [ 2 13],[ 2.5 12.5] ; [ 2.5 12.5],0
a2,1,0.624206,0.24,[ 2 13] ; [ 3 12],[ 2.5 12.5] ; [ 2.5 12.5],0
b3,1,0.63904,0.22,[6 6] ; [4 6],[5.45454545 6.54545455] ; [4.54545455 5.45454545],0
b2,1,0.63904,0.22,[6 6] ; [4 6],[5.45454545 6.54545455] ; [4.54545455 5.45454545],0
d5,1,0.665984,0.186335,[12  3] ; [11  4],[11.5  3.5] ; [11.5  3.5],0
n4,1,0.665984,0.186335,[12  3] ; [11  4],[11.5  3.5] ; [11.5  3.5],0
p1,1,0.665984,0.186335,[ 4 11] ; [ 3 12],[ 3.5 11.5] ; [ 3.5 11.5],0
p4,1,0.683949,0.165714,[12  2] ; [12  3],[11.5862069  2.4137931] ; [12.4137931  2.5862069],0
s2,1,0.690328,0.15873,[ 4 11] ; [ 5 10],[ 4.5 10.5] ; [ 4.5 10.5],0
p8,1,0.704786,0.143541,[9 6] ; [10  5],[9.5 5.5] ; [9.5 5.5],0
n2,1,0.709388,0.138889,[2 1] ; [1 1],[1.8 1.2] ; [1.2 0.8],0
n3,1,0.709388,0.138889,[2 1] ; [1 1],[1.8 1.2] ; [1.2 0.8],0
d1,1,0.712547,0.135747,[8 7] ; [9 6],[8.5 6.5] ; [8.5 6.5],0
d3,1,0.712547,0.135747,[8 7] ; [9 6],[8.5 6.5] ; [8.5 6.5],0
a8,1,0.80857,0.058696,[ 2 10] ; [ 2 13],[ 1.77777778 10.22222222] ; [ 2.22222222 12.77777778],0
s6,1,0.816334,0.053946,[8 6] ; [8 5],[8.2962963 5.7037037] ; [7.7037037 5.2962963],0
s4,1,0.877059,0.023932,[ 2 11] ; [ 2 13],[ 1.85714286 11.14285714] ; [ 2.14285714 12.85714286],0
n6,1,0.940754,0.005524,[13  2] ; [12  2],[12.93103448  2.06896552] ; [12.06896552  1.93103448],0
p10,1,0.959668,0.002557,[13  1] ; [14  1],[13.03448276  0.96551724] ; [13.96551724  1.03448276],0
d2,1,1.0,0.0,[9 6] ; [9 6],[9. 6.] ; [9. 6.],0
p3,1,1.0,0.0,[10  5] ; [10  5],[10.  5.] ; [10.  5.],0
a1,1,1.0,0.0,[ 1 14] ; [ 1 14],[ 1. 14.] ; [ 1. 14.],0
p7,1,1.0,0.0,[10  5] ; [10  5],[10.  5.] ; [10.  5.],0
r2,1,1.0,0.0,[12  3] ; [12  3],[12.  3.] ; [12.  3.],0
b5,1,1.0,0.0,[9 6] ; [9 6],[9. 6.] ; [9. 6.],0
d4,1,1.0,0.0,[12  3] ; [12  3],[12.  3.] ; [12.  3.],0
b1,1,1.0,0.0,[8 7] ; [8 7],[8. 7.] ; [8. 7.],0
