Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.014196,6.013636,[8 3] ; [ 4 12],[4.88888889 6.11111111] ; [7.11111111 8.88888889],0
b1,1,0.017636,5.631918,[4 7] ; [13  3],[6.92592593 4.07407407] ; [10.07407407  5.92592593],0
v3,1,0.052539,3.758523,[6 5] ; [ 3 13],[3.66666667 7.33333333] ; [ 5.33333333 10.66666667],0
r3,1,0.052634,3.755495,[10  1] ; [9 7],[7.74074074 3.25925926] ; [11.25925926  4.74074074],0
p11,1,0.092521,2.829947,[9 2] ; [8 8],[6.92592593 4.07407407] ; [10.07407407  5.92592593],0
p8,1,0.096104,2.769034,[7 4] ; [ 5 11],[4.88888889 6.11111111] ; [7.11111111 8.88888889],0
p9,1,0.12609,2.34,[8 2] ; [8 8],[6.15384615 3.84615385] ; [9.84615385 6.15384615],0
d2,1,0.1354,2.229478,[5 6] ; [ 3 13],[3.25925926 7.74074074] ; [ 4.74074074 11.25925926],0
u2,1,0.136844,2.213095,[5 1] ; [2 3],[3.81818182 2.18181818] ; [3.18181818 1.81818182],0
s7,1,0.146976,2.103355,[6 3] ; [5 9],[4.30434783 4.69565217] ; [6.69565217 7.30434783],0
a3,1,0.148856,2.083939,[5 6] ; [11  4],[6.76923077 4.23076923] ; [9.23076923 5.76923077],0
b4,1,0.16612,1.917614,[9 2] ; [9 7],[7.33333333 3.66666667] ; [10.66666667  5.33333333],0
n6,1,0.183902,1.765803,[8 3] ; [7 8],[6.34615385 4.65384615] ; [8.65384615 6.34615385],0
n4,1,0.237625,1.394628,[8 3] ; [8 8],[6.51851852 4.48148148] ; [9.48148148 6.51851852],0
v1,1,0.267938,1.227273,[5 6] ; [ 4 12],[3.66666667 7.33333333] ; [ 5.33333333 10.66666667],0
v2,1,0.279426,1.169881,[6 5] ; [ 5 10],[4.65384615 6.34615385] ; [6.34615385 8.65384615],0
p3,1,0.280077,1.166717,[2 9] ; [ 6 10],[3.25925926 7.74074074] ; [ 4.74074074 11.25925926],0
p6,1,0.304807,1.053044,[4 7] ; [ 3 13],[2.85185185 8.14814815] ; [ 4.14814815 11.85185185],0
d3,1,0.309558,1.032561,[7 4] ; [7 9],[5.7037037 5.2962963] ; [8.2962963 7.7037037],0
s5,1,0.331567,0.942769,[3 8] ; [ 2 14],[2.03703704 8.96296296] ; [ 2.96296296 13.03703704],0
u3,1,0.376462,0.782222,[4 2] ; [2 3],[3.27272727 2.72727273] ; [2.72727273 2.27272727],0
n3,1,0.376462,0.782222,[3 2] ; [2 4],[2.27272727 2.72727273] ; [2.72727273 3.27272727],0
a4,1,0.383666,0.758924,[3 8] ; [7 9],[4.07407407 6.92592593] ; [ 5.92592593 10.07407407],0
a6,1,0.383666,0.758924,[3 8] ; [7 9],[4.07407407 6.92592593] ; [ 5.92592593 10.07407407],0
b5,1,0.483522,0.490909,[7 4] ; [8 8],[6.11111111 4.88888889] ; [8.88888889 7.11111111],0
a7,1,0.483522,0.490909,[7 4] ; [8 8],[6.11111111 4.88888889] ; [8.88888889 7.11111111],0
a8,1,0.504036,0.446429,[1 9] ; [ 3 12],[1.6 8.4] ; [ 2.4 12.6],0
s2,1,0.507726,0.43875,[3 7] ; [ 3 13],[2.30769231 7.69230769] ; [ 3.69230769 12.30769231],0
d1,1,0.52518,0.403708,[4 7] ; [ 4 12],[3.25925926 7.74074074] ; [ 4.74074074 11.25925926],0
d5,1,0.579639,0.306818,[8 3] ; [10  6],[7.33333333 3.66666667] ; [10.66666667  5.33333333],0
n5,1,0.679365,0.170842,[6 5] ; [10  6],[6.51851852 4.48148148] ; [9.48148148 6.51851852],0
r4,1,0.679365,0.170842,[5 6] ; [ 6 10],[4.48148148 6.51851852] ; [6.51851852 9.48148148],0
a5,1,0.701122,0.147308,[7 4] ; [9 7],[6.51851852 4.48148148] ; [9.48148148 6.51851852],0
p7,1,0.701122,0.147308,[7 4] ; [9 7],[6.51851852 4.48148148] ; [9.48148148 6.51851852],0
v4,1,0.701122,0.147308,[7 4] ; [9 7],[6.51851852 4.48148148] ; [9.48148148 6.51851852],0
b2,1,0.714393,0.133929,[2 5] ; [3 5],[2.33333333 4.66666667] ; [2.66666667 5.33333333],0
b3,1,0.714393,0.133929,[2 5] ; [3 5],[2.33333333 4.66666667] ; [2.66666667 5.33333333],0
