Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1e-06,24.211249,[37  1] ; [2 5],[32.93333333  5.06666667] ; [6.06666667 0.93333333],1
p11,1,0.003565,8.49325,[31  7] ; [2 5],[27.86666667 10.13333333] ; [5.13333333 1.86666667],0
a5,1,0.003565,8.49325,[31  7] ; [2 5],[27.86666667 10.13333333] ; [5.13333333 1.86666667],0
n6,1,0.012399,6.252892,[35  3] ; [4 3],[32.93333333  5.06666667] ; [6.06666667 0.93333333],0
s6,1,0.015865,5.817728,[33  3] ; [4 3],[30.97674419  5.02325581] ; [6.02325581 0.97674419],0
n5,1,0.019981,5.413534,[28 10] ; [2 5],[25.33333333 12.66666667] ; [4.66666667 2.33333333],0
p7,1,0.032218,4.586873,[30  7] ; [3 4],[27.75  9.25] ; [5.25 1.75],0
d2,1,0.08056,3.053571,[19 19] ; [6 1],[21.11111111 16.88888889] ; [3.88888889 3.11111111],0
s5,1,0.083082,3.003554,[23 13] ; [2 5],[20.93023256 15.06976744] ; [4.06976744 2.93023256],0
n2,1,0.0994,2.715152,[9 2] ; [1 2],[7.85714286 3.14285714] ; [2.14285714 0.85714286],0
p8,1,0.099905,2.70706,[23 14] ; [2 5],[21.02272727 15.97727273] ; [3.97727273 3.02272727],0
p6,1,0.118215,2.440814,[17 20] ; [1 6],[15.13636364 21.86363636] ; [2.86363636 4.13636364],0
s7,1,0.123142,2.376896,[28 10] ; [2 3],[26.51162791 11.48837209] ; [3.48837209 1.51162791],0
b1,1,0.145894,2.114662,[11 27] ; [4 3],[12.66666667 25.33333333] ; [2.33333333 4.66666667],0
r3,1,0.169156,1.890409,[37  1] ; [6 1],[36.31111111  1.68888889] ; [6.68888889 0.31111111],0
s1,1,0.169156,1.890409,[ 1 37] ; [1 6],[ 1.68888889 36.31111111] ; [0.31111111 6.68888889],0
a6,1,0.194143,1.685896,[26 12] ; [3 4],[24.48888889 13.51111111] ; [4.51111111 2.48888889],0
s2,1,0.237332,1.396369,[28 10] ; [3 3],[26.77272727 11.22727273] ; [4.22727273 1.77272727],0
s8,1,0.313699,1.015038,[24 14] ; [3 4],[22.8 15.2] ; [4.2 2.8],0
a4,1,0.357725,0.845865,[18 20] ; [2 5],[16.88888889 21.11111111] ; [3.11111111 3.88888889],0
n4,1,0.374916,0.787305,[28 10] ; [4 3],[27.02222222 10.97777778] ; [4.97777778 2.02222222],0
v2,1,0.374916,0.787305,[28 10] ; [4 3],[27.02222222 10.97777778] ; [4.97777778 2.02222222],0
r1,1,0.416317,0.660689,[32  6] ; [5 2],[31.24444444  6.75555556] ; [5.75555556 1.24444444],0
p2,1,0.416317,0.660689,[32  6] ; [5 2],[31.24444444  6.75555556] ; [5.75555556 1.24444444],0
a3,1,0.416317,0.660689,[32  6] ; [5 2],[31.24444444  6.75555556] ; [5.75555556 1.24444444],0
v1,1,0.461872,0.541353,[22 16] ; [3 4],[21.11111111 16.88888889] ; [3.88888889 3.11111111],0
d1,1,0.465082,0.533635,[27 11] ; [4 3],[26.17777778 11.82222222] ; [4.82222222 2.17777778],0
u1,1,0.496137,0.46319,[10 28] ; [1 6],[ 9.28888889 28.71111111] ; [1.71111111 5.28888889],0
a2,1,0.496137,0.46319,[10 28] ; [1 6],[ 9.28888889 28.71111111] ; [1.71111111 5.28888889],0
b4,1,0.5018,0.451128,[22 16] ; [5 2],[22.8 15.2] ; [4.2 2.8],0
n1,1,0.57077,0.321396,[2 9] ; [1 2],[2.35714286 8.64285714] ; [0.64285714 2.35714286],0
p3,1,0.584575,0.298896,[23 15] ; [5 2],[23.64444444 14.35555556] ; [4.35555556 2.64444444],0
s3,1,0.611974,0.25731,[28 10] ; [5 1],[28.5  9.5] ; [4.5 1.5],0
d3,1,0.660151,0.19334,[30  8] ; [5 2],[29.55555556  8.44444444] ; [5.44444444 1.55555556],0
a7,1,0.660537,0.192872,[25 13] ; [4 3],[24.48888889 13.51111111] ; [4.51111111 2.48888889],0
d5,1,0.792571,0.069155,[31  7] ; [6 1],[31.24444444  6.75555556] ; [5.75555556 1.24444444],0
b5,1,0.825986,0.048335,[20 18] ; [4 3],[20.26666667 17.73333333] ; [3.73333333 3.26666667],0
n3,1,0.836813,0.042424,[8 3] ; [2 1],[7.85714286 3.14285714] ; [2.14285714 0.85714286],0
p4,1,0.86665,0.028195,[23 15] ; [4 3],[22.8 15.2] ; [4.2 2.8],0
d4,1,0.935709,0.006507,[33  5] ; [6 1],[32.93333333  5.06666667] ; [6.06666667 0.93333333],0
