Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.015579,5.849787,[23 10] ; [ 9 15],[18.52631579 14.47368421] ; [13.47368421 10.52631579],0
u2,1,0.133348,2.253089,[7 5] ; [3 8],[5.2173913 6.7826087] ; [4.7826087 6.2173913],0
b1,1,0.171997,1.865455,[17 16] ; [ 8 16],[14.47368421 18.52631579] ; [10.52631579 13.47368421],0
a2,1,0.182126,1.780192,[ 5 28] ; [ 1 23],[ 3.47368421 29.52631579] ; [ 2.52631579 21.47368421],0
n4,1,0.207623,1.587923,[30  3] ; [19  5],[28.36842105  4.63157895] ; [20.63157895  3.36842105],0
p6,1,0.264616,1.244444,[14 18] ; [ 7 17],[12. 20.] ; [ 9. 15.],0
b4,1,0.303234,1.059917,[21 12] ; [12 12],[19.10526316 13.89473684] ; [13.89473684 10.10526316],0
a8,1,0.305039,1.052034,[ 4 27] ; [ 1 21],[ 2.9245283 28.0754717] ; [ 2.0754717 19.9245283],0
a6,1,0.338509,0.916071,[22 11] ; [13 11],[20.26315789 12.73684211] ; [14.73684211  9.26315789],0
v2,1,0.349926,0.873726,[24  9] ; [14  9],[22.39285714 10.60714286] ; [15.60714286  7.39285714],0
n6,1,0.352248,0.865343,[28  5] ; [18  6],[26.63157895  6.36842105] ; [19.36842105  4.63157895],0
s2,1,0.374545,0.78853,[14 17] ; [ 8 16],[12.4 18.6] ; [ 9.6 14.4],0
r4,1,0.396153,0.719974,[31  2] ; [21  3],[30.10526316  2.89473684] ; [21.89473684  2.10526316],0
d5,1,0.409269,0.680923,[16 17] ; [ 9 15],[14.47368421 18.52631579] ; [10.52631579 13.47368421],0
p12,1,0.416976,0.658824,[ 2 30] ; [ 3 21],[ 2.85714286 29.14285714] ; [ 2.14285714 21.85714286],0
d3,1,0.4244,0.638099,[13 20] ; [ 7 17],[11.57894737 21.42105263] ; [ 8.42105263 15.57894737],0
p11,1,0.450762,0.568736,[25  8] ; [16  8],[23.73684211  9.26315789] ; [17.26315789  6.73684211],0
a3,1,0.471831,0.517685,[21 12] ; [13 11],[19.68421053 13.31578947] ; [14.31578947  9.68421053],0
v4,1,0.472403,0.516349,[30  3] ; [23  1],[30.68421053  2.31578947] ; [22.31578947  1.68421053],0
p5,1,0.528558,0.397163,[ 6 26] ; [ 3 21],[ 5.14285714 26.85714286] ; [ 3.85714286 20.14285714],0
s7,1,0.556739,0.345382,[15 16] ; [ 8 12],[13.98039216 17.01960784] ; [ 9.01960784 10.98039216],0
b3,1,0.598823,0.276774,[ 8 15] ; [ 4 11],[ 7.26315789 15.73684211] ; [ 4.73684211 10.26315789],0
b2,1,0.598823,0.276774,[ 8 15] ; [ 4 11],[ 7.26315789 15.73684211] ; [ 4.73684211 10.26315789],0
r3,1,0.625697,0.237941,[29  4] ; [20  4],[28.36842105  4.63157895] ; [20.63157895  3.36842105],0
a5,1,0.639546,0.219336,[20 13] ; [16  8],[20.84210526 12.15789474] ; [15.15789474  8.84210526],0
p7,1,0.63974,0.219082,[20 11] ; [14 10],[19.16363636 11.83636364] ; [14.83636364  9.16363636],0
p8,1,0.642579,0.215385,[18 14] ; [12 12],[17.14285714 14.85714286] ; [12.85714286 11.14285714],0
p3,1,0.642579,0.215385,[18 14] ; [12 12],[17.14285714 14.85714286] ; [12.85714286 11.14285714],0
p2,1,0.674862,0.175968,[23  9] ; [16  8],[22.28571429  9.71428571] ; [16.71428571  7.28571429],0
p4,1,0.696717,0.15191,[19 13] ; [13 11],[18.28571429 13.71428571] ; [13.71428571 10.28571429],0
s4,1,0.708281,0.14,[ 3 29] ; [ 3 21],[ 3.42857143 28.57142857] ; [ 2.57142857 21.42857143],0
p9,1,0.714757,0.133572,[24  8] ; [19  5],[24.57142857  7.42857143] ; [18.42857143  5.57142857],0
s5,1,0.732112,0.117181,[ 9 22] ; [ 8 16],[ 9.58181818 21.41818182] ; [ 7.41818182 16.58181818],0
a7,1,0.808001,0.059052,[23 10] ; [16  8],[22.57894737 10.42105263] ; [16.42105263  7.57894737],0
d1,1,0.81793,0.052996,[ 1 32] ; [ 1 23],[ 1.15789474 31.84210526] ; [ 0.84210526 23.15789474],0
a1,1,0.81793,0.052996,[ 1 32] ; [ 1 23],[ 1.15789474 31.84210526] ; [ 0.84210526 23.15789474],0
u3,1,0.827435,0.047521,[6 6] ; [5 6],[5.73913043 6.26086957] ; [5.26086957 5.73913043],0
n1,1,0.850436,0.035556,[3 2] ; [2 1],[3.125 1.875] ; [1.875 1.125],0
n5,1,0.881953,0.02205,[27  6] ; [20  4],[27.21052632  5.78947368] ; [19.78947368  4.21052632],0
r1,1,0.881953,0.02205,[27  6] ; [20  4],[27.21052632  5.78947368] ; [19.78947368  4.21052632],0
s6,1,0.901427,0.015341,[18 12] ; [14 10],[17.77777778 12.22222222] ; [14.22222222  9.77777778],0
s3,1,0.902048,0.015147,[17 13] ; [14 10],[17.22222222 12.77777778] ; [13.77777778 10.22222222],0
s8,1,0.935064,0.006638,[11 21] ; [ 8 16],[10.85714286 21.14285714] ; [ 8.14285714 15.85714286],0
a4,1,0.947693,0.004304,[ 8 25] ; [ 6 18],[ 8.10526316 24.89473684] ; [ 5.89473684 18.10526316],0
d2,1,0.972372,0.001199,[ 7 26] ; [ 5 19],[ 6.94736842 26.05263158] ; [ 5.05263158 18.94736842],0
p10,1,1.0,0.0,[24  8] ; [18  6],[24.  8.] ; [18.  6.],0
