Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000209,13.75,[ 5 17] ; [10  1],[10. 12.] ; [5. 6.],1
v1,1,0.009734,6.682891,[ 6 17] ; [8 3],[ 9.47058824 13.52941176] ; [4.52941176 6.47058824],0
s2,1,0.020153,5.398599,[ 7 16] ; [8 3],[10.14705882 12.85294118] ; [4.85294118 6.14705882],0
p10,1,0.021282,5.303571,[ 5 17] ; [7 4],[ 8. 14.] ; [4. 7.],0
n4,1,0.027031,4.888849,[12 11] ; [10  1],[14.88235294  8.11764706] ; [7.11764706 3.88235294],0
s3,1,0.035175,4.436669,[10 13] ; [9 2],[12.85294118 10.14705882] ; [6.14705882 4.85294118],0
p5,1,0.052263,3.767325,[ 1 22] ; [3 8],[ 2.70588235 20.29411765] ; [1.29411765 9.70588235],0
b1,1,0.059555,3.549746,[11 12] ; [9 2],[13.52941176  9.47058824] ; [6.47058824 4.52941176],0
r4,1,0.112162,2.523496,[15  8] ; [10  1],[16.91176471  6.08823529] ; [8.08823529 2.91176471],0
u1,1,0.115659,2.475145,[ 3 20] ; [4 7],[ 4.73529412 18.26470588] ; [2.26470588 8.73529412],0
a2,1,0.115659,2.475145,[ 3 20] ; [4 7],[ 4.73529412 18.26470588] ; [2.26470588 8.73529412],0
r1,1,0.169879,1.884007,[16  7] ; [10  1],[17.58823529  5.41176471] ; [8.41176471 2.58823529],0
d2,1,0.180503,1.793478,[17  5] ; [6 5],[15.33333333  6.66666667] ; [7.66666667 3.33333333],0
v2,1,0.218143,1.516544,[ 9 13] ; [7 4],[10.66666667 11.33333333] ; [5.33333333 5.66666667],0
s6,1,0.221895,1.492071,[14  9] ; [9 2],[15.55882353  7.44117647] ; [7.44117647 3.55882353],0
a3,1,0.221895,1.492071,[14  9] ; [9 2],[15.55882353  7.44117647] ; [7.44117647 3.55882353],0
n5,1,0.254616,1.297798,[12 11] ; [8 3],[13.52941176  9.47058824] ; [6.47058824 4.52941176],0
a6,1,0.254616,1.297798,[12 11] ; [8 3],[13.52941176  9.47058824] ; [6.47058824 4.52941176],0
s4,1,0.298868,1.07924,[ 6 17] ; [1 9],[ 4.87878788 18.12121212] ; [2.12121212 7.87878788],0
p4,1,0.324534,0.970588,[12 10] ; [4 7],[10.66666667 11.33333333] ; [5.33333333 5.66666667],0
p3,1,0.391249,0.735058,[ 7 16] ; [5 6],[ 8.11764706 14.88235294] ; [3.88235294 7.11764706],0
v3,1,0.391249,0.735058,[ 7 16] ; [5 6],[ 8.11764706 14.88235294] ; [3.88235294 7.11764706],0
p11,1,0.397063,0.717204,[14  9] ; [5 6],[12.85294118 10.14705882] ; [6.14705882 4.85294118],0
p6,1,0.415504,0.662996,[ 4 19] ; [3 7],[ 4.87878788 18.12121212] ; [2.12121212 7.87878788],0
s1,1,0.421885,0.645059,[ 2 21] ; [2 9],[ 2.70588235 20.29411765] ; [1.29411765 9.70588235],0
n6,1,0.44868,0.573983,[16  7] ; [9 2],[16.91176471  6.08823529] ; [8.08823529 2.91176471],0
p8,1,0.538394,0.378524,[ 6 17] ; [4 7],[ 6.76470588 16.23529412] ; [3.23529412 7.76470588],0
a7,1,0.622301,0.242647,[10 12] ; [6 5],[10.66666667 11.33333333] ; [5.33333333 5.66666667],0
u3,1,0.657619,0.196429,[3 6] ; [1 1],[3.27272727 5.72727273] ; [0.72727273 1.27272727],0
p7,1,0.678187,0.172174,[11 12] ; [4 6],[10.45454545 12.54545455] ; [4.54545455 5.45454545],0
p2,1,0.693329,0.155505,[13 10] ; [7 4],[13.52941176  9.47058824] ; [6.47058824 4.52941176],0
d3,1,0.693329,0.155505,[13 10] ; [7 4],[13.52941176  9.47058824] ; [6.47058824 4.52941176],0
a4,1,0.713926,0.134387,[11 12] ; [6 5],[11.5 11.5] ; [5.5 5.5],0
b5,1,0.713926,0.134387,[11 12] ; [6 5],[11.5 11.5] ; [5.5 5.5],0
b4,1,0.729562,0.119514,[16  7] ; [7 4],[15.55882353  7.44117647] ; [7.44117647 3.55882353],0
a8,1,0.739332,0.110714,[ 3 18] ; [1 9],[ 2.70967742 18.29032258] ; [1.29032258 8.70967742],0
d4,1,0.763341,0.090659,[17  5] ; [9 2],[17.33333333  4.66666667] ; [8.66666667 2.33333333],0
b2,1,0.778244,0.079303,[ 3 14] ; [2 7],[ 3.26923077 13.73076923] ; [1.73076923 7.26923077],0
b3,1,0.778244,0.079303,[ 3 14] ; [2 7],[ 3.26923077 13.73076923] ; [1.73076923 7.26923077],0
d5,1,0.810339,0.057595,[18  5] ; [9 2],[18.26470588  4.73529412] ; [8.73529412 2.26470588],0
n1,1,0.835099,0.043333,[6 4] ; [2 1],[6.15384615 3.84615385] ; [1.84615385 1.15384615],0
a5,1,0.876578,0.024121,[14  9] ; [7 4],[14.20588235  8.79411765] ; [6.79411765 4.20588235],0
d1,1,0.896876,0.016798,[12 11] ; [6 5],[12.17647059 10.82352941] ; [5.82352941 5.17647059],0
n3,1,0.92265,0.009428,[7 4] ; [2 1],[7.07142857 3.92857143] ; [1.92857143 1.07142857],0
