Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000172,14.114774,[ 3 24] ; [9 4],[ 8.1 18.9] ; [3.9 9.1],1
p2,1,0.00238,9.230769,[ 9 18] ; [11  2],[13.5 13.5] ; [6.5 6.5],0
p8,1,0.004112,8.233618,[ 2 25] ; [6 7],[ 5.4 21.6] ; [ 2.6 10.4],0
u2,1,0.004316,8.145757,[ 2 11] ; [5 1],[4.78947368 8.21052632] ; [2.21052632 3.78947368],0
p11,1,0.029327,4.748338,[ 7 20] ; [8 5],[10.125 16.875] ; [4.875 8.125],0
n5,1,0.032039,4.596391,[23  4] ; [7 6],[20.25  6.75] ; [9.75 3.25],0
p10,1,0.065541,3.391304,[ 8 18] ; [8 5],[10.66666667 15.33333333] ; [5.33333333 7.66666667],0
v2,1,0.067831,3.334744,[ 2 23] ; [4 9],[ 3.94736842 21.05263158] ; [ 2.05263158 10.94736842],0
n3,1,0.132391,2.264245,[ 5 11] ; [4 2],[6.54545455 9.45454545] ; [2.45454545 3.54545455],0
u3,1,0.154229,2.029915,[ 1 12] ; [2 4],[ 2.05263158 10.94736842] ; [0.94736842 5.05263158],0
b2,1,0.16612,1.917614,[9 9] ; [2 7],[ 7.33333333 10.66666667] ; [3.66666667 5.33333333],0
b3,1,0.16612,1.917614,[9 9] ; [2 7],[ 7.33333333 10.66666667] ; [3.66666667 5.33333333],0
v1,1,0.172469,1.861349,[ 5 22] ; [5 8],[ 6.75 20.25] ; [3.25 9.75],0
p3,1,0.172469,1.861349,[ 5 22] ; [5 8],[ 6.75 20.25] ; [3.25 9.75],0
a4,1,0.194787,1.681034,[ 5 21] ; [5 8],[ 6.66666667 19.33333333] ; [3.33333333 9.66666667],0
d3,1,0.200782,1.636675,[ 7 20] ; [6 7],[ 8.775 18.225] ; [4.225 8.775],0
b5,1,0.214847,1.538462,[ 9 18] ; [7 6],[10.8 16.2] ; [5.2 7.8],0
p9,1,0.225038,1.47195,[ 8 16] ; [7 6],[ 9.72972973 14.27027027] ; [5.27027027 7.72972973],0
s6,1,0.281325,1.160678,[ 6 21] ; [5 8],[ 7.425 19.575] ; [3.575 9.425],0
n4,1,0.304773,1.053192,[19  8] ; [7 6],[17.55  9.45] ; [8.45 4.55],0
b4,1,0.311185,1.025641,[12 15] ; [8 5],[13.5 13.5] ; [6.5 6.5],0
v4,1,0.311185,1.025641,[12 15] ; [8 5],[13.5 13.5] ; [6.5 6.5],0
d5,1,0.313812,1.014566,[10 17] ; [7 6],[11.475 15.525] ; [5.525 7.475],0
r1,1,0.377282,0.779539,[10 17] ; [ 3 10],[ 8.775 18.225] ; [4.225 8.775],0
s2,1,0.384822,0.755241,[ 5 22] ; [4 9],[ 6.075 20.925] ; [ 2.925 10.075],0
r2,1,0.485045,0.4875,[17  9] ; [7 6],[16. 10.] ; [8. 5.],0
s5,1,0.519496,0.414894,[ 4 23] ; [ 3 10],[ 4.725 22.275] ; [ 2.275 10.725],0
p1,1,0.523496,0.407,[ 4 23] ; [ 1 12],[ 3.375 23.625] ; [ 1.625 11.375],0
s8,1,0.523496,0.407,[ 4 23] ; [ 1 12],[ 3.375 23.625] ; [ 1.625 11.375],0
a6,1,0.54177,0.37227,[11 16] ; [4 9],[10.125 16.875] ; [4.875 8.125],0
v3,1,0.555126,0.348214,[ 4 22] ; [ 3 10],[ 4.66666667 21.33333333] ; [ 2.33333333 10.66666667],0
n6,1,0.56409,0.332671,[14 13] ; [8 5],[14.85 12.15] ; [7.15 5.85],0
p5,1,0.587734,0.293897,[ 1 26] ; [ 1 12],[ 1.35 25.65] ; [ 0.65 12.35],0
d1,1,0.612597,0.25641,[ 6 21] ; [ 2 11],[ 5.4 21.6] ; [ 2.6 10.4],0
d2,1,0.636871,0.222857,[10 16] ; [4 9],[ 9.33333333 16.66666667] ; [4.66666667 8.33333333],0
r4,1,0.701883,0.14652,[ 3 24] ; [ 2 11],[ 3.375 23.625] ; [ 1.625 11.375],0
s4,1,0.73568,0.11396,[ 5 22] ; [ 3 10],[ 5.4 21.6] ; [ 2.6 10.4],0
a5,1,0.745657,0.105216,[11 16] ; [6 7],[11.475 15.525] ; [5.525 7.475],0
b1,1,0.745657,0.105216,[16 11] ; [7 6],[15.525 11.475] ; [7.475 5.525],0
s7,1,0.871457,0.026182,[ 4 21] ; [2 9],[ 4.16666667 20.83333333] ; [1.83333333 9.16666667],0
s3,1,0.900415,0.015659,[ 7 19] ; [3 9],[ 6.84210526 19.15789474] ; [3.15789474 8.84210526],0
n2,1,0.901321,0.015374,[8 9] ; [3 3],[8.13043478 8.86956522] ; [2.86956522 3.13043478],0
a3,1,0.905829,0.013995,[14 13] ; [7 6],[14.175 12.825] ; [6.825 6.175],0
d4,1,0.918928,0.01036,[12 15] ; [6 7],[12.15 14.85] ; [5.85 7.15],0
n1,1,0.930912,0.007516,[ 6 11] ; [2 4],[ 5.91304348 11.08695652] ; [2.08695652 3.91304348],0
