Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.017445,5.651047,[ 5 34] ; [6 8],[ 8.09433962 30.90566038] ; [ 2.90566038 11.09433962],0
v1,1,0.031012,4.652308,[ 8 32] ; [7 7],[11.11111111 28.88888889] ; [ 3.88888889 10.11111111],0
d5,1,0.037231,4.339834,[13 27] ; [9 5],[16.2962963 23.7037037] ; [5.7037037 8.2962963],0
n4,1,0.062786,3.462232,[20 20] ; [11  3],[22.96296296 17.03703704] ; [8.03703704 5.96296296],0
p11,1,0.087504,2.919704,[21 19] ; [11  3],[23.7037037 16.2962963] ; [8.2962963 5.7037037],0
r3,1,0.096429,2.763629,[24 15] ; [12  2],[26.49056604 12.50943396] ; [9.50943396 4.49056604],0
n3,1,0.106345,2.60771,[8 8] ; [6 1],[9.73913043 6.26086957] ; [4.26086957 2.73913043],0
p7,1,0.122251,2.388236,[19 21] ; [10  4],[21.48148148 18.51851852] ; [7.51851852 6.48148148],0
r1,1,0.124283,2.3625,[11 29] ; [7 7],[13.33333333 26.66666667] ; [4.66666667 9.33333333],0
n5,1,0.159969,1.974517,[23 17] ; [11  3],[25.18518519 14.81481481] ; [8.81481481 5.18518519],0
v4,1,0.164915,1.928571,[20 20] ; [10  4],[22.22222222 17.77777778] ; [7.77777778 6.22222222],0
u2,1,0.192106,1.701389,[13 11] ; [5 1],[14.4  9.6] ; [3.6 2.4],0
u3,1,0.231998,1.428571,[ 6 18] ; [3 3],[ 7.2 16.8] ; [1.8 4.2],0
p12,1,0.253536,1.303714,[ 2 38] ; [ 2 12],[ 2.96296296 37.03703704] ; [ 1.03703704 12.96296296],0
a4,1,0.260548,1.265844,[ 6 34] ; [ 4 10],[ 7.40740741 32.59259259] ; [ 2.59259259 11.40740741],0
d2,1,0.260548,1.265844,[ 6 34] ; [ 4 10],[ 7.40740741 32.59259259] ; [ 2.59259259 11.40740741],0
a7,1,0.266575,1.234286,[16 24] ; [8 6],[17.77777778 22.22222222] ; [6.22222222 7.77777778],0
p8,1,0.269767,1.217929,[13 26] ; [7 7],[14.71698113 24.28301887] ; [5.28301887 8.71698113],0
a8,1,0.275389,1.189705,[ 8 30] ; [ 1 12],[ 6.70588235 31.29411765] ; [ 2.29411765 10.70588235],0
a3,1,0.298689,1.080039,[16 23] ; [8 6],[17.66037736 21.33962264] ; [6.33962264 7.66037736],0
s2,1,0.319571,0.9907,[11 29] ; [ 2 12],[ 9.62962963 30.37037037] ; [ 3.37037037 10.62962963],0
s3,1,0.31977,0.989888,[14 25] ; [ 3 11],[12.50943396 26.49056604] ; [4.49056604 9.50943396],0
n2,1,0.340144,0.90989,[8 8] ; [5 2],[9.04347826 6.95652174] ; [3.95652174 3.04347826],0
p10,1,0.356204,0.851232,[20 20] ; [9 5],[21.48148148 18.51851852] ; [7.51851852 6.48148148],0
s4,1,0.376024,0.783661,[ 7 33] ; [ 4 10],[ 8.14814815 31.85185185] ; [ 2.85185185 11.14814815],0
s6,1,0.412646,0.671165,[15 25] ; [7 7],[16.2962963 23.7037037] ; [5.7037037 8.2962963],0
u1,1,0.428537,0.626786,[ 1 39] ; [ 1 13],[ 1.48148148 38.51851852] ; [ 0.51851852 13.48148148],0
d4,1,0.444985,0.583393,[21 19] ; [9 5],[22.22222222 17.77777778] ; [7.77777778 6.22222222],0
n6,1,0.452288,0.564911,[24 15] ; [7 7],[22.81132075 16.18867925] ; [8.18867925 5.81132075],0
r4,1,0.506729,0.440816,[ 8 32] ; [ 4 10],[ 8.88888889 31.11111111] ; [ 3.11111111 10.88888889],0
p3,1,0.537721,0.37978,[12 28] ; [ 3 11],[11.11111111 28.88888889] ; [ 3.88888889 10.11111111],0
s7,1,0.595994,0.281081,[12 27] ; [ 3 10],[11.25 27.75] ; [3.75 9.25],0
a5,1,0.626928,0.23625,[17 23] ; [7 7],[17.77777778 22.22222222] ; [6.22222222 7.77777778],0
p4,1,0.626928,0.23625,[17 23] ; [7 7],[17.77777778 22.22222222] ; [6.22222222 7.77777778],0
a1,1,0.660549,0.192857,[ 4 36] ; [ 2 12],[ 4.44444444 35.55555556] ; [ 1.55555556 12.44444444],0
n1,1,0.679109,0.171131,[ 6 10] ; [2 5],[ 5.56521739 10.43478261] ; [2.43478261 4.56521739],0
d3,1,0.691949,0.156984,[12 28] ; [5 9],[12.59259259 27.40740741] ; [4.40740741 9.59259259],0
b2,1,0.707677,0.140609,[ 8 17] ; [2 6],[ 7.57575758 17.42424242] ; [2.42424242 5.57575758],0
b3,1,0.707677,0.140609,[ 8 17] ; [2 6],[ 7.57575758 17.42424242] ; [2.42424242 5.57575758],0
p5,1,0.732435,0.116888,[ 4 35] ; [ 1 13],[ 3.67924528 35.32075472] ; [ 1.32075472 12.67924528],0
s5,1,0.744662,0.106071,[ 7 33] ; [ 3 11],[ 7.40740741 32.59259259] ; [ 2.59259259 11.40740741],0
p9,1,0.777096,0.080148,[24 16] ; [9 5],[24.44444444 15.55555556] ; [8.55555556 5.44444444],0
b1,1,0.777096,0.080148,[24 16] ; [9 5],[24.44444444 15.55555556] ; [8.55555556 5.44444444],0
s8,1,0.792978,0.068878,[10 30] ; [ 4 10],[10.37037037 29.62962963] ; [ 3.62962963 10.37037037],0
a6,1,0.85146,0.035065,[16 24] ; [6 8],[16.2962963 23.7037037] ; [5.7037037 8.2962963],0
v3,1,0.864066,0.02931,[ 5 35] ; [ 2 12],[ 5.18518519 34.81481481] ; [ 1.81481481 12.18518519],0
p2,1,0.90521,0.014181,[25 15] ; [9 5],[25.18518519 14.81481481] ; [8.81481481 5.18518519],0
s1,1,0.964972,0.001929,[ 3 37] ; [ 1 13],[ 2.96296296 37.03703704] ; [ 1.03703704 12.96296296],0
b5,1,0.981444,0.000541,[23 17] ; [8 6],[22.96296296 17.03703704] ; [8.03703704 5.96296296],0
b4,1,0.981444,0.000541,[23 17] ; [8 6],[22.96296296 17.03703704] ; [8.03703704 5.96296296],0
