Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,9.4e-05,15.262258,[6 4] ; [ 5 49],[1.71875 8.28125] ; [ 9.28125 44.71875],1
s5,1,0.005845,7.597341,[5 5] ; [ 7 47],[1.875 8.125] ; [10.125 43.875],0
p9,1,0.023829,5.107036,[9 2] ; [24 30],[5.58461538 5.41538462] ; [27.41538462 26.58461538],0
a6,1,0.03169,4.615184,[2 9] ; [30 26],[5.25373134 5.74626866] ; [26.74626866 29.25373134],0
p4,1,0.05328,3.735129,[5 6] ; [10 44],[2.53846154 8.46153846] ; [12.46153846 41.53846154],0
p6,1,0.086768,2.933333,[4 7] ; [ 8 47],[2. 9.] ; [10. 45.],0
s6,1,0.093067,2.820513,[7 4] ; [20 35],[4.5 6.5] ; [22.5 32.5],0
p11,1,0.101887,2.67575,[9 2] ; [31 25],[6.56716418 4.43283582] ; [33.43283582 22.56716418],0
u2,1,0.107071,2.596933,[5 2] ; [13 21],[3.07317073 3.92682927] ; [14.92682927 19.07317073],0
u3,1,0.107071,2.596933,[5 2] ; [13 21],[3.07317073 3.92682927] ; [14.92682927 19.07317073],0
p10,1,0.109998,2.554244,[8 3] ; [25 29],[5.58461538 5.41538462] ; [27.41538462 26.58461538],0
r3,1,0.166143,1.917407,[10  1] ; [39 16],[8.16666667 2.83333333] ; [40.83333333 14.16666667],0
n6,1,0.169686,1.885714,[9 2] ; [33 22],[7. 4.] ; [35. 20.],0
a7,1,0.184625,1.76,[3 8] ; [27 28],[5. 6.] ; [25. 30.],0
b1,1,0.206358,1.596797,[7 4] ; [24 32],[5.08955224 5.91044776] ; [25.91044776 30.08955224],0
p7,1,0.208481,1.581945,[5 6] ; [14 39],[3.265625 7.734375] ; [15.734375 37.265625],0
p1,1,0.208737,1.580163,[3 8] ; [ 7 49],[1.64179104 9.35820896] ; [ 8.35820896 47.64179104],0
p12,1,0.241102,1.37414,[2 9] ; [ 4 52],[ 0.98507463 10.01492537] ; [ 5.01492537 50.98507463],0
v1,1,0.241307,1.372944,[6 5] ; [20 36],[4.26865672 6.73134328] ; [21.73134328 34.26865672],0
s2,1,0.246948,1.340488,[5 6] ; [15 39],[3.38461538 7.61538462] ; [16.61538462 37.38461538],0
r4,1,0.257627,1.281464,[9 2] ; [36 20],[7.3880597 3.6119403] ; [37.6119403 18.3880597],0
s4,1,0.287767,1.130039,[3 8] ; [ 8 48],[1.80597015 9.19402985] ; [ 9.19402985 46.80597015],0
d4,1,0.292012,1.110322,[6 5] ; [21 35],[4.43283582 6.56716418] ; [22.56716418 33.43283582],0
v3,1,0.326445,0.96295,[5 6] ; [16 37],[3.609375 7.390625] ; [17.390625 35.609375],0
d3,1,0.354922,0.855782,[2 9] ; [18 38],[3.28358209 7.71641791] ; [16.71641791 39.28358209],0
v4,1,0.394737,0.7243,[9 2] ; [38 17],[7.83333333 3.16666667] ; [39.16666667 15.83333333],0
b2,1,0.478105,0.503182,[4 4] ; [12 21],[3.12195122 4.87804878] ; [12.87804878 20.12195122],0
b3,1,0.478105,0.503182,[4 4] ; [12 21],[3.12195122 4.87804878] ; [12.87804878 20.12195122],0
a8,1,0.515289,0.423312,[2 9] ; [ 6 48],[1.35384615 9.64615385] ; [ 6.64615385 47.35384615],0
p8,1,0.543255,0.369541,[4 7] ; [15 40],[3.16666667 7.83333333] ; [15.83333333 39.16666667],0
s3,1,0.549282,0.358605,[5 6] ; [19 34],[4.125 6.875] ; [19.875 33.125],0
v2,1,0.567411,0.327033,[4 6] ; [16 36],[3.22580645 6.77419355] ; [16.77419355 35.22580645],0
d2,1,0.569329,0.323807,[3 8] ; [11 45],[2.29850746 8.70149254] ; [11.70149254 44.29850746],0
a4,1,0.630356,0.231579,[ 1 10] ; [ 8 47],[1.5 9.5] ; [ 7.5 47.5],0
s1,1,0.647827,0.208651,[2 9] ; [ 7 47],[1.52307692 9.47692308] ; [ 7.47692308 46.52307692],0
r2,1,0.693527,0.155294,[8 3] ; [43 12],[8.5 2.5] ; [42.5 12.5],0
b5,1,0.700989,0.147445,[6 5] ; [27 29],[5.41791045 5.58208955] ; [27.58208955 28.41791045],0
b4,1,0.700989,0.147445,[6 5] ; [27 29],[5.41791045 5.58208955] ; [27.58208955 28.41791045],0
r1,1,0.736956,0.112821,[6 5] ; [33 22],[6.5 4.5] ; [32.5 22.5],0
p5,1,0.765918,0.088636,[1 9] ; [ 4 51],[0.76923077 9.23076923] ; [ 4.23076923 50.76923077],0
a3,1,0.787087,0.072952,[4 7] ; [22 32],[4.4 6.6] ; [21.6 32.4],0
a5,1,0.787573,0.07261,[5 6] ; [23 33],[4.59701493 6.40298507] ; [23.40298507 32.59701493],0
n5,1,0.875519,0.02454,[8 3] ; [38 16],[7.78461538 3.21538462] ; [38.21538462 15.78461538],0
p3,1,0.973424,0.00111,[3 8] ; [15 41],[2.95522388 8.04477612] ; [15.04477612 40.95522388],0
