Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,23.956604,[27 27] ; [304  75],[41.27944573 12.72055427] ; [289.72055427  89.27944573],1
p9,1,1.2e-05,19.098869,[38 16] ; [346  35],[47.66896552  6.33103448] ; [336.33103448  44.66896552],1
p8,1,1.6e-05,18.572353,[21 33] ; [262 119],[35.13103448 18.86896552] ; [247.86896552 133.13103448],1
p4,1,1.8e-05,18.374702,[32 22] ; [321  62],[43.6201373 10.3798627] ; [309.3798627  73.6201373],1
d3,1,6.3e-05,16.019689,[24 30] ; [274 109],[36.82379863 17.17620137] ; [261.17620137 121.82379863],1
p10,1,0.000596,11.788414,[38 16] ; [333  46],[46.26789838  7.73210162] ; [324.73210162  54.26789838],1
d4,1,0.001941,9.604148,[37 17] ; [326  56],[44.9587156  9.0412844] ; [318.0412844  63.9587156],0
d5,1,0.002393,9.220463,[38 16] ; [330  52],[45.57798165  8.42201835] ; [322.42201835  59.57798165],0
a3,1,0.006109,7.517917,[32 22] ; [292  89],[40.22068966 13.77931034] ; [283.77931034  97.22068966],0
p11,1,0.013351,6.122029,[38 16] ; [322  61],[44.48512586  9.51487414] ; [315.51487414  67.48512586],0
v1,1,0.014982,5.918545,[23 28] ; [235 139],[30.96 20.04] ; [227.04 146.96],0
a2,1,0.031181,4.64295,[ 8 46] ; [110 273],[14.5812357 39.4187643] ; [103.4187643 279.5812357],0
d1,1,0.0432,4.087549,[27 27] ; [246 137],[33.73455378 20.26544622] ; [239.26544622 143.73455378],0
s7,1,0.050367,3.829215,[23 28] ; [215 146],[29.46116505 21.53883495] ; [208.53883495 152.46116505],0
s1,1,0.062364,3.473366,[ 4 50] ; [ 10 371],[ 1.73793103 52.26206897] ; [ 12.26206897 368.73793103],0
p6,1,0.063578,3.441486,[20 34] ; [190 186],[26.37209302 27.62790698] ; [183.62790698 192.37209302],0
a7,1,0.094454,2.796772,[34 20] ; [282 100],[39.13761468 14.86238532] ; [276.86238532 105.13761468],0
p5,1,0.110294,2.55001,[ 5 47] ; [ 71 311],[ 9.10599078 42.89400922] ; [ 66.89400922 315.10599078],0
v3,1,0.110441,2.547896,[18 33] ; [175 196],[23.32464455 27.67535545] ; [169.67535545 201.32464455],0
