Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000327,12.90974,[ 1 13] ; [15  7],[6.22222222 7.77777778] ; [ 9.77777778 12.22222222],1
p10,1,0.001701,9.846953,[6 8] ; [20  2],[10.11111111  3.88888889] ; [15.88888889  6.11111111],0
b5,1,0.003673,8.438961,[12  2] ; [ 8 14],[7.77777778 6.22222222] ; [12.22222222  9.77777778],0
p9,1,0.005735,7.63183,[6 8] ; [19  3],[9.72222222 4.27777778] ; [15.27777778  6.72222222],0
p3,1,0.02964,4.730053,[ 2 12] ; [11 11],[5.05555556 8.94444444] ; [ 7.94444444 14.05555556],0
s5,1,0.075391,3.161565,[ 2 10] ; [10 11],[4.36363636 7.63636364] ; [ 7.63636364 13.36363636],0
b1,1,0.090926,2.857898,[ 2 12] ; [ 9 13],[4.27777778 9.72222222] ; [ 6.72222222 15.27777778],0
d5,1,0.096458,2.763158,[ 4 10] ; [12  9],[6.4 7.6] ; [ 9.6 11.4],0
p4,1,0.126279,2.337662,[ 4 10] ; [12 10],[6.22222222 7.77777778] ; [ 9.77777778 12.22222222],0
n6,1,0.126279,2.337662,[10  4] ; [20  2],[11.66666667  2.33333333] ; [18.33333333  3.66666667],0
s7,1,0.128822,2.306645,[5 9] ; [13  8],[7.2 6.8] ; [10.8 10.2],0
s8,1,0.226765,1.461039,[ 3 11] ; [ 9 13],[4.66666667 9.33333333] ; [ 7.33333333 14.66666667],0
n5,1,0.236289,1.402597,[9 5] ; [18  4],[10.5  3.5] ; [16.5  5.5],0
n1,1,0.236724,1.4,[1 6] ; [3 4],[2. 5.] ; [2. 5.],0
v4,1,0.253236,1.305361,[10  3] ; [20  2],[11.14285714  1.85714286] ; [18.85714286  3.14285714],0
r3,1,0.296715,1.088898,[11  3] ; [20  2],[12.05555556  1.94444444] ; [18.94444444  3.05555556],0
u2,1,0.33235,0.939719,[2 6] ; [6 7],[3.04761905 4.95238095] ; [4.95238095 8.04761905],0
v2,1,0.378369,0.775993,[ 2 11] ; [ 6 15],[3.05882353 9.94117647] ; [ 4.94117647 16.05882353],0
p2,1,0.39638,0.719281,[9 5] ; [17  5],[10.11111111  3.88888889] ; [15.88888889  6.11111111],0
r1,1,0.452461,0.564479,[10  4] ; [13  9],[8.94444444 5.05555556] ; [14.05555556  7.94444444],0
u3,1,0.466394,0.530507,[5 3] ; [6 7],[4.19047619 3.80952381] ; [6.80952381 6.19047619],0
b4,1,0.494125,0.467532,[8 6] ; [10 12],[7. 7.] ; [11. 11.],0
n3,1,0.514828,0.424242,[5 2] ; [6 1],[5.5 1.5] ; [5.5 1.5],0
a4,1,0.532706,0.389227,[ 2 12] ; [ 5 17],[ 2.72222222 11.27777778] ; [ 4.27777778 17.72222222],0
s3,1,0.664001,0.1887,[8 4] ; [13  9],[7.41176471 4.58823529] ; [13.58823529  8.41176471],0
a6,1,0.67558,0.175144,[8 6] ; [11 11],[7.38888889 6.61111111] ; [11.61111111 10.38888889],0
a7,1,0.677726,0.172697,[7 7] ; [12  9],[7.6 6.4] ; [11.4  9.6],0
r4,1,0.693012,0.155844,[10  4] ; [17  5],[10.5  3.5] ; [16.5  5.5],0
a2,1,0.740135,0.110008,[ 1 13] ; [ 1 21],[ 0.77777778 13.22222222] ; [ 1.22222222 20.77777778],0
v1,1,0.755277,0.09715,[5 9] ; [ 9 13],[5.44444444 8.55555556] ; [ 8.55555556 13.44444444],0
s2,1,0.801106,0.063462,[7 4] ; [13  9],[6.66666667 4.33333333] ; [13.33333333  8.66666667],0
v3,1,0.831981,0.045012,[ 2 11] ; [ 4 18],[ 2.22857143 10.77142857] ; [ 3.77142857 18.22857143],0
n4,1,0.836664,0.042503,[10  4] ; [15  7],[9.72222222 4.27777778] ; [15.27777778  6.72222222],0
p11,1,0.836664,0.042503,[10  4] ; [15  7],[9.72222222 4.27777778] ; [15.27777778  6.72222222],0
p12,1,0.836664,0.042503,[ 1 13] ; [ 2 20],[ 1.16666667 12.83333333] ; [ 1.83333333 20.16666667],0
d3,1,0.884411,0.021135,[5 9] ; [ 7 14],[4.8 9.2] ; [ 7.2 13.8],0
s1,1,0.886436,0.020396,[ 1 12] ; [ 2 20],[ 1.11428571 11.88571429] ; [ 1.88571429 20.11428571],0
s6,1,0.899765,0.015865,[10  3] ; [15  5],[9.84848485 3.15151515] ; [15.15151515  4.84848485],0
a5,1,0.907988,0.013358,[6 8] ; [ 9 13],[5.83333333 8.16666667] ; [ 9.16666667 12.83333333],0
a3,1,0.907988,0.013358,[6 8] ; [ 9 13],[5.83333333 8.16666667] ; [ 9.16666667 12.83333333],0
d2,1,0.927197,0.008349,[ 3 11] ; [ 5 17],[ 3.11111111 10.88888889] ; [ 4.88888889 17.11111111],0
r2,1,0.956201,0.003016,[12  2] ; [19  3],[12.05555556  1.94444444] ; [18.94444444  3.05555556],0
p1,1,0.956201,0.003016,[ 2 12] ; [ 3 19],[ 1.94444444 12.05555556] ; [ 3.05555556 18.94444444],0
