Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.002777,8.948485,[53 10] ; [6 7],[48.90789474 14.09210526] ; [10.09210526  2.90789474],0
d2,1,0.007086,7.250983,[35 27] ; [ 2 11],[30.58666667 31.41333333] ; [6.41333333 6.58666667],0
r4,1,0.008998,6.823242,[59  4] ; [9 4],[56.36842105  6.63157895] ; [11.63157895  1.36842105],0
a5,1,0.014758,5.945136,[53 10] ; [7 6],[49.73684211 13.26315789] ; [10.26315789  2.73684211],0
a4,1,0.025089,5.017725,[31 32] ; [ 2 11],[27.35526316 35.64473684] ; [5.64473684 7.35526316],0
v3,1,0.041804,4.143129,[37 23] ; [4 9],[33.69863014 26.30136986] ; [7.30136986 5.69863014],0
r2,1,0.0566,3.634306,[61  2] ; [10  2],[59.64  3.36] ; [11.36  0.64],0
s8,1,0.057952,3.595035,[40 20] ; [5 8],[36.98630137 23.01369863] ; [8.01369863 4.98630137],0
n5,1,0.06663,3.36415,[56  7] ; [9 4],[53.88157895  9.11842105] ; [11.11842105  1.88157895],0
p6,1,0.085885,2.949855,[42 20] ; [5 7],[39.37837838 22.62162162] ; [7.62162162 4.37837838],0
s3,1,0.08943,2.884612,[39 22] ; [5 8],[36.27027027 24.72972973] ; [7.72972973 5.27027027],0
p7,1,0.111736,2.529489,[49 11] ; [8 5],[46.84931507 13.15068493] ; [10.15068493  2.84931507],0
s7,1,0.146758,2.105633,[44 14] ; [6 5],[42.02898551 15.97101449] ; [7.97101449 3.02898551],0
a1,1,0.168517,1.896087,[ 6 57] ; [ 3 10],[ 7.46052632 55.53947368] ; [ 1.53947368 11.46052632],0
d1,1,0.20092,1.635676,[41 22] ; [6 7],[38.96052632 24.03947368] ; [8.03947368 4.96052632],0
v4,1,0.216073,1.530261,[61  1] ; [12  1],[60.34666667  1.65333333] ; [12.65333333  0.34666667],0
b1,1,0.218911,1.511494,[26 37] ; [ 3 10],[24.03947368 38.96052632] ; [4.96052632 8.03947368],0
u2,1,0.252136,1.311429,[6 4] ; [6 1],[7.05882353 2.94117647] ; [4.94117647 2.05882353],0
n1,1,0.312132,1.021635,[7 6] ; [1 3],[6.11764706 6.88235294] ; [1.88235294 2.11764706],0
p4,1,0.359286,0.840387,[53  8] ; [10  3],[51.93243243  9.06756757] ; [11.06756757  1.93243243],0
s2,1,0.370063,0.803454,[37 25] ; [6 7],[35.54666667 26.45333333] ; [7.45333333 5.54666667],0
s1,1,0.397824,0.714895,[ 5 58] ; [ 2 11],[ 5.80263158 57.19736842] ; [ 1.19736842 11.80263158],0
s6,1,0.510951,0.432119,[49  9] ; [10  3],[48.1971831  9.8028169] ; [10.8028169  2.1971831],0
v2,1,0.523627,0.406744,[38 22] ; [7 6],[36.98630137 23.01369863] ; [8.01369863 4.98630137],0
s4,1,0.58707,0.294944,[ 8 53] ; [ 1 12],[ 7.41891892 53.58108108] ; [ 1.58108108 11.41891892],0
n3,1,0.605242,0.267161,[9 5] ; [2 2],[8.55555556 5.44444444] ; [2.44444444 1.55555556],0
n2,1,0.61209,0.257143,[12  2] ; [3 1],[11.66666667  2.33333333] ; [3.33333333 0.66666667],0
v1,1,0.619013,0.247257,[42 20] ; [9 3],[42.72972973 19.27027027] ; [8.27027027 3.72972973],0
d3,1,0.620147,0.245661,[47 15] ; [9 4],[46.29333333 15.70666667] ; [9.70666667 3.29333333],0
p10,1,0.624112,0.240131,[59  3] ; [11  1],[58.64864865  3.35135135] ; [11.35135135  0.64864865],0
u3,1,0.627477,0.235498,[6 4] ; [5 2],[6.47058824 3.52941176] ; [4.52941176 2.47058824],0
p12,1,0.642298,0.215749,[20 43] ; [3 9],[19.32 43.68] ; [3.68 8.32],0
a6,1,0.666179,0.186104,[42 20] ; [8 5],[41.33333333 20.66666667] ; [8.66666667 4.33333333],0
p9,1,0.677173,0.173326,[59  3] ; [12  1],[58.69333333  3.30666667] ; [12.30666667  0.69333333],0
s5,1,0.756132,0.09645,[39 18] ; [7 4],[38.55882353 18.44117647] ; [7.44117647 3.55882353],0
b5,1,0.760652,0.092796,[31 32] ; [7 6],[31.5 31.5] ; [6.5 6.5],0
n4,1,0.794197,0.06805,[55  8] ; [11  2],[54.71052632  8.28947368] ; [11.28947368  1.71052632],0
p2,1,0.794197,0.06805,[55  8] ; [11  2],[54.71052632  8.28947368] ; [11.28947368  1.71052632],0
r3,1,0.822985,0.050045,[56  6] ; [12  1],[56.21333333  5.78666667] ; [11.78666667  1.21333333],0
p8,1,0.838236,0.041677,[51 11] ; [11  2],[51.25333333 10.74666667] ; [10.74666667  2.25333333],0
b4,1,0.851199,0.035189,[37 26] ; [8 5],[37.30263158 25.69736842] ; [7.69736842 5.30263158],0
d5,1,0.865968,0.028487,[49 13] ; [10  3],[48.77333333 13.22666667] ; [10.22666667  2.77333333],0
b2,1,0.887267,0.020097,[23 26] ; [3 3],[23.16363636 25.83636364] ; [2.83636364 3.16363636],0
b3,1,0.887267,0.020097,[23 26] ; [3 3],[23.16363636 25.83636364] ; [2.83636364 3.16363636],0
p11,1,0.918335,0.010513,[54  9] ; [11  2],[53.88157895  9.11842105] ; [11.11842105  1.88157895],0
p3,1,0.969003,0.00151,[48 14] ; [10  3],[47.94666667 14.05333333] ; [10.05333333  2.94666667],0
