Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6e-06,20.543992,[309  21] ; [7 5],[304.9122807  25.0877193] ; [11.0877193  0.9122807],1
p7,1,0.004162,8.211606,[220 101] ; [3 8],[215.61144578 105.38855422] ; [7.38855422 3.61144578],0
d5,1,0.008258,6.976689,[283  46] ; [7 5],[279.79472141  49.20527859] ; [10.20527859  1.79472141],0
d1,1,0.014712,5.950631,[222 108] ; [4 8],[218.07017544 111.92982456] ; [7.92982456 4.07017544],0
s6,1,0.015548,5.853306,[275  50] ; [7 5],[271.95845697  53.04154303] ; [10.04154303  1.95845697],0
v1,1,0.017135,5.682499,[190 129] ; [3 9],[186.00302115 132.99697885] ; [6.99697885 5.00302115],0
v2,1,0.018044,5.591842,[199 119] ; [3 8],[195.24620061 122.75379939] ; [6.75379939 4.24620061],0
r1,1,0.019087,5.493499,[275  52] ; [7 5],[272.01769912  54.98230088] ; [9.98230088 2.01769912],0
a4,1,0.028638,4.789217,[161 169] ; [ 2 10],[157.28070175 172.71929825] ; [5.71929825 6.28070175],0
r2,1,0.042956,4.09712,[311  15] ; [9 2],[309.55489614  16.44510386] ; [10.44510386  0.55489614],0
p11,1,0.058952,3.566616,[266  64] ; [7 5],[263.42105263  66.57894737] ; [9.57894737 2.42105263],0
a5,1,0.074562,3.179621,[263  67] ; [7 5],[260.52631579  69.47368421] ; [9.47368421 2.52631579],0
n3,1,0.089661,2.880458,[50 18] ; [3 4],[48.05333333 19.94666667] ; [4.94666667 2.05333333],0
d4,1,0.099011,2.721409,[278  51] ; [8 4],[275.93548387  53.06451613] ; [10.06451613  1.93548387],0
a2,1,0.117115,2.455482,[ 96 234] ; [ 1 11],[ 93.59649123 236.40350877] ; [3.40350877 8.59649123],0
u1,1,0.202899,1.621386,[ 80 250] ; [ 1 11],[ 78.15789474 251.84210526] ; [2.84210526 9.15789474],0
s1,1,0.216641,1.526485,[  8 316] ; [ 1 11],[  8.67857143 315.32142857] ; [ 0.32142857 11.67857143],0
p10,1,0.243537,1.360003,[282  43] ; [9 3],[280.6379822  44.3620178] ; [10.3620178  1.6379822],0
a3,1,0.37982,0.771284,[255  74] ; [8 4],[253.74486804  75.25513196] ; [9.25513196 2.74486804],0
p3,1,0.41433,0.666341,[177 153] ; [5 7],[175.61403509 154.38596491] ; [6.38596491 5.61403509],0
a7,1,0.420077,0.650099,[228 101] ; [7 5],[226.73020528 102.26979472] ; [8.26979472 3.73020528],0
d3,1,0.444078,0.585723,[227 103] ; [7 5],[225.78947368 104.21052632] ; [8.21052632 3.78947368],0
p2,1,0.468604,0.525265,[276  53] ; [11  1],[276.90029326  52.09970674] ; [10.09970674  1.90029326],0
p9,1,0.491547,0.473138,[292  34] ; [10  2],[291.27810651  34.72189349] ; [10.72189349  1.27810651],0
a6,1,0.492665,0.4707,[223 106] ; [7 5],[221.90615836 107.09384164] ; [8.09384164 3.90615836],0
v3,1,0.558804,0.341779,[144 174] ; [4 7],[143.05167173 174.94832827] ; [4.94832827 6.05167173],0
d2,1,0.602246,0.271622,[190 140] ; [6 6],[189.12280702 140.87719298] ; [6.87719298 5.12280702],0
p6,1,0.621465,0.243814,[140 187] ; [6 6],[140.83185841 186.16814159] ; [5.16814159 6.83185841],0
n1,1,0.622591,0.242242,[27 39] ; [4 4],[27.64864865 38.35135135] ; [3.35135135 4.64864865],0
s3,1,0.637712,0.221747,[236  88] ; [8 4],[235.28571429  88.71428571] ; [8.71428571 3.28571429],0
n5,1,0.642848,0.215036,[254  73] ; [10  2],[254.65486726  72.34513274] ; [9.34513274 2.65486726],0
n4,1,0.659313,0.19436,[263  65] ; [9 3],[262.4  65.6] ; [9.6 2.4],0
s4,1,0.659313,0.19436,[ 65 263] ; [3 9],[ 65.6 262.4] ; [2.4 9.6],0
s2,1,0.717779,0.130631,[233  93] ; [8 4],[232.44378698  93.55621302] ; [8.55621302 3.44378698],0
s5,1,0.745113,0.105683,[130 185] ; [4 7],[129.47852761 185.52147239] ; [4.52147239 6.47852761],0
n6,1,0.749725,0.101762,[283  44] ; [10  2],[282.62831858  44.37168142] ; [10.37168142  1.62831858],0
p4,1,0.759497,0.093723,[205 124] ; [8 4],[205.50439883 123.49560117] ; [7.49560117 4.50439883],0
b5,1,0.797552,0.065801,[208 122] ; [8 4],[208.42105263 121.57894737] ; [7.57894737 4.42105263],0
p8,1,0.816946,0.053581,[173 151] ; [6 6],[172.60714286 151.39285714] ; [6.39285714 5.60714286],0
n2,1,0.860318,0.030965,[49 19] ; [6 2],[49.21052632 18.78947368] ; [5.78947368 2.21052632],0
p1,1,0.86069,0.030799,[ 23 305] ; [ 1 11],[ 23.15294118 304.84705882] ; [ 0.84705882 11.15294118],0
b3,1,0.879105,0.023136,[ 93 129] ; [4 5],[ 93.22077922 128.77922078] ; [3.77922078 5.22077922],0
b2,1,0.879105,0.023136,[ 93 129] ; [4 5],[ 93.22077922 128.77922078] ; [3.77922078 5.22077922],0
s7,1,0.892905,0.018125,[230  84] ; [9 3],[230.20245399  83.79754601] ; [8.79754601 3.20245399],0
u3,1,0.896234,0.01701,[54 21] ; [3 1],[54.11392405 20.88607595] ; [2.88607595 1.11392405],0
b1,1,0.958189,0.002748,[135 195] ; [5 7],[135.0877193 194.9122807] ; [4.9122807 7.0877193],0
b4,1,0.975008,0.000981,[191 139] ; [7 5],[191.05263158 138.94736842] ; [6.94736842 5.05263158],0
p12,1,0.994965,4e-05,[ 27 299] ; [ 1 11],[ 27.00591716 298.99408284] ; [ 0.99408284 11.00591716],0
