Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2.8e-05,17.567943,[131  12] ; [16 10],[124.38461538  18.61538462] ; [22.61538462  3.38461538],1
p7,1,0.001597,9.962837,[103  37] ; [11 15],[96.14457831 43.85542169] ; [17.85542169  8.14457831],0
p10,1,0.017218,5.674001,[126  18] ; [18  8],[121.97647059  22.02352941] ; [22.02352941  3.97647059],0
p11,1,0.01743,5.652529,[115  30] ; [15 11],[110.23391813  34.76608187] ; [19.76608187  6.23391813],0
n4,1,0.023249,5.149792,[108  35] ; [14 12],[103.23076923  39.76923077] ; [18.76923077  7.23076923],0
u1,1,0.03479,4.455464,[ 31 114] ; [ 1 25],[ 27.13450292 117.86549708] ; [ 4.86549708 21.13450292],0
a2,1,0.040014,4.217298,[ 38 107] ; [ 2 24],[ 33.91812865 111.08187135] ; [ 6.08187135 19.91812865],0
p8,1,0.04532,4.006708,[74 68] ; [ 8 18],[69.30952381 72.69047619] ; [12.69047619 13.30952381],0
v4,1,0.0461,3.977927,[136   7] ; [22  4],[133.69230769   9.30769231] ; [24.30769231  1.69230769],0
s4,1,0.04947,3.859344,[ 38 103] ; [12 14],[42.21556886 98.78443114] ; [ 7.78443114 18.21556886],0
a6,1,0.059159,3.560803,[90 55] ; [11 15],[85.64327485 59.35672515] ; [15.35672515 10.64327485],0
a7,1,0.071052,3.258541,[99 46] ; [13 13],[94.97076023 50.02923977] ; [17.02923977  8.97076023],0
p4,1,0.073567,3.201584,[88 56] ; [11 15],[83.85882353 60.14117647] ; [15.14117647 10.85882353],0
s1,1,0.075693,3.155032,[  5 138] ; [ 3 23],[  6.76923077 136.23076923] ; [ 1.23076923 24.76923077],0
b1,1,0.082818,3.008714,[52 93] ; [14 12],[55.96491228 89.03508772] ; [10.03508772 15.96491228],0
p6,1,0.092895,2.823473,[70 74] ; [ 8 18],[66.07058824 77.92941176] ; [11.92941176 14.07058824],0
v2,1,0.100067,2.704482,[55 88] ; [14 11],[58.73214286 84.26785714] ; [10.26785714 14.73214286],0
s3,1,0.102962,2.659046,[96 48] ; [13 13],[92.32941176 51.67058824] ; [16.67058824  9.32941176],0
a3,1,0.111569,2.531859,[110  34] ; [16 10],[106.72941176  37.27058824] ; [19.27058824  6.72941176],0
b2,1,0.116071,2.469551,[39 54] ; [ 4 14],[36.02702703 56.97297297] ; [ 6.97297297 11.02702703],0
b3,1,0.116071,2.469551,[39 54] ; [ 4 14],[36.02702703 56.97297297] ; [ 6.97297297 11.02702703],0
p3,1,0.116075,2.469496,[80 65] ; [10 16],[76.31578947 68.68421053] ; [13.68421053 12.31578947],0
s6,1,0.129908,2.293609,[125  17] ; [20  6],[122.55952381  19.44047619] ; [22.44047619  3.55952381],0
n3,1,0.135519,2.228117,[24  8] ; [5 5],[22.0952381  9.9047619] ; [6.9047619 3.0952381],0
u2,1,0.135662,2.226486,[17 17] ; [2 7],[15.02325581 18.97674419] ; [3.97674419 5.02325581],0
u3,1,0.143235,2.142857,[23 12] ; [4 6],[21. 14.] ; [6. 4.],0
p1,1,0.149628,2.076035,[ 10 134] ; [ 4 22],[ 11.85882353 132.14117647] ; [ 2.14117647 23.85882353],0
r1,1,0.168816,1.893429,[116  27] ; [18  8],[113.38461538  29.61538462] ; [20.61538462  5.38461538],0
r4,1,0.194191,1.685534,[130  15] ; [21  5],[128.04093567  16.95906433] ; [22.95906433  3.04093567],0
s7,1,0.214092,1.543539,[82 56] ; [11 13],[79.22222222 58.77777778] ; [13.77777778 10.22222222],0
b5,1,0.252241,1.310849,[79 66] ; [11 15],[76.31578947 68.68421053] ; [13.68421053 12.31578947],0
d3,1,0.259359,1.272175,[100  45] ; [15 11],[97.51461988 47.48538012] ; [17.48538012  8.51461988],0
r3,1,0.338155,0.917415,[134   9] ; [23  3],[132.84615385  10.15384615] ; [24.15384615  1.84615385],0
b4,1,0.352988,0.862686,[92 53] ; [14 12],[89.88304094 55.11695906] ; [16.11695906  9.88304094],0
s2,1,0.363286,0.826502,[97 48] ; [15 11],[94.97076023 50.02923977] ; [17.02923977  8.97076023],0
n5,1,0.399876,0.708699,[105  38] ; [17  9],[103.23076923  39.76923077] ; [18.76923077  7.23076923],0
a1,1,0.429351,0.624578,[  6 139] ; [ 2 24],[  6.78362573 138.21637427] ; [ 1.21637427 24.78362573],0
a8,1,0.468054,0.526567,[ 23 110] ; [ 3 23],[ 21.74842767 111.25157233] ; [ 4.25157233 21.74842767],0
d5,1,0.476947,0.505837,[120  25] ; [20  6],[118.71345029  26.28654971] ; [21.28654971  4.71345029],0
n1,1,0.484423,0.488889,[19 14] ; [5 6],[18. 15.] ; [6. 5.],0
d1,1,0.512486,0.428988,[88 57] ; [14 12],[86.49122807 58.50877193] ; [15.50877193 10.49122807],0
a4,1,0.513646,0.426632,[68 77] ; [14 12],[69.53216374 75.46783626] ; [12.46783626 13.53216374],0
v1,1,0.531899,0.390763,[75 67] ; [12 14],[73.53571429 68.46428571] ; [13.46428571 12.53571429],0
r2,1,0.565169,0.330833,[135   7] ; [24  2],[134.39285714   7.60714286] ; [24.60714286  1.39285714],0
s8,1,0.744074,0.106578,[67 77] ; [13 13],[67.76470588 76.23529412] ; [12.23529412 13.76470588],0
d4,1,0.826284,0.048167,[126  19] ; [23  3],[126.34502924  18.65497076] ; [22.65497076  3.34502924],0
d2,1,0.841917,0.039777,[75 70] ; [14 12],[75.46783626 69.53216374] ; [13.53216374 12.46783626],0
a5,1,0.907108,0.013616,[110  35] ; [20  6],[110.23391813  34.76608187] ; [19.76608187  6.23391813],0
p12,1,0.992473,8.9e-05,[ 11 133] ; [ 2 24],[ 11.01176471 132.98823529] ; [ 1.98823529 24.01176471],0
n6,1,1.0,0.0,[121  22] ; [22  4],[121.  22.] ; [22.  4.],0
n2,1,1.0,0.0,[27  6] ; [9 2],[27.  6.] ; [9. 2.],0
