Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2.1e-05,18.103236,[234  46] ; [68 39],[218.50129199  61.49870801] ; [83.49870801 23.50129199],1
p4,1,4.2e-05,16.766992,[146 136] ; [31 77],[127.98461538 154.01538462] ; [49.01538462 58.98461538],1
p10,1,5e-05,16.445921,[221  58] ; [63 44],[205.2746114  73.7253886] ; [78.7253886 28.2746114],1
p7,1,6.4e-05,15.985624,[139 139] ; [29 77],[121.625 156.375] ; [46.375 59.625],1
b1,1,0.000793,11.258102,[ 92 190] ; [56 54],[106.46938776 175.53061224] ; [41.53061224 68.46938776],1
a6,1,0.00098,10.865912,[211  71] ; [63 46],[197.61636829  84.38363171] ; [76.38363171 32.61636829],1
p6,1,0.005112,7.839329,[ 76 204] ; [15 94],[ 65.50128535 214.49871465] ; [25.49871465 83.50128535],0
a7,1,0.007207,7.220603,[212  69] ; [68 42],[201.22762148  79.77237852] ; [78.77237852 31.22762148],0
p11,1,0.013963,6.042818,[212  70] ; [69 41],[202.14795918  79.85204082] ; [78.85204082 31.14795918],0
d5,1,0.02071,5.351056,[233  48] ; [79 30],[224.8  56.2] ; [87.2 21.8],0
d3,1,0.024913,5.02991,[196  85] ; [63 46],[186.61282051  94.38717949] ; [72.38717949 36.61282051],0
a1,1,0.026325,4.93457,[  7 275] ; [  8 102],[ 10.79081633 271.20918367] ; [  4.20918367 105.79081633],0
u4,1,0.028491,4.798114,[  3 279] ; [  5 105],[  5.75510204 276.24489796] ; [  2.24489796 107.75510204],0
p3,1,0.066469,3.368128,[110 172] ; [32 78],[102.15306122 179.84693878] ; [39.84693878 70.15306122],0
s4,1,0.07043,3.272967,[ 43 237] ; [25 83],[ 49.07216495 230.92783505] ; [18.92783505 89.07216495],0
n4,1,0.072417,3.227373,[211  69] ; [73 37],[203.8974359  76.1025641] ; [80.1025641 29.8974359],0
s1,1,0.075721,3.154426,[  9 267] ; [  8 100],[ 12.21875 263.78125] ; [  4.78125 103.21875],0
n1,1,0.098366,2.731834,[25 51] ; [19 20],[29.07826087 46.92173913] ; [14.92173913 24.07826087],0
a5,1,0.100464,2.69816,[201  81] ; [69 41],[194.23469388  87.76530612] ; [75.76530612 34.23469388],0
v2,1,0.135422,2.229226,[146 123] ; [47 56],[139.56182796 129.43817204] ; [53.43817204 49.56182796],0
v4,1,0.143549,2.139498,[273   7] ; [104   6],[270.66666667   9.33333333] ; [106.33333333   3.66666667],0
a3,1,0.179609,1.800859,[204  78] ; [72 38],[198.55102041  83.44897959] ; [77.44897959 32.55102041],0
n5,1,0.210905,1.565204,[195  84] ; [69 40],[189.83505155  89.16494845] ; [74.16494845 34.83505155],0
a2,1,0.236273,1.402693,[ 78 204] ; [24 86],[ 73.37755102 208.62244898] ; [28.62244898 81.37755102],0
v1,1,0.241795,1.370097,[133 140] ; [45 62],[127.87894737 145.12105263] ; [50.12105263 56.87894737],0
s8,1,0.269375,1.219925,[107 175] ; [48 61],[111.79028133 170.20971867] ; [43.20971867 65.79028133],0
a8,1,0.305244,1.051144,[ 36 214] ; [11 95],[ 33.00561798 216.99438202] ; [13.99438202 92.00561798],0
r3,1,0.326297,0.963539,[280   2] ; [108   2],[279.12244898   2.87755102] ; [108.87755102   1.12244898],0
s3,1,0.438443,0.600355,[160 118] ; [58 51],[156.5994832 121.4005168] ; [61.4005168 47.5994832],0
u1,1,0.460704,0.544183,[ 58 224] ; [19 91],[ 55.39285714 226.60714286] ; [21.60714286 88.39285714],0
u2,1,0.477533,0.504491,[44 32] ; [24 13],[45.73451327 30.26548673] ; [22.26548673 14.73451327],0
n2,1,0.501999,0.450707,[55 21] ; [32  9],[56.51282051 19.48717949] ; [30.48717949 10.51282051],0
p5,1,0.525275,0.403524,[ 15 266] ; [  4 102],[ 13.79586563 267.20413437] ; [  5.20413437 100.79586563],0
n6,1,0.531061,0.39236,[230  51] ; [87 23],[227.81841432  53.18158568] ; [89.18158568 20.81841432],0
d4,1,0.534847,0.385174,[227  54] ; [85 24],[224.8  56.2] ; [87.2 21.8],0
s2,1,0.574161,0.315769,[144 134] ; [53 56],[141.51421189 136.48578811] ; [55.48578811 53.51421189],0
p1,1,0.585875,0.296833,[ 14 267] ; [  7 103],[ 15.09207161 265.90792839] ; [  5.90792839 104.09207161],0
r1,1,0.599559,0.275662,[232  47] ; [89 21],[230.22879177  48.77120823] ; [90.77120823 19.22879177],0
d1,1,0.618379,0.248153,[154 128] ; [57 53],[151.79081633 130.20918367] ; [59.20918367 50.79081633],0
v3,1,0.619449,0.246642,[ 92 179] ; [36 62],[ 94.00542005 176.99457995] ; [33.99457995 64.00542005],0
b2,1,0.636557,0.223273,[ 66 104] ; [26 47],[ 64.36213992 105.63786008] ; [27.63786008 45.36213992],0
b3,1,0.636557,0.223273,[ 66 104] ; [26 47],[ 64.36213992 105.63786008] ; [27.63786008 45.36213992],0
p12,1,0.677147,0.173355,[ 15 266] ; [  7 102],[ 15.85128205 265.14871795] ; [  6.14871795 102.85128205],0
u3,1,0.71032,0.137958,[50 27] ; [26 12],[50.88695652 26.11304348] ; [25.11304348 12.88695652],0
s5,1,0.712883,0.135414,[ 81 192] ; [28 73],[ 79.56417112 193.43582888] ; [29.43582888 71.56417112],0
d2,1,0.82582,0.048429,[137 144] ; [54 54],[137.97172237 143.02827763] ; [53.02827763 54.97172237],0
