Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,1e-06,23.356152,[ 46 251] ; [18 19],[ 56.91017964 240.08982036] ; [ 7.08982036 29.91017964],1
p1,1,0.000123,14.74552,[ 20 280] ; [10 30],[ 26.47058824 273.52941176] ; [ 3.52941176 36.47058824],1
p12,1,0.000204,13.797058,[ 11 286] ; [ 7 32],[ 15.91071429 281.08928571] ; [ 2.08928571 36.91071429],1
p4,1,0.000251,13.408273,[152 146] ; [32  7],[162.70623145 135.29376855] ; [21.29376855 17.70623145],1
p3,1,0.000346,12.803351,[127 172] ; [29 11],[137.59292035 161.40707965] ; [18.40707965 21.59292035],1
p8,1,0.013254,6.134898,[141 152] ; [27 12],[148.26506024 144.73493976] ; [19.73493976 19.26506024],0
p6,1,0.017246,5.671198,[ 82 215] ; [18 21],[ 88.39285714 208.60714286] ; [11.60714286 27.39285714],0
s7,1,0.027259,4.874344,[ 72 213] ; [15 20],[ 77.484375 207.515625] ; [ 9.515625 25.484375],0
p7,1,0.035782,4.407482,[168 128] ; [29 10],[174.06567164 121.93432836] ; [22.93432836 16.06567164],0
p9,1,0.048231,3.901921,[233  62] ; [36  3],[237.58982036  57.41017964] ; [31.41017964  7.58982036],0
p10,1,0.053168,3.738629,[225  71] ; [35  4],[229.73134328  66.26865672] ; [30.26865672  8.73134328],0
v3,1,0.073931,3.193512,[101 195] ; [19 20],[106.02985075 189.97014925] ; [13.97014925 25.02985075],0
b3,1,0.093601,2.811323,[ 62 113] ; [15 14],[ 66.05392157 108.94607843] ; [10.94607843 18.05392157],0
b2,1,0.093601,2.811323,[ 62 113] ; [15 14],[ 66.05392157 108.94607843] ; [10.94607843 18.05392157],0
s1,1,0.101949,2.674791,[  4 292] ; [ 2 38],[  5.28571429 290.71428571] ; [ 0.71428571 39.28571429],0
s6,1,0.103548,2.650024,[136 163] ; [21 14],[140.54790419 158.45209581] ; [16.45209581 18.54790419],0
b4,1,0.167149,1.908329,[168 132] ; [27 13],[172.05882353 127.94117647] ; [22.94117647 17.05882353],0
n4,1,0.185155,1.755757,[254  46] ; [37  3],[256.76470588  43.23529412] ; [34.23529412  5.76470588],0
s8,1,0.21032,1.569222,[ 72 227] ; [13 26],[ 75.19230769 223.80769231] ; [ 9.80769231 29.19230769],0
r3,1,0.237429,1.395795,[265  33] ; [33  7],[262.73372781  35.26627219] ; [35.26627219  4.73372781],0
s4,1,0.271816,1.207557,[ 33 266] ; [ 2 36],[ 31.05341246 267.94658754] ; [ 3.94658754 34.05341246],0
r2,1,0.275461,1.189349,[268  28] ; [34  6],[266.04761905  29.95238095] ; [35.95238095  4.04761905],0
v1,1,0.339291,0.913109,[147 149] ; [22 16],[149.77245509 146.22754491] ; [19.22754491 18.77245509],0
n3,1,0.342031,0.902804,[49 22] ; [6 5],[47.62195122 23.37804878] ; [7.37804878 3.62195122],0
a5,1,0.347219,0.883595,[211  89] ; [31  9],[213.52941176  86.47058824] ; [28.47058824 11.52941176],0
d2,1,0.35757,0.846409,[133 164] ; [21 19],[135.72106825 161.27893175] ; [18.27893175 21.72106825],0
p11,1,0.360536,0.836025,[228  72] ; [33  7],[230.29411765  69.70588235] ; [30.70588235  9.29411765],0
u3,1,0.369667,0.804783,[48 60] ; [8 6],[49.57377049 58.42622951] ; [6.42622951 7.57377049],0
b1,1,0.393485,0.728147,[114 186] ; [18 22],[116.47058824 183.52941176] ; [15.52941176 24.47058824],0
d3,1,0.426385,0.632649,[184 115] ; [22 18],[181.69321534 117.30678466] ; [24.30678466 15.69321534],0
n6,1,0.428065,0.628067,[255  45] ; [35  4],[256.63716814  43.36283186] ; [33.36283186  5.63716814],0
a1,1,0.43992,0.596491,[ 14 286] ; [ 3 37],[ 15. 285.] ; [ 2. 38.],0
v2,1,0.452371,0.564705,[144 144] ; [22 17],[146.20183486 141.79816514] ; [19.79816514 19.20183486],0
b5,1,0.508817,0.436499,[174 126] ; [21 19],[172.05882353 127.94117647] ; [22.94117647 17.05882353],0
a2,1,0.515003,0.423888,[ 66 234] ; [ 7 33],[ 64.41176471 235.58823529] ; [ 8.58823529 31.41176471],0
u1,1,0.595288,0.282161,[ 43 257] ; [ 7 33],[ 44.11764706 255.88235294] ; [ 5.88235294 34.11764706],0
r4,1,0.598565,0.277166,[250  50] ; [32  8],[248.82352941  51.17647059] ; [33.17647059  6.82352941],0
a7,1,0.610929,0.258825,[199 100] ; [25 15],[197.56932153 101.43067847] ; [26.43067847 13.56932153],0
a8,1,0.689565,0.159557,[ 35 231] ; [ 4 33],[ 34.23762376 231.76237624] ; [ 4.76237624 32.23762376],0
p2,1,0.719532,0.128941,[230  69] ; [31  8],[230.88461538  68.11538462] ; [30.11538462  8.88461538],0
d4,1,0.737022,0.112761,[216  82] ; [30 10],[216.88757396  81.11242604] ; [29.11242604 10.88757396],0
