Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,30.880494,[82 12] ; [10 18],[70.8852459 23.1147541] ; [21.1147541  6.8852459],1
s6,1,0.000542,11.967033,[68 23] ; [10 16],[60.66666667 30.33333333] ; [17.33333333  8.66666667],1
p9,1,0.001637,9.917946,[82 12] ; [17 11],[76.27868852 17.72131148] ; [22.72131148  5.27868852],0
p10,1,0.001688,9.861082,[79 14] ; [16 12],[73.01652893 19.98347107] ; [21.98347107  6.01652893],0
s8,1,0.005948,7.566076,[49 45] ; [ 6 21],[42.72727273 51.27272727] ; [12.27272727 14.72727273],0
s7,1,0.012148,6.289174,[54 32] ; [10 18],[48.28070175 37.71929825] ; [15.71929825 12.28070175],0
v3,1,0.015763,5.829092,[40 53] ; [ 5 23],[34.58677686 58.41322314] ; [10.41322314 17.58677686],0
s3,1,0.021112,5.317521,[53 40] ; [ 9 19],[47.65289256 45.34710744] ; [14.34710744 13.65289256],0
p5,1,0.029516,4.737252,[25 69] ; [ 2 26],[20.80327869 73.19672131] ; [ 6.19672131 21.80327869],0
v2,1,0.030555,4.677792,[58 35] ; [11 17],[53.03305785 39.96694215] ; [15.96694215 12.03305785],0
r1,1,0.031933,4.602116,[73 21] ; [16 12],[68.57377049 25.42622951] ; [20.42622951  7.57377049],0
n6,1,0.032767,4.557887,[82 11] ; [20  8],[78.39669421 14.60330579] ; [23.60330579  4.39669421],0
p4,1,0.03473,4.458396,[70 24] ; [15 13],[65.49180328 28.50819672] ; [19.50819672  8.49180328],0
a1,1,0.044249,4.047016,[ 2 92] ; [ 3 25],[ 3.85245902 90.14754098] ; [ 1.14754098 26.85245902],0
b2,1,0.11515,2.482074,[30 26] ; [ 5 11],[27.22222222 28.77777778] ; [7.77777778 8.22222222],0
b3,1,0.11515,2.482074,[30 26] ; [ 5 11],[27.22222222 28.77777778] ; [7.77777778 8.22222222],0
p7,1,0.117308,2.452896,[84 10] ; [21  6],[81.57024793 12.42975207] ; [23.42975207  3.57024793],0
d3,1,0.145444,2.119399,[37 56] ; [15 12],[40.3 52.7] ; [11.7 15.3],0
p8,1,0.15822,1.991155,[64 30] ; [15 13],[60.86885246 33.13114754] ; [18.13114754  9.86885246],0
p2,1,0.192049,1.701828,[83 11] ; [22  6],[80.90163934 13.09836066] ; [24.09836066  3.90163934],0
s1,1,0.195194,1.677974,[ 2 91] ; [ 2 26],[ 3.07438017 89.92561983] ; [ 0.92561983 27.07438017],0
p1,1,0.23711,1.397693,[15 79] ; [ 2 26],[13.09836066 80.90163934] ; [ 3.90163934 24.09836066],0
