Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,4e-06,21.058878,[29 15] ; [ 9 39],[18.17391304 25.82608696] ; [19.82608696 28.17391304],1
s8,1,3.1e-05,17.347198,[22 22] ; [ 5 43],[12.91304348 31.08695652] ; [14.08695652 33.91304348],1
s5,1,4.2e-05,16.781984,[17 26] ; [ 2 45],[ 9.07777778 33.92222222] ; [ 9.92222222 37.07777778],1
s3,1,7e-05,15.8049,[32 12] ; [15 33],[22.47826087 21.52173913] ; [24.52173913 23.47826087],1
s7,1,0.000152,14.345412,[20 23] ; [ 4 38],[12.14117647 30.85882353] ; [11.85882353 30.14117647],1
p3,1,0.000153,14.331296,[22 22] ; [ 6 40],[13.68888889 30.31111111] ; [14.31111111 31.68888889],1
p4,1,0.003058,8.772738,[25 19] ; [12 34],[18.08888889 25.91111111] ; [18.91111111 27.08888889],0
r3,1,0.011887,6.327711,[40  3] ; [35 13],[35.43956044  7.56043956] ; [39.56043956  8.43956044],0
d1,1,0.013466,6.106862,[25 19] ; [15 33],[19.13043478 24.86956522] ; [20.86956522 27.13043478],0
p2,1,0.018339,5.563492,[33 11] ; [24 23],[27.56043956 16.43956044] ; [29.43956044 17.56043956],0
d4,1,0.023082,5.162309,[38  6] ; [31 16],[33.36263736 10.63736264] ; [35.63736264 11.36263736],0
d5,1,0.028703,4.785325,[35  9] ; [28 20],[30.13043478 13.86956522] ; [32.86956522 15.13043478],0
d3,1,0.036764,4.361294,[31 13] ; [23 24],[26.10989011 17.89010989] ; [27.89010989 19.10989011],0
r4,1,0.052898,3.747149,[34 10] ; [28 20],[29.65217391 14.34782609] ; [32.34782609 15.65217391],0
p8,1,0.060547,3.522333,[22 20] ; [15 31],[17.65909091 24.34090909] ; [19.34090909 26.65909091],0
s4,1,0.065264,3.3983,[11 33] ; [ 5 43],[ 7.65217391 36.34782609] ; [ 8.34782609 39.65217391],0
p7,1,0.085867,2.950206,[24 17] ; [18 27],[20.02325581 20.97674419] ; [21.97674419 23.02325581],0
p6,1,0.088088,2.908966,[13 29] ; [ 7 38],[ 9.65517241 32.34482759] ; [10.34482759 34.65517241],0
p9,1,0.099052,2.720738,[31 12] ; [26 21],[27.23333333 15.76666667] ; [29.76666667 17.23333333],0
a6,1,0.099753,2.709483,[32 12] ; [27 21],[28.2173913 15.7826087] ; [30.7826087 17.2173913],0
r1,1,0.116547,2.463118,[31 12] ; [27 21],[27.40659341 15.59340659] ; [30.59340659 17.40659341],0
p11,1,0.141452,2.162089,[26 18] ; [21 27],[22.47826087 21.52173913] ; [24.52173913 23.47826087],0
a5,1,0.141452,2.162089,[26 18] ; [21 27],[22.47826087 21.52173913] ; [24.52173913 23.47826087],0
v2,1,0.146342,2.109972,[20 19] ; [16 29],[16.71428571 22.28571429] ; [19.28571429 25.71428571],0
r2,1,0.169914,1.883702,[38  6] ; [36 12],[35.39130435  8.60869565] ; [38.60869565  9.39130435],0
p10,1,0.177585,1.817716,[28 15] ; [24 23],[24.84444444 18.15555556] ; [27.15555556 19.84444444],0
v1,1,0.19931,1.64742,[20 23] ; [16 32],[17.01098901 25.98901099] ; [18.98901099 29.01098901],0
a7,1,0.212073,1.557217,[32 12] ; [29 19],[29.17391304 14.82608696] ; [31.82608696 16.17391304],0
u1,1,0.288696,1.125694,[ 2 42] ; [ 5 43],[ 3.34782609 40.65217391] ; [ 3.65217391 44.34782609],0
n2,1,0.332216,0.940241,[11  5] ; [10  9],[9.6 6.4] ; [11.4  7.6],0
v4,1,0.338679,0.915427,[38  6] ; [37 10],[36.26373626  7.73626374] ; [38.73626374  8.26373626],0
b2,1,0.358471,0.843243,[ 9 17] ; [ 6 20],[ 7.5 18.5] ; [ 7.5 18.5],0
b3,1,0.358471,0.843243,[ 9 17] ; [ 6 20],[ 7.5 18.5] ; [ 7.5 18.5],0
p1,1,0.384556,0.756088,[ 5 39] ; [ 3 45],[ 3.82608696 40.17391304] ; [ 4.17391304 43.82608696],0
u3,1,0.386362,0.750361,[13  5] ; [13  9],[11.7  6.3] ; [14.3  7.7],0
a4,1,0.400988,0.705362,[12 32] ; [17 31],[13.86956522 30.13043478] ; [15.13043478 32.86956522],0
b5,1,0.431209,0.619566,[23 21] ; [29 19],[24.86956522 19.13043478] ; [27.13043478 20.86956522],0
a2,1,0.434572,0.610574,[ 7 37] ; [ 5 43],[ 5.73913043 38.26086957] ; [ 6.26086957 41.73913043],0
a8,1,0.50259,0.449464,[ 2 39] ; [ 1 44],[ 1.43023256 39.56976744] ; [ 1.56976744 43.43023256],0
b1,1,0.537098,0.380944,[21 23] ; [26 22],[22.47826087 21.52173913] ; [24.52173913 23.47826087],0
n1,1,0.545285,0.365832,[ 6 10] ; [ 5 13],[ 5.17647059 10.82352941] ; [ 5.82352941 12.17647059],0
b4,1,0.559069,0.341318,[23 21] ; [28 20],[24.39130435 19.60869565] ; [26.60869565 21.39130435],0
u2,1,0.56409,0.332671,[13  5] ; [14  8],[12.15  5.85] ; [14.85  7.15],0
n5,1,0.632338,0.228904,[10 33] ; [13 34],[10.98888889 32.01111111] ; [12.01111111 34.98888889],0
n3,1,0.74753,0.103618,[11  5] ; [14  5],[11.42857143  4.57142857] ; [13.57142857  5.42857143],0
d2,1,0.771538,0.084311,[15 29] ; [15 33],[14.34782609 29.65217391] ; [15.65217391 32.34782609],0
a3,1,0.798261,0.06533,[25 19] ; [26 22],[24.39130435 19.60869565] ; [26.60869565 21.39130435],0
a1,1,0.929086,0.00792,[ 2 42] ; [ 2 46],[ 1.91304348 42.08695652] ; [ 2.08695652 45.91304348],0
p5,1,0.944971,0.004764,[ 2 41] ; [ 2 44],[ 1.93258427 41.06741573] ; [ 2.06741573 43.93258427],0
v3,1,0.980932,0.000571,[ 9 32] ; [10 36],[ 8.95402299 32.04597701] ; [10.04597701 35.95402299],0
