Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,125.238055,[34 56] ; [316  32],[71.91780822 18.08219178] ; [278.08219178  69.91780822],1
n6,1,0.0,38.903281,[59 30] ; [318  29],[76.95642202 12.04357798] ; [300.04357798  46.95642202],1
p4,1,3.6e-05,17.058079,[40 50] ; [236 111],[56.84210526 33.15789474] ; [219.15789474 127.84210526],1
s7,1,5.9e-05,16.146917,[43 45] ; [241  96],[58.80470588 29.19529412] ; [225.19529412 111.80470588],1
v3,1,7.1e-05,15.772573,[19 66] ; [154 180],[35.09546539 49.90453461] ; [137.90453461 196.09546539],1
v1,1,0.000842,11.147344,[34 51] ; [202 134],[47.64845606 37.35154394] ; [188.35154394 147.64845606],1
p6,1,0.002865,8.891384,[24 64] ; [155 191],[36.29493088 51.70506912] ; [142.70506912 203.29493088],0
p8,1,0.00338,8.589957,[36 53] ; [200 146],[48.28505747 40.71494253] ; [187.71494253 158.28505747],0
r4,1,0.004341,8.135425,[76 14] ; [327  22],[82.61958998  7.38041002] ; [320.38041002  28.61958998],0
p3,1,0.004711,7.987069,[37 53] ; [201 147],[48.90410959 41.09589041] ; [189.09589041 158.90410959],0
p5,1,0.005408,7.73775,[ 4 84] ; [ 55 290],[11.99076212 76.00923788] ; [ 47.00923788 297.99076212],0
a8,1,0.008179,6.993917,[ 5 77] ; [ 59 270],[12.76885645 69.23114355] ; [ 51.23114355 277.76885645],0
p11,1,0.008453,6.934994,[65 25] ; [294  55],[73.59908884 16.40091116] ; [285.40091116  63.59908884],0
s8,1,0.013278,6.131735,[45 45] ; [223 124],[55.19450801 34.80549199] ; [212.80549199 134.19450801],0
p7,1,0.014845,5.934722,[49 37] ; [239  99],[58.41509434 27.58490566] ; [229.58490566 108.41509434],0
b1,1,0.031199,4.642004,[25 65] ; [140 209],[33.82687927 56.17312073] ; [131.17312073 217.82687927],0
n3,1,0.063549,3.442264,[24  3] ; [46 19],[20.54347826  6.45652174] ; [49.45652174 15.54347826],0
a4,1,0.08666,2.935357,[35 55] ; [171 178],[42.23234624 47.76765376] ; [163.76765376 185.23234624],0
u1,1,0.093484,2.813328,[12 78] ; [ 74 275],[17.6309795 72.3690205] ; [ 68.3690205 280.6309795],0
p10,1,0.104573,2.634371,[76 12] ; [320  28],[79.9266055  8.0733945] ; [316.0733945  31.9266055],0
a2,1,0.133796,2.247898,[18 72] ; [ 97 252],[23.57630979 66.42369021] ; [ 91.42369021 257.57630979],0
a3,1,0.150227,2.069946,[62 27] ; [268  80],[67.20823799 21.79176201] ; [262.79176201  85.20823799],0
a5,1,0.153787,2.034278,[62 28] ; [266  83],[67.24373576 22.75626424] ; [260.75626424  88.24373576],0
d1,1,0.156163,2.010996,[51 39] ; [226 123],[56.7881549 33.2118451] ; [220.2118451 128.7881549],0
b2,1,0.170669,1.877058,[15 34] ; [ 91 130],[19.23703704 29.76296296] ; [ 86.76296296 134.23703704],0
b3,1,0.170669,1.877058,[15 34] ; [ 91 130],[19.23703704 29.76296296] ; [ 86.76296296 134.23703704],0
p12,1,0.175352,1.836587,[ 7 83] ; [ 45 302],[10.70938215 79.29061785] ; [ 41.29061785 305.70938215],0
s2,1,0.20384,1.614648,[69 21] ; [288  61],[73.18906606 16.81093394] ; [283.81093394  65.18906606],0
n1,1,0.205836,1.600473,[ 9 18] ; [31 34],[11.73913043 15.26086957] ; [28.26086957 36.73913043],0
b4,1,0.238679,1.388382,[58 32] ; [201 148],[53.09794989 36.90205011] ; [205.90205011 143.09794989],0
d2,1,0.260691,1.265083,[42 48] ; [185 162],[46.75057208 43.24942792] ; [180.24942792 166.75057208],0
u2,1,0.271613,1.208581,[17  9] ; [43 38],[14.57943925 11.42056075] ; [45.42056075 35.57943925],0
d5,1,0.286534,1.135835,[70 20] ; [286  60],[73.48623853 16.51376147] ; [282.51376147  63.48623853],0
r1,1,0.289716,1.120941,[69 20] ; [286  61],[72.46559633 16.53440367] ; [282.53440367  64.46559633],0
r2,1,0.341945,0.903126,[84  4] ; [336   9],[85.35796767  2.64203233] ; [334.64203233  10.35796767],0
s4,1,0.356265,0.851016,[23 67] ; [ 73 274],[19.77116705 70.22883295] ; [ 76.22883295 270.77116705],0
p2,1,0.398994,0.711355,[75 14] ; [305  43],[77.39130435 11.60869565] ; [302.60869565  45.39130435],0
v4,1,0.425213,0.635862,[84  5] ; [335  13],[85.33409611  3.66590389] ; [333.66590389  14.33409611],0
s5,1,0.432815,0.615257,[33 49] ; [150 183],[36.15903614 45.84096386] ; [146.84096386 186.15903614],0
a7,1,0.481027,0.496535,[68 22] ; [250  98],[65.34246575 24.65753425] ; [252.65753425  95.34246575],0
s6,1,0.494754,0.466172,[75 15] ; [293  47],[77.02325581 12.97674419] ; [290.97674419  49.02325581],0
r3,1,0.555593,0.347393,[88  2] ; [336  12],[87.12328767  2.87671233] ; [336.87671233  11.12328767],0
a1,1,0.574459,0.315278,[ 6 84] ; [ 18 331],[ 4.92027335 85.07972665] ; [ 19.07972665 329.92027335],0
d3,1,0.610661,0.259214,[66 24] ; [245 102],[64.05034325 25.94965675] ; [246.94965675 100.05034325],0
v2,1,0.624901,0.239039,[46 37] ; [195 139],[47.96882494 35.03117506] ; [193.03117506 140.96882494],0
d4,1,0.637712,0.221747,[78 12] ; [293  53],[76.58256881 13.41743119] ; [294.41743119  51.58256881],0
a6,1,0.701954,0.146447,[62 28] ; [231 115],[60.48165138 29.51834862] ; [232.51834862 113.48165138],0
b5,1,0.71653,0.131841,[52 38] ; [209 140],[53.50797267 36.49202733] ; [207.49202733 141.50797267],0
s1,1,0.768098,0.086944,[ 4 86] ; [ 13 332],[ 3.51724138 86.48275862] ; [ 13.48275862 331.51724138],0
n2,1,0.854137,0.033798,[22  5] ; [54 11],[22.30434783  4.69565217] ; [53.69565217 11.30434783],0
p1,1,0.910417,0.012659,[ 8 80] ; [ 33 315],[ 8.27522936 79.72477064] ; [ 32.72477064 315.27522936],0
u3,1,0.924388,0.009008,[16 10] ; [49 32],[15.79439252 10.20560748] ; [49.20560748 31.79439252],0
