Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,59.395284,[ 6 47] ; [74 22],[28.45637584 24.54362416] ; [51.54362416 44.45637584],1
s7,1,1e-06,23.630889,[ 9 39] ; [57 35],[22.62857143 25.37142857] ; [43.37142857 48.62857143],1
s2,1,7e-06,20.174936,[13 40] ; [61 36],[26.14666667 26.85333333] ; [47.85333333 49.14666667],1
s8,1,1.4e-05,18.863857,[ 7 45] ; [48 49],[19.19463087 32.80536913] ; [35.80536913 61.19463087],1
p2,1,1.7e-05,18.537809,[20 34] ; [70 26],[32.4 21.6] ; [57.6 38.4],1
r4,1,7.2e-05,15.763301,[33 21] ; [86 11],[42.55629139 11.44370861] ; [76.44370861 20.55629139],1
p6,1,0.000101,15.121229,[ 6 46] ; [41 55],[16.51351351 35.48648649] ; [30.48648649 65.51351351],1
s6,1,0.00023,13.564793,[23 29] ; [71 24],[33.25170068 18.74829932] ; [60.74829932 34.25170068],1
n6,1,0.000269,13.274387,[27 26] ; [75 19],[36.7755102 16.2244898] ; [65.2244898 28.7755102],1
p7,1,0.000318,12.96286,[16 37] ; [58 37],[26.5 26.5] ; [47.5 47.5],1
r3,1,0.002643,9.038675,[39 14] ; [89  8],[45.22666667  7.77333333] ; [82.77333333 14.22666667],0
n5,1,0.00497,7.890437,[25 28] ; [67 28],[32.94594595 20.05405405] ; [59.05405405 35.94594595],0
s3,1,0.00594,7.568406,[20 34] ; [58 38],[28.08 25.92] ; [49.92 46.08],0
v4,1,0.006016,7.545457,[40 13] ; [89  8],[45.58  7.42] ; [83.42 13.58],0
s5,1,0.006638,7.368267,[11 41] ; [39 50],[18.43971631 33.56028369] ; [31.56028369 57.43971631],0
v2,1,0.010953,6.472908,[20 33] ; [56 38],[27.40136054 25.59863946] ; [48.59863946 45.40136054],0
r2,1,0.015925,5.811088,[46  6] ; [93  2],[49.17006803  2.82993197] ; [89.82993197  5.17006803],0
b5,1,0.020491,5.369573,[27 27] ; [67 30],[33.61589404 20.38410596] ; [60.38410596 36.61589404],0
p4,1,0.023584,5.124936,[19 34] ; [53 43],[25.61073826 27.38926174] ; [46.38926174 49.61073826],0
b1,1,0.038026,4.303837,[34 20] ; [44 53],[27.89403974 26.10596026] ; [50.10596026 46.89403974],0
a8,1,0.044921,4.021602,[ 3 46] ; [16 70],[ 6.8962963 42.1037037] ; [12.1037037 73.8962963],0
p3,1,0.062312,3.474754,[16 37] ; [44 52],[21.34228188 31.65771812] ; [38.65771812 57.34228188],0
n4,1,0.068649,3.315042,[32 21] ; [71 24],[36.88513514 16.11486486] ; [66.11486486 28.88513514],0
a7,1,0.072469,3.226192,[35 18] ; [77 20],[39.57333333 13.42666667] ; [72.42666667 24.57333333],0
n3,1,0.073972,3.192607,[12 10] ; [27  8],[15.05263158  6.94736842] ; [23.94736842 11.05263158],0
d5,1,0.079049,3.084346,[42 12] ; [85 11],[45.72  8.28] ; [81.28 14.72],0
a1,1,0.08907,2.891093,[ 7 47] ; [ 5 92],[ 4.29139073 49.70860927] ; [ 7.70860927 89.29139073],0
u2,1,0.128872,2.306043,[ 2 10] ; [7 9],[3.85714286 8.14285714] ; [ 5.14285714 10.85714286],0
d1,1,0.13715,2.209645,[29 25] ; [64 33],[33.25827815 20.74172185] ; [59.74172185 37.25827815],0
p5,1,0.161157,1.96334,[ 1 52] ; [ 7 89],[ 2.84563758 50.15436242] ; [ 5.15436242 90.84563758],0
a6,1,0.222971,1.485149,[33 21] ; [68 28],[36.36 17.64] ; [64.64 31.36],0
r1,1,0.236017,1.40423,[38 15] ; [77 19],[40.90604027 12.09395973] ; [74.09395973 21.90604027],0
n2,1,0.240888,1.37539,[15 10] ; [26  9],[17.08333333  7.91666667] ; [23.91666667 11.08333333],0
b4,1,0.269,1.221841,[25 29] ; [54 43],[28.25165563 25.74834437] ; [50.74834437 46.25165563],0
s4,1,0.27271,1.203067,[ 9 44] ; [24 73],[11.66 41.34] ; [21.34 75.66],0
u3,1,0.298698,1.08,[4 8] ; [8 7],[5.33333333 6.66666667] ; [6.66666667 8.33333333],0
d3,1,0.343162,0.898582,[36 18] ; [71 25],[38.52 15.48] ; [68.48 27.52],0
u1,1,0.380167,0.770162,[10 44] ; [24 73],[12.1589404 41.8410596] ; [21.8410596 75.1589404],0
d2,1,0.387624,0.746383,[31 22] ; [63 33],[33.43624161 19.56375839] ; [60.56375839 35.43624161],0
d4,1,0.401919,0.702576,[42 12] ; [80 16],[43.92 10.08] ; [78.08 17.92],0
s1,1,0.47675,0.506288,[ 5 48] ; [ 6 90],[ 3.91275168 49.08724832] ; [ 7.08724832 88.91275168],0
v1,1,0.502911,0.448788,[22 32] ; [45 52],[23.9602649 30.0397351] ; [43.0397351 53.9602649],0
a3,1,0.516255,0.421369,[42 11] ; [81 16],[43.46  9.54] ; [79.54 17.46],0
v3,1,0.531819,0.390914,[16 34] ; [35 59],[17.70833333 32.29166667] ; [33.29166667 60.70833333],0
a4,1,0.578673,0.308385,[32 21] ; [63 34],[33.56666667 19.43333333] ; [61.43333333 35.56666667],0
n1,1,0.593888,0.284314,[13 11] ; [16 18],[12. 12.] ; [17. 17.],0
a2,1,0.642288,0.215763,[18 36] ; [36 61],[19.31125828 34.68874172] ; [34.68874172 62.31125828],0
u4,1,0.64902,0.207139,[ 1 53] ; [ 3 94],[ 1.43046358 52.56953642] ; [ 2.56953642 94.43046358],0
p1,1,0.840978,0.040258,[ 4 50] ; [ 8 88],[ 4.32 49.68] ; [ 7.68 88.32],0
b2,1,0.895823,0.017145,[11 20] ; [16 31],[10.73076923 20.26923077] ; [16.26923077 30.73076923],0
b3,1,0.895823,0.017145,[11 20] ; [16 31],[10.73076923 20.26923077] ; [16.26923077 30.73076923],0
p8,1,0.978432,0.000731,[17 36] ; [31 65],[17.0738255 35.9261745] ; [30.9261745 65.0738255],0
