Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,65.972822,[214  34] ; [70 75],[179.21628499  68.78371501] ; [104.78371501  40.21628499],1
s6,1,4.9e-05,16.498983,[239  17] ; [115  29],[226.56  29.44] ; [127.44  16.56],1
v1,1,7.2e-05,15.753565,[161  88] ; [64 81],[142.19543147 106.80456853] ; [82.80456853 62.19543147],1
a5,1,0.000744,11.376611,[207  53] ; [96 53],[192.61613692  67.38386308] ; [110.38386308  38.61613692],1
p8,1,0.001114,10.627403,[149 108] ; [60 86],[133.28287841 123.71712159] ; [75.71712159 70.28287841],0
p3,1,0.001129,10.602876,[155 105] ; [63 84],[139.26289926 120.73710074] ; [78.73710074 68.26289926],0
p9,1,0.002041,9.512292,[238  20] ; [119  26],[228.55086849  29.44913151] ; [128.44913151  16.55086849],0
v4,1,0.002298,9.294843,[255   4] ; [136  11],[249.43103448   9.56896552] ; [141.56896552   5.43103448],0
v3,1,0.002457,9.172361,[116 130] ; [45 98],[101.81491003 144.18508997] ; [59.18508997 83.81491003],0
p4,1,0.002513,9.13141,[182  77] ; [82 66],[168.  91.] ; [96. 52.],0
d1,1,0.002601,9.067894,[180  80] ; [81 68],[165.91687042  94.08312958] ; [95.08312958 53.91687042],0
a3,1,0.002851,8.900209,[208  51] ; [100  49],[195.51960784  63.48039216] ; [112.48039216  36.51960784],0
a7,1,0.003795,8.379359,[174  85] ; [120  29],[186.63235294  72.36764706] ; [107.36764706  41.63235294],0
p6,1,0.004506,8.067668,[120 137] ; [47 99],[106.49875931 150.50124069] ; [60.50124069 85.49875931],0
p10,1,0.004776,7.962477,[229  28] ; [115  31],[219.37468983  37.62531017] ; [124.62531017  21.37468983],0
n6,1,0.00584,7.599037,[228  30] ; [114  32],[218.40594059  39.59405941] ; [123.59405941  22.40594059],0
d5,1,0.008019,7.029211,[223  36] ; [112  36],[213.18181818  45.81818182] ; [121.81818182  26.18181818],0
u4,1,0.010493,6.549156,[ 15 245] ; [  1 148],[ 10.17114914 249.82885086] ; [  5.82885086 143.17114914],0
p5,1,0.013388,6.117137,[ 41 214] ; [ 11 136],[ 32.98507463 222.01492537] ; [ 19.01492537 127.98507463],0
n5,1,0.014682,5.954179,[212  47] ; [105  42],[202.22413793  56.77586207] ; [114.77586207  32.22413793],0
r4,1,0.021706,5.269213,[244  16] ; [130  19],[237.75061125  22.24938875] ; [136.24938875  12.75061125],0
d2,1,0.023413,5.137603,[148 112] ; [67 81],[137.00980392 122.99019608] ; [77.99019608 70.00980392],0
