Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.002468,9.164192,[ 1 16] ; [48 60],[ 6.664 10.336] ; [42.336 65.664],0
b2,1,0.002468,9.164192,[ 1 16] ; [48 60],[ 6.664 10.336] ; [42.336 65.664],0
p6,1,0.016113,5.790476,[ 4 25] ; [ 59 102],[ 9.61578947 19.38421053] ; [ 53.38421053 107.61578947],0
d5,1,0.036378,4.379294,[23  7] ; [94 73],[17.81725888 12.18274112] ; [99.18274112 67.81725888],0
v3,1,0.042794,4.103535,[ 7 23] ; [71 94],[12. 18.] ; [66. 99.],0
u2,1,0.079102,3.083252,[4 9] ; [34 25],[6.86111111 6.13888889] ; [31.13888889 27.86111111],0
s5,1,0.082502,3.014902,[12 16] ; [ 43 118],[ 8.14814815 19.85185185] ; [ 46.85185185 114.14814815],0
s2,1,0.088496,2.901525,[17 11] ; [72 94],[12.84536082 15.15463918] ; [76.15463918 89.84536082],0
s3,1,0.109116,2.566984,[19 10] ; [81 83],[15.02590674 13.97409326] ; [84.97409326 79.02590674],0
p2,1,0.114031,2.497448,[21  9] ; [136  29],[24.15384615  5.84615385] ; [132.84615385  32.15384615],0
b5,1,0.126591,2.333815,[15 15] ; [108  59],[18.73096447 11.26903553] ; [104.26903553  62.73096447],0
a6,1,0.134141,2.24391,[13 17] ; [97 70],[16.75126904 13.24873096] ; [93.24873096 73.75126904],0
p1,1,0.176727,1.824932,[ 1 29] ; [ 19 147],[ 3.06122449 26.93877551] ; [ 16.93877551 149.06122449],0
n4,1,0.178147,1.813017,[19 11] ; [124  41],[22.  8.] ; [121.  44.],0
a2,1,0.203426,1.617605,[ 1 29] ; [ 18 149],[ 2.89340102 27.10659898] ; [ 16.10659898 150.89340102],0
p11,1,0.244313,1.355535,[20 10] ; [128  39],[22.53807107  7.46192893] ; [125.46192893  41.53807107],0
b4,1,0.271923,1.207022,[14 16] ; [96 71],[16.75126904 13.24873096] ; [93.24873096 73.75126904],0
p4,1,0.299579,1.076065,[13 17] ; [89 77],[15.6122449 14.3877551] ; [86.3877551 79.6122449],0
r3,1,0.308337,1.037785,[28  1] ; [150  15],[26.60824742  2.39175258] ; [151.39175258  13.60824742],0
d3,1,0.312114,1.021709,[15 15] ; [ 67 100],[12.48730964 17.51269036] ; [69.51269036 97.48730964],0
u1,1,0.330958,0.945147,[ 3 27] ; [  9 158],[ 1.82741117 28.17258883] ; [ 10.17258883 156.82741117],0
n1,1,0.372723,0.794565,[3 6] ; [17 17],[4.18604651 4.81395349] ; [15.81395349 18.18604651],0
s7,1,0.390198,0.738325,[16 13] ; [73 84],[13.87634409 15.12365591] ; [75.12365591 81.87634409],0
r1,1,0.411635,0.674075,[21  9] ; [127  38],[22.76923077  7.23076923] ; [125.23076923  39.76923077],0
n3,1,0.420942,0.647683,[6 3] ; [27  7],[6.90697674 2.09302326] ; [26.09302326  7.90697674],0
d4,1,0.425522,0.635013,[16 14] ; [102  65],[17.96954315 12.03045685] ; [100.03045685  66.96954315],0
a5,1,0.425522,0.635013,[16 14] ; [102  65],[17.96954315 12.03045685] ; [100.03045685  66.96954315],0
r4,1,0.427999,0.628246,[27  3] ; [141  26],[25.58375635  4.41624365] ; [142.41624365  24.58375635],0
a8,1,0.429051,0.625391,[ 3 24] ; [ 27 130],[ 4.40217391 22.59782609] ; [ 25.59782609 131.40217391],0
a3,1,0.453545,0.561778,[17 13] ; [106  60],[18.82653061 11.17346939] ; [104.17346939  61.82653061],0
a7,1,0.468089,0.526484,[17 13] ; [105  60],[18.76923077 11.23076923] ; [103.23076923  61.76923077],0
u3,1,0.493375,0.469157,[9 4] ; [36 25],[7.90540541 5.09459459] ; [37.09459459 23.90540541],0
p8,1,0.519795,0.414301,[12 17] ; [78 85],[13.59375 15.40625] ; [76.40625 86.59375],0
a1,1,0.559853,0.339959,[ 1 29] ; [ 10 157],[ 1.6751269 28.3248731] ; [  9.3248731 157.6751269],0
s1,1,0.566224,0.329042,[ 1 28] ; [ 10 153],[ 1.66145833 27.33854167] ; [  9.33854167 153.66145833],0
s8,1,0.57329,0.317209,[11 19] ; [70 96],[12.39795918 17.60204082] ; [68.60204082 97.39795918],0
d2,1,0.608506,0.262357,[ 5 25] ; [ 22 145],[ 4.11167513 25.88832487] ; [ 22.88832487 144.11167513],0
p9,1,0.616702,0.25053,[23  6] ; [138  28],[23.94358974  5.05641026] ; [137.05641026  28.94358974],0
r2,1,0.619913,0.24599,[27  3] ; [151  12],[27.66839378  2.33160622] ; [150.33160622  12.66839378],0
v4,1,0.66333,0.189504,[26  3] ; [151  13],[26.59585492  2.40414508] ; [150.40414508  13.59585492],0
v2,1,0.831747,0.04514,[17 13] ; [94 66],[17.52631579 12.47368421] ; [93.47368421 66.52631579],0
a4,1,0.866014,0.028467,[ 9 21] ; [ 47 118],[ 8.61538462 21.38461538] ; [ 47.38461538 117.61538462],0
p10,1,0.866911,0.028084,[23  6] ; [127  36],[22.65625  6.34375] ; [127.34375  35.65625],0
n6,1,0.868572,0.027381,[24  6] ; [129  35],[23.65979381  6.34020619] ; [129.34020619  34.65979381],0
p3,1,0.880419,0.022632,[14 16] ; [75 91],[13.62244898 16.37755102] ; [75.37755102 90.62244898],0
n5,1,0.903144,0.014808,[22  8] ; [122  42],[22.26804124  7.73195876] ; [121.73195876  42.26804124],0
b1,1,0.911302,0.012409,[12 18] ; [ 65 102],[11.72588832 18.27411168] ; [ 65.27411168 101.72588832],0
s6,1,0.917384,0.01076,[18  9] ; [107  56],[17.76315789  9.23684211] ; [107.23684211  55.76315789],0
p7,1,0.977408,0.000802,[18 11] ; [101  61],[18.06806283 10.93193717] ; [100.93193717  61.06806283],0
