Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-05,19.523489,[ 55 104] ; [67 41],[72.65168539 86.34831461] ; [49.34831461 58.65168539],1
p3,1,0.000293,13.117419,[ 18 150] ; [31 82],[ 29.29537367 138.70462633] ; [19.70462633 93.29537367],1
s2,1,0.000586,11.820473,[ 48 118] ; [56 58],[ 61.65714286 104.34285714] ; [42.34285714 71.65714286],1
v3,1,0.000697,11.497146,[ 37 125] ; [46 63],[ 49.61623616 112.38376384] ; [33.38376384 75.61623616],1
s6,1,0.003152,8.717128,[69 98] ; [67 46],[81.11428571 85.88571429] ; [54.88571429 58.11428571],0
s8,1,0.011182,6.436202,[ 36 132] ; [40 74],[ 45.27659574 122.72340426] ; [30.72340426 83.27659574],0
r1,1,0.017467,5.648813,[109  59] ; [89 25],[117.95744681  50.04255319] ; [80.04255319 33.95744681],0
v4,1,0.024591,5.05246,[135  31] ; [102  10],[141.51798561  24.48201439] ; [95.48201439 16.51798561],0
r2,1,0.029803,4.720641,[141  24] ; [106   7],[146.60071942  18.39928058] ; [100.39928058  12.60071942],0
r3,1,0.03023,4.696164,[134  32] ; [102  11],[140.41577061  25.58422939] ; [95.58422939 17.41577061],0
s5,1,0.034541,4.467702,[ 28 133] ; [31 79],[ 35.05166052 125.94833948] ; [23.94833948 86.05166052],0
p2,1,0.046403,3.966915,[89 79] ; [74 40],[97.10638298 70.89361702] ; [65.89361702 48.10638298],0
p9,1,0.047491,3.927893,[100  63] ; [83 31],[107.68592058  55.31407942] ; [75.31407942 38.68592058],0
s7,1,0.082307,3.018751,[ 45 115] ; [42 68],[ 51.55555556 108.44444444] ; [35.44444444 74.55555556],0
a8,1,0.095893,2.772559,[ 13 145] ; [16 93],[ 17.16104869 140.83895131] ; [11.83895131 97.16104869],0
p7,1,0.107883,2.584958,[ 48 118] ; [42 68],[ 54.13043478 111.86956522] ; [35.86956522 74.13043478],0
s1,1,0.114401,2.492353,[  4 162] ; [  7 107],[  6.52142857 159.47857143] ; [  4.47857143 109.52142857],0
r4,1,0.117129,2.455298,[119  49] ; [91 24],[124.66431095  43.33568905] ; [85.33568905 29.66431095],0
p11,1,0.11754,2.449804,[97 71] ; [77 38],[103.29328622  64.70671378] ; [70.70671378 44.29328622],0
s3,1,0.12733,2.324757,[72 94] ; [60 54],[78.25714286 87.74285714] ; [53.74285714 60.25714286],0
a4,1,0.132365,2.264552,[ 62 105] ; [53 62],[68.10283688 98.89716312] ; [46.89716312 68.10283688],0
p10,1,0.135642,2.226719,[96 70] ; [76 38],[101.97142857  64.02857143] ; [70.02857143 43.97142857],0
b2,1,0.155968,2.01289,[31 61] ; [30 37],[35.29559748 56.70440252] ; [25.70440252 41.29559748],0
b3,1,0.155968,2.01289,[31 61] ; [30 37],[35.29559748 56.70440252] ; [25.70440252 41.29559748],0
a5,1,0.172476,1.861291,[96 72] ; [75 40],[101.51236749  66.48763251] ; [69.48763251 45.51236749],0
b1,1,0.173011,1.856655,[75 93] ; [42 73],[69.45583039 98.54416961] ; [47.54416961 67.45583039],0
u2,1,0.22098,1.497998,[30 31] ; [20 12],[32.79569892 28.20430108] ; [17.20430108 14.79569892],0
a3,1,0.224163,1.477517,[106  61] ; [81 34],[110.74113475  56.25886525] ; [76.25886525 38.74113475],0
b5,1,0.224165,1.47751,[96 72] ; [74 41],[100.91872792  67.08127208] ; [69.08127208 45.91872792],0
u3,1,0.258686,1.275775,[29 33] ; [20 14],[31.64583333 30.35416667] ; [17.35416667 16.64583333],0
a7,1,0.266827,1.232987,[107  59] ; [66 48],[102.56428571  63.43571429] ; [70.43571429 43.56428571],0
n5,1,0.274872,1.192272,[101  65] ; [76 37],[105.31182796  60.68817204] ; [71.68817204 41.31182796],0
n2,1,0.282171,1.156606,[46 26] ; [26  9],[48.44859813 23.55140187] ; [23.55140187 11.44859813],0
n3,1,0.286215,1.13734,[42 26] ; [26 10],[44.46153846 23.53846154] ; [23.53846154 12.46153846],0
s4,1,0.29676,1.088695,[ 33 134] ; [17 97],[ 29.71530249 137.28469751] ; [20.28469751 93.71530249],0
d2,1,0.297604,1.084899,[73 91] ; [44 71],[68.77419355 95.22580645] ; [48.22580645 66.77419355],0
d1,1,0.329012,0.952784,[80 88] ; [48 67],[75.98586572 92.01413428] ; [52.01413428 62.98586572],0
p5,1,0.362576,0.828951,[  2 166] ; [  3 110],[  2.98932384 165.01067616] ; [  2.01067616 110.98932384],0
d4,1,0.402963,0.699468,[125  40] ; [92 23],[127.875  37.125] ; [89.125 25.875],0
p6,1,0.456998,0.553238,[ 20 147] ; [17 96],[ 22.06785714 144.93214286] ; [14.93214286 98.06785714],0
n4,1,0.503964,0.446578,[108  60] ; [77 36],[110.60498221  57.39501779] ; [74.39501779 38.60498221],0
d5,1,0.5293,0.395735,[117  49] ; [85 30],[119.33096085  46.66903915] ; [82.66903915 32.33096085],0
a6,1,0.62559,0.238089,[105  62] ; [69 46],[103.04255319  63.95744681] ; [70.95744681 44.04255319],0
p12,1,0.654673,0.20006,[  7 161] ; [  6 107],[  7.77224199 160.22775801] ; [  5.22775801 107.77224199],0
u4,1,0.700957,0.147478,[  2 166] ; [  2 113],[  2.3745583 165.6254417] ; [  1.6254417 113.3745583],0
n1,1,0.7071,0.141191,[27 44] ; [12 23],[26.12264151 44.87735849] ; [12.87735849 22.12264151],0
d3,1,0.718679,0.129762,[94 71] ; [68 47],[95.46428571 69.53571429] ; [66.53571429 48.46428571],0
a2,1,0.828666,0.046835,[ 29 139] ; [21 94],[ 29.6819788 138.3180212] ; [20.3180212 94.6819788],0
p1,1,0.871134,0.026315,[  8 159] ; [  6 109],[  8.29078014 158.70921986] ; [  5.70921986 109.29078014],0
a1,1,0.892611,0.018225,[ 11 157] ; [  8 107],[ 11.27915194 156.72084806] ; [  7.72084806 107.27915194],0
b4,1,0.940553,0.005561,[103  65] ; [70 45],[102.69964664  65.30035336] ; [70.30035336 44.69964664],0
n6,1,0.982367,0.000488,[118  49] ; [79 33],[117.91756272  49.08243728] ; [79.08243728 32.91756272],0
u1,1,0.998922,2e-06,[ 19 149] ; [ 13 102],[ 18.99646643 149.00353357] ; [ 13.00353357 101.99646643],0
