Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.000374,12.65625,[19 30] ; [41 15],[28. 21.] ; [32. 24.],1
v3,1,0.00172,9.826907,[ 8 38] ; [25 28],[15.33333333 30.66666667] ; [17.66666667 35.33333333],0
v2,1,0.003032,8.788237,[17 31] ; [35 19],[24.47058824 23.52941176] ; [27.52941176 26.47058824],0
u3,1,0.072998,3.214286,[6 8] ; [12  4],[8.4 5.6] ; [9.6 6.4],0
p12,1,0.075561,3.157895,[ 2 47] ; [ 8 48],[ 4.66666667 44.33333333] ; [ 5.33333333 50.66666667],0
p1,1,0.103415,2.652072,[11 38] ; [ 6 50],[ 7.93333333 41.06666667] ; [ 9.06666667 46.93333333],0
p9,1,0.117601,2.44898,[36 13] ; [48  8],[39.2  9.8] ; [44.8 11.2],0
b1,1,0.121778,2.394305,[18 31] ; [29 27],[21.93333333 27.06666667] ; [25.06666667 30.93333333],0
r2,1,0.125786,2.34375,[45  4] ; [55  1],[46.66666667  2.33333333] ; [53.33333333  2.66666667],0
n1,1,0.153046,2.041629,[ 8 11] ; [7 3],[9.82758621 9.17241379] ; [5.17241379 4.82758621],0
v4,1,0.174055,1.847668,[44  5] ; [54  2],[45.73333333  3.26666667] ; [52.26666667  3.73333333],0
s1,1,0.182083,1.780538,[ 5 44] ; [ 2 53],[ 3.29807692 45.70192308] ; [ 3.70192308 51.29807692],0
a8,1,0.199778,1.644,[ 1 44] ; [ 4 45],[ 2.39361702 42.60638298] ; [ 2.60638298 46.39361702],0
p5,1,0.206867,1.593215,[ 4 45] ; [ 9 46],[ 6.125 42.875] ; [ 6.875 48.125],0
a1,1,0.246809,1.341275,[ 3 46] ; [ 1 55],[ 1.86666667 47.13333333] ; [ 2.13333333 53.86666667],0
b4,1,0.248535,1.331522,[35 14] ; [34 22],[32.2 16.8] ; [36.8 19.2],0
r4,1,0.263552,1.25,[40  9] ; [50  6],[42.  7.] ; [48.  8.],0
b3,1,0.264327,1.245953,[ 7 19] ; [15 22],[ 9.07936508 16.92063492] ; [12.92063492 24.07936508],0
b2,1,0.264327,1.245953,[ 7 19] ; [15 22],[ 9.07936508 16.92063492] ; [12.92063492 24.07936508],0
s8,1,0.290385,1.117837,[19 30] ; [27 28],[21.67307692 27.32692308] ; [24.32692308 30.67307692],0
n2,1,0.351425,0.868304,[12  7] ; [8 2],[13.10344828  5.89655172] ; [6.89655172 3.10344828],0
u2,1,0.355918,0.852245,[6 8] ; [9 6],[7.24137931 6.75862069] ; [7.75862069 7.24137931],0
p11,1,0.3798,0.771351,[32 17] ; [41 15],[34.06666667 14.93333333] ; [38.93333333 17.06666667],0
a5,1,0.392433,0.731389,[34 15] ; [43 13],[35.93333333 13.06666667] ; [41.06666667 14.93333333],0
p2,1,0.397566,0.715677,[35 14] ; [44 12],[36.86666667 12.13333333] ; [42.13333333 13.86666667],0
s2,1,0.400925,0.70555,[25 24] ; [32 22],[27.11650485 21.88349515] ; [29.88349515 24.11650485],0
