Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1e-06,25.207943,[111  55] ; [29 57],[92.22222222 73.77777778] ; [47.77777778 38.22222222],1
a3,1,1e-06,24.300922,[127  39] ; [38 46],[109.56  56.44] ; [55.44 28.56],1
a4,1,3e-06,21.993369,[83 82] ; [17 69],[65.73705179 99.26294821] ; [34.26294821 51.73705179],1
a6,1,3e-06,21.77,[126  40] ; [40 46],[109.34920635  56.65079365] ; [56.65079365 29.34920635],1
d2,1,4e-06,21.402507,[93 71] ; [22 63],[75.74297189 88.25702811] ; [39.25702811 45.74297189],1
r1,1,4e-06,21.3433,[131  34] ; [44 42],[115.03984064  49.96015936] ; [59.96015936 26.03984064],1
n4,1,5.9e-05,16.131889,[137  29] ; [51 35],[123.84126984  42.15873016] ; [64.15873016 21.84126984],1
n5,1,6.9e-05,15.835725,[133  32] ; [49 37],[119.64143426  45.35856574] ; [62.35856574 23.64143426],1
d5,1,0.000127,14.686507,[135  31] ; [50 35],[122.35059761  43.64940239] ; [62.64940239 22.35059761],1
d4,1,0.000259,13.344123,[138  28] ; [53 32],[126.3187251  39.6812749] ; [64.6812749 20.3187251],1
u1,1,0.00052,12.043464,[ 29 137] ; [ 2 84],[ 20.42063492 145.57936508] ; [10.57936508 75.42063492],1
p10,1,0.000727,11.417696,[133  32] ; [51 33],[121.92771084  43.07228916] ; [62.07228916 21.92771084],1
v2,1,0.002372,9.236438,[97 64] ; [33 50],[85.77868852 75.22131148] ; [44.22131148 38.77868852],0
d3,1,0.002685,9.010274,[116  50] ; [43 42],[105.15537849  60.84462151] ; [53.84462151 31.15537849],0
v1,1,0.002753,8.964406,[83 80] ; [26 58],[71.93117409 91.06882591] ; [37.06882591 46.93117409],0
r4,1,0.003543,8.504372,[143  23] ; [61 25],[134.38095238  31.61904762] ; [69.61904762 16.38095238],0
r2,1,0.009432,6.739061,[152  10] ; [71 14],[146.25910931  15.74089069] ; [76.74089069  8.25910931],0
p9,1,0.020272,5.388276,[131  30] ; [58 27],[123.69512195  37.30487805] ; [65.30487805 19.69512195],0
p8,1,0.026653,4.913156,[86 78] ; [32 53],[77.7188755 86.2811245] ; [40.2811245 44.7188755],0
b2,1,0.028825,4.778017,[51 54] ; [15 35],[44.70967742 60.29032258] ; [21.29032258 28.70967742],0
b3,1,0.028825,4.778017,[51 54] ; [15 35],[44.70967742 60.29032258] ; [21.29032258 28.70967742],0
p3,1,0.031516,4.624633,[77 88] ; [28 58],[69.02390438 95.97609562] ; [35.97609562 50.02390438],0
s8,1,0.063472,3.444244,[ 42 124] ; [13 73],[ 36.23015873 129.76984127] ; [18.76984127 67.23015873],0
p4,1,0.069185,3.302253,[86 79] ; [34 51],[79.2 85.8] ; [40.8 44.2],0
p5,1,0.119651,2.421884,[ 12 154] ; [ 2 81],[  9.33333333 156.66666667] ; [ 4.66666667 78.33333333],0
p11,1,0.128618,2.309111,[137  29] ; [64 22],[132.4047619  33.5952381] ; [68.5952381 17.4047619],0
s7,1,0.131593,2.273615,[ 43 113] ; [16 69],[ 38.19087137 117.80912863] ; [20.80912863 64.19087137],0
u3,1,0.136593,2.215923,[20 19] ; [17 31],[16.5862069 22.4137931] ; [20.4137931 27.5862069],0
a7,1,0.141654,2.1599,[118  48] ; [52 32],[112.88  53.12] ; [57.12 26.88],0
v3,1,0.15342,2.03791,[61 99] ; [24 59],[ 55.96707819 104.03292181] ; [29.03292181 53.96707819],0
p12,1,0.187439,1.737633,[  7 158] ; [ 1 85],[  5.25896414 159.74103586] ; [ 2.74103586 83.25896414],0
p6,1,0.225223,1.470778,[ 49 115] ; [19 65],[ 44.96774194 119.03225806] ; [23.03225806 60.96774194],0
a1,1,0.261489,1.260857,[  6 160] ; [ 1 85],[  4.61111111 161.38888889] ; [ 2.38888889 83.61111111],0
p2,1,0.264521,1.244943,[135  31] ; [64 21],[131.60956175  34.39043825] ; [67.39043825 17.60956175],0
p7,1,0.290541,1.117112,[98 67] ; [44 40],[94.09638554 70.90361446] ; [47.90361446 36.09638554],0
b1,1,0.303058,1.060689,[ 63 103] ; [27 59],[ 59.28571429 106.71428571] ; [30.71428571 55.28571429],0
v4,1,0.324902,0.969112,[156  10] ; [77  8],[154.09561753  11.90438247] ; [78.90438247  6.09561753],0
