Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.1e-05,19.351944,[42 10] ; [11 22],[32.42352941 19.57647059] ; [20.57647059 12.42352941],1
a4,1,0.023155,5.156834,[25 26] ; [ 8 25],[20.03571429 30.96428571] ; [12.96428571 20.03571429],0
n1,1,0.028369,4.805492,[11 12] ; [ 3 16],[ 7.66666667 15.33333333] ; [ 6.33333333 12.66666667],0
a5,1,0.029996,4.709549,[33 19] ; [13 20],[28.14117647 23.85882353] ; [17.85882353 15.14117647],0
a1,1,0.030112,4.702912,[10 42] ; [ 1 32],[ 6.72941176 45.27058824] ; [ 4.27058824 28.72941176],0
u3,1,0.076134,3.145558,[ 4 17] ; [7 8],[ 6.41666667 14.58333333] ; [ 4.58333333 10.41666667],0
a7,1,0.08188,3.027181,[21 30] ; [20 13],[24.89285714 26.10714286] ; [16.10714286 16.89285714],0
s7,1,0.090997,2.856648,[16 32] ; [ 5 26],[12.75949367 35.24050633] ; [ 8.24050633 22.75949367],0
v4,1,0.092964,2.822289,[25 27] ; [22 11],[28.75294118 23.24705882] ; [18.24705882 14.75294118],0
n6,1,0.114727,2.487865,[35 16] ; [17 16],[31.57142857 19.42857143] ; [20.42857143 12.57142857],0
n2,1,0.121122,2.402746,[14  9] ; [ 7 12],[11.5 11.5] ; [9.5 9.5],0
d3,1,0.160623,1.968347,[25 27] ; [21 12],[28.14117647 23.85882353] ; [17.85882353 15.14117647],0
d2,1,0.161715,1.958112,[26 24] ; [12 21],[22.89156627 27.10843373] ; [15.10843373 17.89156627],0
s5,1,0.242318,1.36706,[ 6 45] ; [ 7 26],[ 7.89285714 43.10714286] ; [ 5.10714286 27.89285714],0
u1,1,0.248027,1.334382,[ 5 47] ; [ 1 32],[ 3.67058824 48.32941176] ; [ 2.32941176 30.67058824],0
d4,1,0.28459,1.145038,[33 18] ; [25  8],[35.21428571 15.78571429] ; [22.78571429 10.21428571],0
p10,1,0.343818,0.896142,[19 31] ; [16 17],[21.08433735 28.91566265] ; [13.91566265 19.08433735],0
r2,1,0.38337,0.759866,[30 19] ; [17 16],[28.08536585 20.91463415] ; [18.91463415 14.08536585],0
r3,1,0.392852,0.730096,[24 26] ; [19 14],[25.90361446 24.09638554] ; [17.09638554 15.90361446],0
p1,1,0.399516,0.709782,[ 8 44] ; [ 3 30],[ 6.72941176 45.27058824] ; [ 4.27058824 28.72941176],0
v2,1,0.410869,0.676283,[15 34] ; [13 20],[16.73170732 32.26829268] ; [11.26829268 21.73170732],0
a6,1,0.495265,0.465067,[26 26] ; [14 19],[24.47058824 27.52941176] ; [15.52941176 17.47058824],0
b5,1,0.511998,0.429981,[23 29] ; [17 16],[24.47058824 27.52941176] ; [15.52941176 17.47058824],0
p2,1,0.511998,0.429981,[23 29] ; [17 16],[24.47058824 27.52941176] ; [15.52941176 17.47058824],0
b2,1,0.525309,0.403457,[16 18] ; [ 6 10],[14.96 19.04] ; [7.04 8.96],0
b3,1,0.525309,0.403457,[16 18] ; [ 6 10],[14.96 19.04] ; [7.04 8.96],0
a8,1,0.52982,0.394737,[ 3 45] ; [ 1 31],[ 2.4 45.6] ; [ 1.6 30.4],0
s2,1,0.559655,0.340301,[12 39] ; [ 6 27],[10.92857143 40.07142857] ; [ 7.07142857 25.92857143],0
s1,1,0.560103,0.339526,[ 3 49] ; [ 3 30],[ 3.67058824 48.32941176] ; [ 2.32941176 30.67058824],0
p5,1,0.56115,0.337717,[ 3 49] ; [ 1 32],[ 2.44705882 49.55294118] ; [ 1.55294118 31.44705882],0
a3,1,0.571094,0.320856,[31 20] ; [18 15],[29.75 21.25] ; [19.25 13.75],0
