Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000194,13.887013,[12  4] ; [ 3 18],[6.48648649 9.51351351] ; [ 8.51351351 12.48648649],1
n1,1,0.036331,4.381481,[1 7] ; [4 2],[2.85714286 5.14285714] ; [2.14285714 3.85714286],0
b4,1,0.04868,3.886364,[ 5 11] ; [14  8],[8. 8.] ; [11. 11.],0
p6,1,0.064527,3.417027,[ 5 10] ; [ 2 20],[ 2.83783784 12.16216216] ; [ 4.16216216 17.83783784],0
v3,1,0.086186,2.944215,[7 9] ; [ 4 18],[ 4.63157895 11.36842105] ; [ 6.36842105 15.63157895],0
p12,1,0.158921,1.984459,[ 3 13] ; [ 1 21],[ 1.68421053 14.31578947] ; [ 2.31578947 19.68421053],0
p2,1,0.196851,1.665584,[12  4] ; [12 10],[10.10526316  5.89473684] ; [13.89473684  8.10526316],0
d1,1,0.290476,1.117413,[7 9] ; [ 6 16],[ 5.47368421 10.52631579] ; [ 7.52631579 14.47368421],0
d3,1,0.298799,1.079545,[10  6] ; [10 12],[8.42105263 7.57894737] ; [11.57894737 10.42105263],0
u3,1,0.316565,1.003086,[2 2] ; [2 7],[1.23076923 2.76923077] ; [2.76923077 6.23076923],0
r4,1,0.366403,0.815828,[ 3 13] ; [ 7 15],[ 4.21052632 11.78947368] ; [ 5.78947368 16.21052632],0
u1,1,0.369288,0.806061,[ 2 14] ; [ 1 21],[ 1.26315789 14.73684211] ; [ 1.73684211 20.26315789],0
a7,1,0.376445,0.782279,[11  5] ; [12 10],[9.68421053 6.31578947] ; [13.31578947  8.68421053],0
a2,1,0.384478,0.756336,[ 3 13] ; [ 2 20],[ 2.10526316 13.89473684] ; [ 2.89473684 19.10526316],0
a3,1,0.399233,0.710635,[12  4] ; [13  8],[10.81081081  5.18918919] ; [14.18918919  6.81081081],0
s3,1,0.426763,0.631616,[ 3 12] ; [ 7 15],[ 4.05405405 10.94594595] ; [ 5.94594595 16.05405405],0
p4,1,0.44419,0.585434,[10  6] ; [11 11],[8.84210526 7.15789474] ; [12.15789474  9.84210526],0
d2,1,0.451549,0.566761,[7 9] ; [ 7 15],[ 5.89473684 10.10526316] ; [ 8.10526316 13.89473684],0
s7,1,0.458318,0.55,[6 9] ; [ 5 13],[ 5. 10.] ; [ 6. 12.],0
